Hand_L, , ,Shoulder_L, , 
-0.1599393,0.5278402,-2.149116,-0.1392308,0.309878,-2.543751
-0.1701161,0.5267321,-2.140528,-0.1396302,0.308223,-2.542476
-0.1701161,0.5267321,-2.140528,-0.1396302,0.308223,-2.542476
-0.1891588,0.524258,-2.138493,-0.1411276,0.3100449,-2.544783
-0.1891588,0.524258,-2.138493,-0.1411276,0.3100449,-2.544783
-0.2201163,0.5243326,-2.129463,-0.1434065,0.3018983,-2.5386
-0.2201163,0.5243326,-2.129463,-0.1434065,0.3018983,-2.5386
-0.2201163,0.5243326,-2.129463,-0.1434065,0.3018983,-2.5386
-0.2201163,0.5243326,-2.129463,-0.1434065,0.3018983,-2.5386
-0.2541626,0.5214273,-2.122591,-0.1436619,0.307119,-2.542793
-0.2541626,0.5214273,-2.122591,-0.1436619,0.307119,-2.542793
-0.2938845,0.5078571,-2.115544,-0.1428788,0.3114016,-2.546173
-0.2938845,0.5078571,-2.115544,-0.1428788,0.3114016,-2.546173
-0.3399895,0.4847323,-2.113217,-0.1434233,0.306963,-2.541873
-0.3399895,0.4847323,-2.113217,-0.1434233,0.306963,-2.541873
-0.392933,0.4564275,-2.108103,-0.1424636,0.3141234,-2.549958
-0.392933,0.4564275,-2.108103,-0.1424636,0.3141234,-2.549958
-0.4369508,0.4093454,-2.107967,-0.1492852,0.2848013,-2.55287
-0.4369508,0.4093454,-2.107967,-0.1492852,0.2848013,-2.55287
-0.4369508,0.4093454,-2.107967,-0.1492852,0.2848013,-2.55287
-0.4369508,0.4093454,-2.107967,-0.1492852,0.2848013,-2.55287
-0.4837103,0.3514571,-2.110837,-0.1490304,0.3005303,-2.552414
-0.4837103,0.3514571,-2.110837,-0.1490304,0.3005303,-2.552414
-0.538093,0.2899393,-2.11914,-0.1479004,0.3072289,-2.559047
-0.538093,0.2899393,-2.11914,-0.1479004,0.3072289,-2.559047
-0.5673152,0.2296599,-2.12556,-0.1551792,0.2835385,-2.554467
-0.5673152,0.2296599,-2.12556,-0.1551792,0.2835385,-2.554467
-0.5831326,0.1692173,-2.157992,-0.1499794,0.2968414,-2.551824
-0.5831326,0.1692173,-2.157992,-0.1499794,0.2968414,-2.551824
-0.5860732,0.0999359,-2.186129,-0.1461475,0.3028663,-2.55146
-0.5860732,0.0999359,-2.186129,-0.1461475,0.3028663,-2.55146
-0.5792232,0.01832047,-2.215367,-0.1455945,0.3061178,-2.555538
-0.5792232,0.01832047,-2.215367,-0.1455945,0.3061178,-2.555538
-0.5792232,0.01832047,-2.215367,-0.1455945,0.3061178,-2.555538
-0.5792232,0.01832047,-2.215367,-0.1455945,0.3061178,-2.555538
-0.533659,-0.05150441,-2.258593,-0.1451873,0.3076777,-2.554451
-0.533659,-0.05150441,-2.258593,-0.1451873,0.3076777,-2.554451
-0.533659,-0.05150441,-2.258593,-0.1451873,0.3076777,-2.554451
-0.533659,-0.05150441,-2.258593,-0.1451873,0.3076777,-2.554451
-0.4969599,-0.1027958,-2.293177,-0.1460606,0.3061527,-2.555603
-0.4508093,-0.1521898,-2.303014,-0.1476397,0.3111565,-2.554445
-0.4508093,-0.1521898,-2.303014,-0.1476397,0.3111565,-2.554445
-0.3391543,-0.2011855,-2.296401,-0.1523945,0.3000867,-2.553507
-0.3391543,-0.2011855,-2.296401,-0.1523945,0.3000867,-2.553507
-0.2347689,-0.2129633,-2.2937,-0.1553937,0.3039041,-2.555729
-0.2347689,-0.2129633,-2.2937,-0.1553937,0.3039041,-2.555729
-0.1542838,-0.2115472,-2.278291,-0.1577318,0.3070334,-2.558102
-0.1542838,-0.2115472,-2.278291,-0.1577318,0.3070334,-2.558102
-0.1542838,-0.2115472,-2.278291,-0.1577318,0.3070334,-2.558102
-0.1542838,-0.2115472,-2.278291,-0.1577318,0.3070334,-2.558102
-0.07858031,-0.1856482,-2.28037,-0.1590376,0.3109776,-2.561719
-0.07858031,-0.1856482,-2.28037,-0.1590376,0.3109776,-2.561719
-0.03718577,-0.1463191,-2.297357,-0.1647276,0.3112486,-2.568251
-0.03718577,-0.1463191,-2.297357,-0.1647276,0.3112486,-2.568251
0.00926737,-0.1058104,-2.293184,-0.1635918,0.3112071,-2.566299
0.00926737,-0.1058104,-2.293184,-0.1635918,0.3112071,-2.566299
0.04320935,-0.05914897,-2.276915,-0.1611603,0.3034185,-2.554283
0.04320935,-0.05914897,-2.276915,-0.1611603,0.3034185,-2.554283
0.08518211,0.009287566,-2.239977,-0.159196,0.3016594,-2.548271
