Hand_L, , ,Shoulder_L, , 
-0.05481758,0.5289938,-2.225422,-0.162016,0.2967267,-2.598846
-0.05481758,0.5289938,-2.225422,-0.162016,0.2967267,-2.598846
-0.03394656,0.5155429,-2.233793,-0.1588676,0.3021474,-2.601958
-0.03394656,0.5155429,-2.233793,-0.1588676,0.3021474,-2.601958
0.01097543,0.4816444,-2.22963,-0.1572791,0.3041365,-2.607333
0.01097543,0.4816444,-2.22963,-0.1572791,0.3041365,-2.607333
0.05131587,0.4464047,-2.238428,-0.1616572,0.3009503,-2.603342
0.05131587,0.4464047,-2.238428,-0.1616572,0.3009503,-2.603342
0.05131587,0.4464047,-2.238428,-0.1616572,0.3009503,-2.603342
0.05131587,0.4464047,-2.238428,-0.1616572,0.3009503,-2.603342
0.08028182,0.4104235,-2.24499,-0.162481,0.3020116,-2.594609
0.08028182,0.4104235,-2.24499,-0.162481,0.3020116,-2.594609
0.104862,0.3501858,-2.246627,-0.1610508,0.3020983,-2.593884
0.104862,0.3501858,-2.246627,-0.1610508,0.3020983,-2.593884
0.1160902,0.2569821,-2.260368,-0.1604576,0.2997105,-2.591789
0.1160902,0.2569821,-2.260368,-0.1604576,0.2997105,-2.591789
0.100838,0.1627511,-2.275998,-0.1653831,0.3008546,-2.594176
0.100838,0.1627511,-2.275998,-0.1653831,0.3008546,-2.594176
0.08632793,0.08686544,-2.307922,-0.1670859,0.3010478,-2.596426
0.08632793,0.08686544,-2.307922,-0.1670859,0.3010478,-2.596426
0.08187311,-0.002439311,-2.333355,-0.1681363,0.3022613,-2.597061
0.08187311,-0.002439311,-2.333355,-0.1681363,0.3022613,-2.597061
0.06495878,-0.06595137,-2.358201,-0.1701935,0.3039727,-2.598698
0.06495878,-0.06595137,-2.358201,-0.1701935,0.3039727,-2.598698
0.02306463,-0.120869,-2.384256,-0.1718626,0.302252,-2.60102
0.02306463,-0.120869,-2.384256,-0.1718626,0.302252,-2.60102
-0.02236261,-0.1650659,-2.408855,-0.1728606,0.3044403,-2.603332
-0.02236261,-0.1650659,-2.408855,-0.1728606,0.3044403,-2.603332
-0.07830158,-0.1959244,-2.425949,-0.1716131,0.3076487,-2.604991
-0.07830158,-0.1959244,-2.425949,-0.1716131,0.3076487,-2.604991
-0.1307869,-0.2412704,-2.422188,-0.1705179,0.3085278,-2.607141
-0.1307869,-0.2412704,-2.422188,-0.1705179,0.3085278,-2.607141
-0.187972,-0.2694871,-2.426995,-0.1708294,0.3060781,-2.606164
-0.187972,-0.2694871,-2.426995,-0.1708294,0.3060781,-2.606164
-0.2566546,-0.2627088,-2.433953,-0.1683558,0.3054029,-2.608744
-0.2566546,-0.2627088,-2.433953,-0.1683558,0.3054029,-2.608744
-0.3354264,-0.237199,-2.432771,-0.1666254,0.3039481,-2.61158
-0.3354264,-0.237199,-2.432771,-0.1666254,0.3039481,-2.61158
-0.4053043,-0.2034082,-2.418995,-0.1634011,0.3015036,-2.609397
-0.4053043,-0.2034082,-2.418995,-0.1634011,0.3015036,-2.609397
-0.4516891,-0.1495628,-2.407983,-0.1611519,0.301982,-2.60976
-0.4516891,-0.1495628,-2.407983,-0.1611519,0.301982,-2.60976
-0.4516891,-0.1495628,-2.407983,-0.1611519,0.301982,-2.60976
-0.4885306,-0.09508042,-2.394531,-0.1611184,0.3028358,-2.606934
-0.4885306,-0.09508042,-2.394531,-0.1611184,0.3028358,-2.606934
-0.5151485,-0.03529631,-2.38206,-0.1616811,0.3025939,-2.605939
-0.5151485,-0.03529631,-2.38206,-0.1616811,0.3025939,-2.605939
-0.5509999,0.0302712,-2.350938,-0.1619291,0.307121,-2.611301
-0.5509999,0.0302712,-2.350938,-0.1619291,0.307121,-2.611301
-0.5927699,0.113905,-2.309362,-0.1615164,0.3066601,-2.61387
-0.5927699,0.113905,-2.309362,-0.1615164,0.3066601,-2.61387
-0.6153529,0.1862101,-2.280967,-0.1630503,0.3078732,-2.614982
-0.6153529,0.1862101,-2.280967,-0.1630503,0.3078732,-2.614982
-0.6062224,0.2539161,-2.266087,-0.1603552,0.3028727,-2.609175
-0.6062224,0.2539161,-2.266087,-0.1603552,0.3028727,-2.609175
-0.5781982,0.3270083,-2.245718,-0.16035,0.3010174,-2.608855
-0.5781982,0.3270083,-2.245718,-0.16035,0.3010174,-2.608855
-0.5781982,0.3270083,-2.245718,-0.16035,0.3010174,-2.608855
-0.5781982,0.3270083,-2.245718,-0.16035,0.3010174,-2.608855
-0.5387462,0.384922,-2.230687,-0.1616746,0.3010848,-2.608871
-0.5387462,0.384922,-2.230687,-0.1616746,0.3010848,-2.608871
-0.4857095,0.4353383,-2.214686,-0.1638447,0.2986862,-2.607069
-0.4857095,0.4353383,-2.214686,-0.1638447,0.2986862,-2.607069
-0.4334841,0.4719528,-2.212929,-0.1630821,0.2994399,-2.607677
-0.4334841,0.4719528,-2.212929,-0.1630821,0.2994399,-2.607677
-0.3747507,0.5047469,-2.214473,-0.1639823,0.2982416,-2.601532
-0.3747507,0.5047469,-2.214473,-0.1639823,0.2982416,-2.601532
-0.3211253,0.5255972,-2.211953,-0.1634452,0.3021167,-2.606768
-0.3211253,0.5255972,-2.211953,-0.1634452,0.3021167,-2.606768
-0.2700215,0.5424127,-2.213587,-0.1669322,0.3084876,-2.6105
-0.2700215,0.5424127,-2.213587,-0.1669322,0.3084876,-2.6105
-0.2700215,0.5424127,-2.213587,-0.1669322,0.3084876,-2.6105
-0.2700215,0.5424127,-2.213587,-0.1669322,0.3084876,-2.6105
-0.1685851,0.5518319,-2.221704,-0.1692663,0.303472,-2.613729
-0.1685851,0.5518319,-2.221704,-0.1692663,0.303472,-2.613729
