Hand_R, , ,Shoulder_R, , 
-0.02761211,0.5360019,-2.103929,0.08556705,0.2541633,-2.551455
-0.02761211,0.5360019,-2.103929,0.08556705,0.2541633,-2.551455
-0.0253279,0.5407048,-2.102507,0.08415458,0.2557277,-2.552337
-0.0253279,0.5407048,-2.102507,0.08415458,0.2557277,-2.552337
-0.02705911,0.5396619,-2.102784,0.08363916,0.2559852,-2.553478
-0.02705911,0.5396619,-2.102784,0.08363916,0.2559852,-2.553478
-0.03766905,0.5370163,-2.106064,0.08319613,0.2559309,-2.55198
-0.03766905,0.5370163,-2.106064,0.08319613,0.2559309,-2.55198
-0.04384774,0.5394685,-2.103847,0.08232509,0.2564505,-2.550119
-0.04384774,0.5394685,-2.103847,0.08232509,0.2564505,-2.550119
-0.05114768,0.5381977,-2.107398,0.08174115,0.2565679,-2.548149
-0.05114768,0.5381977,-2.107398,0.08174115,0.2565679,-2.548149
-0.06854369,0.5399165,-2.108184,0.08119579,0.2556116,-2.549113
-0.06854369,0.5399165,-2.108184,0.08119579,0.2556116,-2.549113
-0.08663491,0.5360478,-2.116656,0.08208717,0.25354,-2.549916
-0.08663491,0.5360478,-2.116656,0.08208717,0.25354,-2.549916
-0.1091167,0.5215311,-2.124784,0.08232016,0.2543638,-2.549702
-0.1091167,0.5215311,-2.124784,0.08232016,0.2543638,-2.549702
-0.1309665,0.5020325,-2.124991,0.08320655,0.2536692,-2.5486
-0.1309665,0.5020325,-2.124991,0.08320655,0.2536692,-2.5486
-0.1309665,0.5020325,-2.124991,0.08320655,0.2536692,-2.5486
-0.1309665,0.5020325,-2.124991,0.08320655,0.2536692,-2.5486
-0.1629125,0.4752723,-2.142257,0.08498395,0.2559925,-2.541303
-0.1629125,0.4752723,-2.142257,0.08498395,0.2559925,-2.541303
-0.1904323,0.4321266,-2.142177,0.08314797,0.2553464,-2.534457
-0.1904323,0.4321266,-2.142177,0.08314797,0.2553464,-2.534457
-0.2200994,0.378538,-2.159522,0.09198228,0.2803525,-2.525866
-0.2200994,0.378538,-2.159522,0.09198228,0.2803525,-2.525866
-0.246825,0.3111368,-2.175642,0.09639796,0.2888087,-2.519977
-0.246825,0.3111368,-2.175642,0.09639796,0.2888087,-2.519977
-0.2622946,0.2420743,-2.19619,0.09760689,0.2911665,-2.519447
-0.2622946,0.2420743,-2.19619,0.09760689,0.2911665,-2.519447
-0.2634623,0.1657369,-2.213461,0.09677159,0.2894666,-2.521696
-0.2634623,0.1657369,-2.213461,0.09677159,0.2894666,-2.521696
-0.2634623,0.1657369,-2.213461,0.09677159,0.2894666,-2.521696
-0.26233,0.09222655,-2.234794,0.09426935,0.2962068,-2.531509
