Hand_R, , ,Shoulder_R, , 
0.09878979,0.5884302,-2.064396,0.05364141,0.2960121,-2.485634
0.09878979,0.5884302,-2.064396,0.05364141,0.2960121,-2.485634
0.09677722,0.5804578,-2.050817,0.05509572,0.2972965,-2.482566
0.09677722,0.5804578,-2.050817,0.05509572,0.2972965,-2.482566
0.09867987,0.5769998,-2.045504,0.05542283,0.2998219,-2.484574
0.09867987,0.5769998,-2.045504,0.05542283,0.2998219,-2.484574
0.1095816,0.5852335,-2.060003,0.05585838,0.2928543,-2.482631
0.1095816,0.5852335,-2.060003,0.05585838,0.2928543,-2.482631
0.1223682,0.5755494,-2.051719,0.05664239,0.297765,-2.48531
0.1223682,0.5755494,-2.051719,0.05664239,0.297765,-2.48531
0.1377948,0.5702261,-2.051567,0.05540276,0.2971121,-2.487634
0.1377948,0.5702261,-2.051567,0.05540276,0.2971121,-2.487634
0.1377948,0.5702261,-2.051567,0.05442699,0.2953758,-2.483274
0.1523034,0.5839477,-2.066516,0.05442699,0.2953758,-2.483274
0.1523034,0.5839477,-2.066516,0.05442699,0.2953758,-2.483274
0.1786195,0.5769878,-2.060373,0.05308639,0.2978437,-2.484158
0.1786195,0.5769878,-2.060373,0.05308639,0.2978437,-2.484158
0.2034404,0.586821,-2.072506,0.05329809,0.2965192,-2.480251
0.2034404,0.586821,-2.072506,0.05329809,0.2965192,-2.480251
0.229399,0.5885615,-2.076625,0.04889704,0.2922662,-2.47198
0.229399,0.5885615,-2.076625,0.04889704,0.2922662,-2.47198
0.2653151,0.5801005,-2.073724,0.04707047,0.2953192,-2.470901
0.2653151,0.5801005,-2.073724,0.04707047,0.2953192,-2.470901
0.304434,0.5620531,-2.076713,0.04750594,0.3005051,-2.47558
0.304434,0.5620531,-2.076713,0.04750594,0.3005051,-2.47558
0.3396701,0.5432663,-2.080574,0.05138038,0.3011796,-2.474237
0.3396701,0.5432663,-2.080574,0.05138038,0.3011796,-2.474237
0.3792003,0.5108693,-2.084994,0.05300738,0.299548,-2.477642
0.3792003,0.5108693,-2.084994,0.05300738,0.299548,-2.477642
0.4229657,0.4770805,-2.097067,0.05242484,0.3051072,-2.481786
0.4229657,0.4770805,-2.097067,0.05242484,0.3051072,-2.481786
0.4229657,0.4770805,-2.097067,0.05242484,0.3051072,-2.481786
0.4229657,0.4770805,-2.097067,0.05242484,0.3051072,-2.481786
0.4585182,0.4285785,-2.1075,0.05288825,0.3085979,-2.485049
0.4585182,0.4285785,-2.1075,0.05288825,0.3085979,-2.485049
0.4975868,0.3775017,-2.136863,0.05259939,0.3075998,-2.487288
0.4975868,0.3775017,-2.136863,0.05259939,0.3075998,-2.487288
0.5227295,0.3207183,-2.158848,0.05340591,0.2987622,-2.484172
0.5227295,0.3207183,-2.158848,0.05340591,0.2987622,-2.484172
0.5278459,0.2495467,-2.176525,0.05323241,0.2976589,-2.483271
0.5278459,0.2495467,-2.176525,0.05323241,0.2976589,-2.483271
0.5289183,0.1766856,-2.196491,0.05357654,0.2978232,-2.48386
0.5289183,0.1766856,-2.196491,0.05357654,0.2978232,-2.48386
0.5285686,0.1105474,-2.210793,0.05306051,0.2977071,-2.484456
0.5285686,0.1105474,-2.210793,0.05306051,0.2977071,-2.484456
0.5175983,0.06225078,-2.218929,0.05162474,0.2982093,-2.484778
0.5175983,0.06225078,-2.218929,0.05162474,0.2982093,-2.484778
0.5005022,0.001518371,-2.227151,0.05147937,0.2985797,-2.485281
0.5005022,0.001518371,-2.227151,0.05147937,0.2985797,-2.485281
0.4776111,-0.04933634,-2.230404,0.05222663,0.2997044,-2.486848
0.4776111,-0.04933634,-2.230404,0.05222663,0.2997044,-2.486848
0.4308957,-0.09982504,-2.238481,0.05171082,0.3022482,-2.49175
0.4308957,-0.09982504,-2.238481,0.05171082,0.3022482,-2.49175
0.3660133,-0.1482462,-2.230448,0.05236508,0.2990242,-2.493761
0.3660133,-0.1482462,-2.230448,0.05236508,0.2990242,-2.493761
0.3660133,-0.1482462,-2.230448,0.05236508,0.2990242,-2.493761
0.3660133,-0.1482462,-2.230448,0.05236508,0.2990242,-2.493761
0.3660133,-0.1482462,-2.230448,0.05236508,0.2990242,-2.493761
0.3195412,-0.1852725,-2.235691,0.05339054,0.2940103,-2.491003
0.3195412,-0.1852725,-2.235691,0.05339054,0.2940103,-2.491003
0.2629368,-0.2097632,-2.24361,0.05619192,0.2934014,-2.49057
0.2629368,-0.2097632,-2.24361,0.05619192,0.2934014,-2.49057
0.1983523,-0.2316638,-2.227436,0.05815513,0.2896293,-2.491165
0.1983523,-0.2316638,-2.227436,0.05815513,0.2896293,-2.491165
0.122739,-0.2380086,-2.217125,0.0580955,0.2901761,-2.493935
0.122739,-0.2380086,-2.217125,0.0580955,0.2901761,-2.493935
0.05598162,-0.2319265,-2.218554,0.05746349,0.2897146,-2.490009
0.05598162,-0.2319265,-2.218554,0.05746349,0.2897146,-2.490009
0.05598162,-0.2319265,-2.218554,0.05746349,0.2897146,-2.490009
0.05598162,-0.2319265,-2.218554,0.05746349,0.2897146,-2.490009
0.0007506077,-0.2133612,-2.195806,0.05655938,0.2902487,-2.488614
0.0007506077,-0.2133612,-2.195806,0.05655938,0.2902487,-2.488614
-0.05601774,-0.1891901,-2.183463,0.05680124,0.2912148,-2.486578
-0.05601774,-0.1891901,-2.183463,0.05680124,0.2912148,-2.486578
-0.09745892,-0.1458874,-2.204283,0.05720677,0.2883084,-2.483583
-0.09745892,-0.1458874,-2.204283,0.05720677,0.2883084,-2.483583
-0.1355875,-0.1091591,-2.200836,0.05604893,0.2849515,-2.47845
