Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.1123905,0.4954519,-1.804297,0.1429669,0.2802509,-1.982018,0.00346663,0.2105835,-2.235165,-0.1758112,-0.0009131407,-2.258271
0.1123905,0.4954519,-1.804297,0.1429669,0.2802509,-1.982018,0.00346663,0.2105835,-2.235165,-0.1758112,-0.0009131407,-2.258271
0.1115412,0.4823343,-1.797803,0.1470218,0.2765924,-1.988393,0.001567575,0.2179074,-2.237424,-0.1771165,0.00570539,-2.258655
0.1115412,0.4823343,-1.797803,0.1470218,0.2765924,-1.988393,0.001567575,0.2179074,-2.237424,-0.1771165,0.00570539,-2.258655
0.1130348,0.4758864,-1.796617,0.1450051,0.2733948,-1.992579,0.002179513,0.217882,-2.237967,-0.1763127,0.005433081,-2.258584
0.1130348,0.4758864,-1.796617,0.1450051,0.2733948,-1.992579,0.002179513,0.217882,-2.237967,-0.1763127,0.005433081,-2.258584
0.1130348,0.4758864,-1.796617,0.1450051,0.2733948,-1.992579,0.002179513,0.217882,-2.237967,-0.1763127,0.005433081,-2.258584
0.111066,0.4940244,-1.804279,0.1456624,0.2807913,-1.982418,0.002652443,0.217619,-2.238824,-0.1762625,0.005395557,-2.258225
0.111066,0.4940244,-1.804279,0.1456624,0.2807913,-1.982418,0.002652443,0.217619,-2.238824,-0.1762625,0.005395557,-2.258225
0.111066,0.4940244,-1.804279,0.1456624,0.2807913,-1.982418,0.002652443,0.217619,-2.238824,-0.1762625,0.005395557,-2.258225
0.111066,0.4940244,-1.804279,0.1456624,0.2807913,-1.982418,0.002652443,0.217619,-2.238824,-0.1762625,0.005395557,-2.258225
0.1133693,0.4833683,-1.796341,0.1434958,0.2775679,-1.987478,0.004727861,0.2121131,-2.235192,-0.1743238,3.538216E-05,-2.254936
0.1133693,0.4833683,-1.796341,0.1434958,0.2775679,-1.987478,0.004727861,0.2121131,-2.235192,-0.1743238,3.538216E-05,-2.254936
0.1121726,0.4814148,-1.791418,0.1473282,0.2777549,-1.985549,0.003202155,0.2124638,-2.236452,-0.1757091,0.0002215977,-2.255707
