Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.1512639,0.4302474,-1.954677,-0.2456307,0.2151434,-2.101371,-0.1537637,0.2140087,-2.383754,0.0175585,-0.003733656,-2.402819
-0.1512639,0.4302474,-1.954677,-0.2456307,0.2151434,-2.101371,-0.1537637,0.2140087,-2.383754,0.0175585,-0.003733656,-2.402819
-0.1512639,0.4302474,-1.954677,-0.2456307,0.2151434,-2.101371,-0.1537637,0.2140087,-2.383754,0.0175585,-0.003733656,-2.402819
-0.1509949,0.4301795,-1.963614,-0.2480775,0.2149955,-2.109808,-0.1561155,0.2130155,-2.390435,0.01651961,-0.003629886,-2.410141
-0.1509949,0.4301795,-1.963614,-0.2480775,0.2149955,-2.109808,-0.1561155,0.2130155,-2.390435,0.01651961,-0.003629886,-2.410141
-0.152475,0.4328364,-1.97391,-0.2523053,0.2163953,-2.114395,-0.1593066,0.2129083,-2.400409,0.01331582,-0.003808503,-2.419225
-0.152475,0.4328364,-1.97391,-0.2523053,0.2163953,-2.114395,-0.1593066,0.2129083,-2.400409,0.01331582,-0.003808503,-2.419225
-0.1537999,0.4364752,-1.984785,-0.2564752,0.2189429,-2.123454,-0.1659817,0.2128992,-2.408808,0.008074933,-0.00282181,-2.425904
-0.1537999,0.4364752,-1.984785,-0.2564752,0.2189429,-2.123454,-0.1659817,0.2128992,-2.408808,0.008074933,-0.00282181,-2.425904
-0.1537999,0.4364752,-1.984785,-0.2564752,0.2189429,-2.123454,-0.1659817,0.2128992,-2.408808,0.008074933,-0.00282181,-2.425904
-0.1537999,0.4364752,-1.984785,-0.2564752,0.2189429,-2.123454,-0.1659817,0.2128992,-2.408808,0.008074933,-0.00282181,-2.425904
-0.1641102,0.434223,-1.991185,-0.2611813,0.2183353,-2.132517,-0.1719065,0.2078948,-2.413292,0.003888487,-0.005565359,-2.438293
-0.1641102,0.434223,-1.991185,-0.2611813,0.2183353,-2.132517,-0.1719065,0.2078948,-2.413292,0.003888487,-0.005565359,-2.438293
-0.1714362,0.4372986,-1.993843,-0.2646928,0.2201962,-2.13661,-0.1765691,0.2012084,-2.417865,-0.001334632,-0.01232237,-2.446325
-0.1714362,0.4372986,-1.993843,-0.2646928,0.2201962,-2.13661,-0.1765691,0.2012084,-2.417865,-0.001334632,-0.01232237,-2.446325
-0.1744684,0.4414011,-2.003906,-0.2692087,0.2215401,-2.143381,-0.1838912,0.2024741,-2.427686,-0.009820689,-0.01220418,-2.4548
-0.1744684,0.4414011,-2.003906,-0.2692087,0.2215401,-2.143381,-0.1838912,0.2024741,-2.427686,-0.009820689,-0.01220418,-2.4548
-0.1744684,0.4414011,-2.003906,-0.2692087,0.2215401,-2.143381,-0.1838912,0.2024741,-2.427686,-0.009820689,-0.01220418,-2.4548
-0.1774134,0.4428541,-2.010718,-0.277614,0.2233266,-2.145351,-0.1937672,0.205016,-2.437464,-0.02042434,-0.01016794,-2.465299
-0.1774134,0.4428541,-2.010718,-0.277614,0.2233266,-2.145351,-0.1937672,0.205016,-2.437464,-0.02042434,-0.01016794,-2.465299
-0.1774134,0.4428541,-2.010718,-0.277614,0.2233266,-2.145351,-0.1937672,0.205016,-2.437464,-0.02042434,-0.01016794,-2.465299
-0.1774134,0.4428541,-2.010718,-0.277614,0.2233266,-2.145351,-0.1937672,0.205016,-2.437464,-0.02042434,-0.01016794,-2.465299
-0.1833865,0.4440849,-2.013156,-0.2830386,0.225958,-2.151499,-0.2011217,0.2089373,-2.447597,-0.02763308,-0.005954682,-2.476717
-0.1833865,0.4440849,-2.013156,-0.2830386,0.225958,-2.151499,-0.2011217,0.2089373,-2.447597,-0.02763308,-0.005954682,-2.476717
-0.1841909,0.4457416,-2.026402,-0.2873823,0.2246377,-2.158369,-0.2049349,0.2114619,-2.456581,-0.03095782,-0.003154607,-2.484786
-0.1841909,0.4457416,-2.026402,-0.2873823,0.2246377,-2.158369,-0.2049349,0.2114619,-2.456581,-0.03095782,-0.003154607,-2.484786
-0.1841909,0.4457416,-2.026402,-0.2873823,0.2246377,-2.158369,-0.2049349,0.2114619,-2.456581,-0.03095782,-0.003154607,-2.484786
-0.1841909,0.4457416,-2.026402,-0.2873823,0.2246377,-2.158369,-0.2049349,0.2114619,-2.456581,-0.03095782,-0.003154607,-2.484786
-0.1885894,0.4434574,-2.032721,-0.2949808,0.2255573,-2.167439,-0.2099847,0.2133149,-2.461287,-0.03534048,4.106478E-05,-2.494823
