Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.3170274,0.5082679,-1.81645,-0.3391296,0.3011571,-2.007048,-0.1677814,0.2253064,-2.237284,-0.008392746,0.002603343,-2.283391
-0.3170274,0.5082679,-1.81645,-0.3391296,0.3011571,-2.007048,-0.1677814,0.2253064,-2.237284,-0.008392746,0.002603343,-2.283391
-0.3170274,0.5082679,-1.81645,-0.3391296,0.3011571,-2.007048,-0.1677814,0.2253064,-2.237284,-0.008392746,0.002603343,-2.283391
-0.3397853,0.4971611,-1.816045,-0.3489658,0.2956602,-2.013522,-0.1679364,0.2235591,-2.237396,-0.00817201,0.000822769,-2.282024
-0.3397853,0.4971611,-1.816045,-0.3489658,0.2956602,-2.013522,-0.1679364,0.2235591,-2.237396,-0.00817201,0.000822769,-2.282024
-0.3397853,0.4971611,-1.816045,-0.3489658,0.2956602,-2.013522,-0.1679364,0.2235591,-2.237396,-0.00817201,0.000822769,-2.282024
-0.3397853,0.4971611,-1.816045,-0.3489658,0.2956602,-2.013522,-0.1679364,0.2235591,-2.237396,-0.00817201,0.000822769,-2.282024
-0.3712339,0.4768998,-1.81513,-0.3571925,0.2863345,-2.022419,-0.1672052,0.2243733,-2.238582,-0.007648267,0.001218794,-2.281843
-0.3712339,0.4768998,-1.81513,-0.3571925,0.2863345,-2.022419,-0.1672052,0.2243733,-2.238582,-0.007648267,0.001218794,-2.281843
-0.4319447,0.4665435,-1.81051,-0.3827507,0.273101,-2.009661,-0.1674854,0.2202716,-2.238713,-0.006616989,-0.002015904,-2.281575
-0.4319447,0.4665435,-1.81051,-0.3827507,0.273101,-2.009661,-0.1674854,0.2202716,-2.238713,-0.006616989,-0.002015904,-2.281575
-0.4319447,0.4665435,-1.81051,-0.3827507,0.273101,-2.009661,-0.1674854,0.2202716,-2.238713,-0.006616989,-0.002015904,-2.281575
-0.4319447,0.4665435,-1.81051,-0.3827507,0.273101,-2.009661,-0.1674854,0.2202716,-2.238713,-0.006616989,-0.002015904,-2.281575
-0.4812352,0.4402819,-1.794846,-0.4054269,0.2557706,-1.999673,-0.1666028,0.2250207,-2.239794,-0.006098028,0.00255146,-2.28308
-0.4812352,0.4402819,-1.794846,-0.4054269,0.2557706,-1.999673,-0.1666028,0.2250207,-2.239794,-0.006098028,0.00255146,-2.28308
-0.5193515,0.3816434,-1.794322,-0.4191374,0.2223148,-2.013799,-0.1678245,0.2279974,-2.242665,-0.006179148,0.006005904,-2.284107
-0.5193515,0.3816434,-1.794322,-0.4191374,0.2223148,-2.013799,-0.1678245,0.2279974,-2.242665,-0.006179148,0.006005904,-2.284107
-0.5487195,0.2975829,-1.802529,-0.4208045,0.1923076,-2.03761,-0.1671805,0.2276474,-2.244955,-0.005128128,0.005532456,-2.28407
-0.5487195,0.2975829,-1.802529,-0.4208045,0.1923076,-2.03761,-0.1671805,0.2276474,-2.244955,-0.005128128,0.005532456,-2.28407
-0.5744847,0.1909753,-1.816194,-0.4195642,0.1496928,-2.055434,-0.165939,0.2258651,-2.24454,-0.005055305,0.002824262,-2.283188
-0.5744847,0.1909753,-1.816194,-0.4195642,0.1496928,-2.055434,-0.165939,0.2258651,-2.24454,-0.005055305,0.002824262,-2.283188
-0.5874459,0.1058041,-1.821578,-0.4212702,0.1107104,-2.064797,-0.1659415,0.2208845,-2.246302,-0.003929266,-0.001852841,-2.281858
-0.5874459,0.1058041,-1.821578,-0.4212702,0.1107104,-2.064797,-0.1659415,0.2208845,-2.246302,-0.003929266,-0.001852841,-2.281858
-0.5783859,0.0006316268,-1.858437,-0.4055724,0.0760686,-2.082838,-0.1663492,0.2232255,-2.247537,-0.005608609,-0.0006754124,-2.281538
-0.5783859,0.0006316268,-1.858437,-0.4055724,0.0760686,-2.082838,-0.1663492,0.2232255,-2.247537,-0.005608609,-0.0006754124,-2.281538
-0.5447152,-0.09376403,-1.88549,-0.3899738,0.0398322,-2.100338,-0.1664561,0.2231925,-2.24746,-0.005114313,-0.0002610876,-2.281585
-0.5447152,-0.09376403,-1.88549,-0.3899738,0.0398322,-2.100338,-0.1664561,0.2231925,-2.24746,-0.005114313,-0.0002610876,-2.281585
-0.4854964,-0.1868168,-1.938159,-0.3577954,0.00305259,-2.124432,-0.1661932,0.2219486,-2.246018,-0.005244616,-0.00160833,-2.281313
-0.4854964,-0.1868168,-1.938159,-0.3577954,0.00305259,-2.124432,-0.1661932,0.2219486,-2.246018,-0.005244616,-0.00160833,-2.281313
-0.412269,-0.2577737,-1.975105,-0.326799,-0.02688183,-2.136691,-0.167352,0.2230415,-2.24532,-0.005889772,7.583179E-05,-2.28198
-0.412269,-0.2577737,-1.975105,-0.326799,-0.02688183,-2.136691,-0.167352,0.2230415,-2.24532,-0.005889772,7.583179E-05,-2.28198
