Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
-0.05680788,0.4441017,-1.754141,0.03823873,0.229144,-1.917796,-0.004878542,0.1669987,-2.222069,-0.1783183,-0.04575945,-2.264213
-0.05936966,0.4468926,-1.756945,0.03727635,0.2304268,-1.917098,-0.004947417,0.1597167,-2.221709,-0.1786038,-0.05249285,-2.26571
-0.05936966,0.4468926,-1.756945,0.03727635,0.2304268,-1.917098,-0.004947417,0.1597167,-2.221709,-0.1786038,-0.05249285,-2.26571
-0.06509828,0.4478041,-1.755993,0.03564928,0.2329682,-1.916964,-0.003787211,0.1587398,-2.219688,-0.1776478,-0.0526548,-2.266699
-0.06509828,0.4478041,-1.755993,0.03564928,0.2329682,-1.916964,-0.003787211,0.1587398,-2.219688,-0.1776478,-0.0526548,-2.266699
-0.0694648,0.4523394,-1.757287,0.02950208,0.2330489,-1.912753,-0.004673723,0.153938,-2.215,-0.1791069,-0.05673776,-2.263091
-0.0694648,0.4523394,-1.757287,0.02950208,0.2330489,-1.912753,-0.004673723,0.153938,-2.215,-0.1791069,-0.05673776,-2.263091
-0.07840904,0.4524718,-1.759527,0.02546456,0.2344271,-1.910715,-0.004486373,0.1535648,-2.216245,-0.1790876,-0.05700919,-2.264205
-0.07840904,0.4524718,-1.759527,0.02546456,0.2344271,-1.910715,-0.004486373,0.1535648,-2.216245,-0.1790876,-0.05700919,-2.264205
-0.08614957,0.4514032,-1.764609,0.0215041,0.2355778,-1.911598,-0.003037862,0.1533438,-2.218038,-0.1776346,-0.05761956,-2.264268
-0.08614957,0.4514032,-1.764609,0.0215041,0.2355778,-1.911598,-0.003037862,0.1533438,-2.218038,-0.1776346,-0.05761956,-2.264268
-0.100342,0.4526447,-1.766029,0.01753955,0.2415256,-1.909055,-0.003920642,0.1427206,-2.215995,-0.1798356,-0.06684736,-2.263545
-0.100342,0.4526447,-1.766029,0.01753955,0.2415256,-1.909055,-0.003920642,0.1427206,-2.215995,-0.1798356,-0.06684736,-2.263545
-0.100342,0.4526447,-1.766029,0.01753955,0.2415256,-1.909055,-0.003920642,0.1427206,-2.215995,-0.1798356,-0.06684736,-2.263545
-0.100342,0.4526447,-1.766029,0.01753955,0.2415256,-1.909055,-0.003920642,0.1427206,-2.215995,-0.1798356,-0.06684736,-2.263545
-0.1063916,0.4531231,-1.767983,0.008585662,0.241314,-1.910384,-0.002598696,0.1392178,-2.218226,-0.1782552,-0.0710218,-2.26372
-0.1063916,0.4531231,-1.767983,0.008585662,0.241314,-1.910384,-0.002598696,0.1392178,-2.218226,-0.1782552,-0.0710218,-2.26372
-0.1063916,0.4531231,-1.767983,0.008585662,0.241314,-1.910384,-0.002598696,0.1392178,-2.218226,-0.175588,-0.07252814,-2.262391
-0.1140692,0.4525632,-1.772782,0.002296518,0.2382707,-1.911579,-0.0004163852,0.1388971,-2.220717,-0.175588,-0.07252814,-2.262391
-0.1140692,0.4525632,-1.772782,0.002296518,0.2382707,-1.911579,-0.0004163852,0.1388971,-2.220717,-0.175588,-0.07252814,-2.262391
-0.1140692,0.4525632,-1.772782,0.002296518,0.2382707,-1.911579,-0.0004163852,0.1388971,-2.220717,-0.175588,-0.07252814,-2.262391
-0.1140692,0.4525632,-1.772782,0.002296518,0.2382707,-1.911579,-0.0004163852,0.1388971,-2.220717,-0.175588,-0.07252814,-2.262391
-0.126615,0.4512843,-1.775644,-0.0009221985,0.2401013,-1.911244,-0.001702103,0.1362203,-2.222755,-0.170777,-0.07960963,-2.266497
-0.126615,0.4512843,-1.775644,-0.0009221985,0.2401013,-1.911244,-0.001702103,0.1362203,-2.222755,-0.170777,-0.07960963,-2.266497
-0.1374382,0.4519954,-1.775628,-0.006009982,0.2421974,-1.91105,-0.003233883,0.137827,-2.220111,-0.1707664,-0.07905769,-2.264923
-0.1374382,0.4519954,-1.775628,-0.006009982,0.2421974,-1.91105,-0.003233883,0.137827,-2.220111,-0.1707664,-0.07905769,-2.264923
-0.1695534,0.4407337,-1.782469,-0.02446966,0.2392828,-1.915929,-0.01061754,0.1374799,-2.216005,-0.1792277,-0.07746954,-2.265836
-0.1695534,0.4407337,-1.782469,-0.02446966,0.2392828,-1.915929,-0.01061754,0.1374799,-2.216005,-0.1792277,-0.07746954,-2.265836
-0.2047505,0.4210629,-1.792428,-0.04364682,0.2298272,-1.918241,-0.013161,0.136268,-2.215305,-0.1825235,-0.07809733,-2.265197
-0.2047505,0.4210629,-1.792428,-0.04364682,0.2298272,-1.918241,-0.013161,0.136268,-2.215305,-0.1825235,-0.07809733,-2.265197
-0.240698,0.3945371,-1.806787,-0.05710042,0.2226367,-1.926611,-0.01551618,0.1403807,-2.216198,-0.1867161,-0.07263076,-2.265506
-0.240698,0.3945371,-1.806787,-0.05710042,0.2226367,-1.926611,-0.01551618,0.1403807,-2.216198,-0.1867161,-0.07263076,-2.265506
-0.2740163,0.3533894,-1.82096,-0.07149286,0.2001366,-1.935548,-0.02095512,0.1441891,-2.214402,-0.1873057,-0.07136736,-2.268862
-0.2740163,0.3533894,-1.82096,-0.07149286,0.2001366,-1.935548,-0.02095512,0.1441891,-2.214402,-0.1873057,-0.07136736,-2.268862
-0.3189642,0.301349,-1.836552,-0.09348032,0.1725547,-1.942664,-0.006758913,0.1900966,-2.220593,-0.1898699,-0.01501702,-2.25311
-0.3189642,0.301349,-1.836552,-0.09348032,0.1725547,-1.942664,-0.006758913,0.1900966,-2.220593,-0.1898699,-0.01501702,-2.25311
-0.3189642,0.301349,-1.836552,-0.09348032,0.1725547,-1.942664,-0.006758913,0.1900966,-2.220593,-0.1898699,-0.01501702,-2.25311
-0.3189642,0.301349,-1.836552,-0.09348032,0.1725547,-1.942664,-0.006758913,0.1900966,-2.220593,-0.1898699,-0.01501702,-2.25311
-0.3455151,0.2254684,-1.870141,-0.09652672,0.1411059,-1.960728,0.003388774,0.2042484,-2.223913,-0.1845438,0.002350068,-2.254086
-0.3455151,0.2254684,-1.870141,-0.09652672,0.1411059,-1.960728,0.003388774,0.2042484,-2.223913,-0.1845438,0.002350068,-2.254086
-0.3626545,0.1453767,-1.896901,-0.09764104,0.1084712,-1.978328,0.005894878,0.2062941,-2.229511,-0.1841014,0.005524803,-2.255658
-0.3626545,0.1453767,-1.896901,-0.09764104,0.1084712,-1.978328,0.005894878,0.2062941,-2.229511,-0.1841014,0.005524803,-2.255658
-0.3708249,0.06403728,-1.930296,-0.09862879,0.0706097,-1.996904,0.007889193,0.2082798,-2.233731,-0.1827487,0.007760232,-2.257539
-0.3708249,0.06403728,-1.930296,-0.09862879,0.0706097,-1.996904,0.007889193,0.2082798,-2.233731,-0.1827487,0.007760232,-2.257539
-0.3594964,-0.02243008,-1.964577,-0.09257172,0.03533607,-2.022855,0.01376902,0.2071278,-2.237696,-0.1781241,0.007143288,-2.254604
-0.3594964,-0.02243008,-1.964577,-0.09257172,0.03533607,-2.022855,0.01376902,0.2071278,-2.237696,-0.1781241,0.007143288,-2.254604
-0.3384415,-0.1053219,-1.982426,-0.08283942,-0.001078201,-2.043398,0.01467501,0.2093074,-2.243695,-0.1746461,0.006395482,-2.252638
-0.3384415,-0.1053219,-1.982426,-0.08283942,-0.001078201,-2.043398,0.01467501,0.2093074,-2.243695,-0.1746461,0.006395482,-2.252638
-0.3121744,-0.1673539,-1.986701,-0.07067675,-0.03157135,-2.061321,0.01773418,0.2133609,-2.262045,-0.1665536,0.006076464,-2.253312
-0.3121744,-0.1673539,-1.986701,-0.07067675,-0.03157135,-2.061321,0.01773418,0.2133609,-2.262045,-0.1665536,0.006076464,-2.253312
-0.3121744,-0.1673539,-1.986701,-0.07067675,-0.03157135,-2.061321,0.01773418,0.2133609,-2.262045,-0.1665536,0.006076464,-2.253312
-0.3121744,-0.1673539,-1.986701,-0.07067675,-0.03157135,-2.061321,0.01773418,0.2133609,-2.262045,-0.1665536,0.006076464,-2.253312
-0.3121744,-0.1673539,-1.986701,-0.07067675,-0.03157135,-2.061321,0.01773418,0.2133609,-2.262045,-0.1665536,0.006076464,-2.253312
-0.2448412,-0.2297092,-2.015243,-0.04309399,-0.03831283,-2.086247,0.01893149,0.2132799,-2.263902,-0.1641762,0.004729475,-2.255953
-0.2448412,-0.2297092,-2.015243,-0.04309399,-0.03831283,-2.086247,0.01893149,0.2132799,-2.263902,-0.1641762,0.004729475,-2.255953
-0.1590669,-0.2845032,-2.040001,-0.01447393,-0.04827176,-2.115013,0.01820135,0.2140024,-2.272102,-0.1666397,0.006978,-2.262764
-0.1590669,-0.2845032,-2.040001,-0.01447393,-0.04827176,-2.115013,0.01820135,0.2140024,-2.272102,-0.1666397,0.006978,-2.262764
-0.1590669,-0.2845032,-2.040001,-0.01447393,-0.04827176,-2.115013,0.01820135,0.2140024,-2.272102,-0.1666397,0.006978,-2.262764
-0.1590669,-0.2845032,-2.040001,-0.01447393,-0.04827176,-2.115013,0.01820135,0.2140024,-2.272102,-0.1666397,0.006978,-2.262764
-0.09395893,-0.3207067,-2.034027,0.006341943,-0.06808722,-2.135483,0.0201633,0.2158224,-2.275159,-0.1547485,0.0005728786,-2.263981
-0.09395893,-0.3207067,-2.034027,0.006341943,-0.06808722,-2.135483,0.0201633,0.2158224,-2.275159,-0.1547485,0.0005728786,-2.263981
-0.01672759,-0.342541,-2.017634,0.03697707,-0.08477133,-2.147641,0.01985747,0.2128066,-2.276905,-0.1602044,0.001855778,-2.264364
-0.01672759,-0.342541,-2.017634,0.03697707,-0.08477133,-2.147641,0.01985747,0.2128066,-2.276905,-0.1602044,0.001855778,-2.264364
-0.01672759,-0.342541,-2.017634,0.03697707,-0.08477133,-2.147641,0.01985747,0.2128066,-2.276905,-0.1602044,0.001855778,-2.264364
-0.01672759,-0.342541,-2.017634,0.03697707,-0.08477133,-2.147641,0.01985747,0.2128066,-2.276905,-0.1602044,0.001855778,-2.264364
0.05672033,-0.3450566,-2.004727,0.06812873,-0.09101279,-2.158803,0.01666197,0.2114884,-2.282317,-0.1695116,0.006236813,-2.265132
0.05672033,-0.3450566,-2.004727,0.06812873,-0.09101279,-2.158803,0.01666197,0.2114884,-2.282317,-0.1695116,0.006236813,-2.265132
0.1327434,-0.3277341,-1.997882,0.107652,-0.07988979,-2.167069,0.0136855,0.2143546,-2.2852,-0.1736504,0.01028757,-2.265738
0.1327434,-0.3277341,-1.997882,0.107652,-0.07988979,-2.167069,0.0136855,0.2143546,-2.2852,-0.1736504,0.01028757,-2.265738
0.1327434,-0.3277341,-1.997882,0.107652,-0.07988979,-2.167069,0.0136855,0.2143546,-2.2852,-0.1736504,0.01028757,-2.265738
0.1327434,-0.3277341,-1.997882,0.107652,-0.07988979,-2.167069,0.0136855,0.2143546,-2.2852,-0.1736504,0.01028757,-2.265738
0.2040045,-0.2935532,-1.979433,0.1406741,-0.0648637,-2.169332,0.01339263,0.2052839,-2.278745,-0.1764983,0.003058455,-2.266418
0.2040045,-0.2935532,-1.979433,0.1406741,-0.0648637,-2.169332,0.01339263,0.2052839,-2.278745,-0.1764983,0.003058455,-2.266418
0.2040045,-0.2935532,-1.979433,0.1406741,-0.0648637,-2.169332,0.01339263,0.2052839,-2.278745,-0.1764983,0.003058455,-2.266418
0.2040045,-0.2935532,-1.979433,0.1406741,-0.0648637,-2.169332,0.01339263,0.2052839,-2.278745,-0.1764983,0.003058455,-2.266418
0.2609763,-0.245599,-1.958145,0.1706824,-0.03987946,-2.164903,0.011402,0.2043179,-2.274538,-0.1793636,0.00261233,-2.268772
0.2609763,-0.245599,-1.958145,0.1706824,-0.03987946,-2.164903,0.011402,0.2043179,-2.274538,-0.1793636,0.00261233,-2.268772
0.3118298,-0.1858684,-1.9235,0.1970741,-0.01533499,-2.148659,0.01154436,0.2066606,-2.27632,-0.1792615,0.004987419,-2.269652
0.3118298,-0.1858684,-1.9235,0.1970741,-0.01533499,-2.148659,0.01154436,0.2066606,-2.27632,-0.1792615,0.004987419,-2.269652
0.3842999,-0.0583498,-1.88376,0.2231475,0.03205139,-2.123101,0.01294733,0.2035925,-2.275938,-0.1790912,0.003106511,-2.268662
0.3842999,-0.0583498,-1.88376,0.2231475,0.03205139,-2.123101,0.01294733,0.2035925,-2.275938,-0.1790912,0.003106511,-2.268662
0.4111655,0.03540965,-1.863931,0.2343041,0.0706122,-2.111873,0.01522474,0.2029564,-2.277511,-0.1770805,0.002748078,-2.269541
0.4111655,0.03540965,-1.863931,0.2343041,0.0706122,-2.111873,0.01522474,0.2029564,-2.277511,-0.1770805,0.002748078,-2.269541
0.4111655,0.03540965,-1.863931,0.2343041,0.0706122,-2.111873,0.01522474,0.2029564,-2.277511,-0.1770805,0.002748078,-2.269541
0.4111655,0.03540965,-1.863931,0.2343041,0.0706122,-2.111873,0.01522474,0.2029564,-2.277511,-0.1770805,0.002748078,-2.269541
0.4291297,0.1220237,-1.858642,0.2350786,0.1000989,-2.097542,0.01514025,0.2039343,-2.275835,-0.1769764,0.003469602,-2.270235
0.4291297,0.1220237,-1.858642,0.2350786,0.1000989,-2.097542,0.01514025,0.2039343,-2.275835,-0.1769764,0.003469602,-2.270235
0.4304357,0.1956158,-1.855285,0.2300988,0.1325295,-2.081984,0.01501041,0.2049819,-2.276268,-0.1774907,0.004959949,-2.268742
0.4304357,0.1956158,-1.855285,0.2300988,0.1325295,-2.081984,0.01501041,0.2049819,-2.276268,-0.1774907,0.004959949,-2.268742
0.4304357,0.1956158,-1.855285,0.2300988,0.1325295,-2.081984,0.01501041,0.2049819,-2.276268,-0.1774907,0.004959949,-2.268742
0.4304357,0.1956158,-1.855285,0.2300988,0.1325295,-2.081984,0.01501041,0.2049819,-2.276268,-0.1774907,0.004959949,-2.268742
0.4227197,0.2639736,-1.852261,0.227086,0.1605079,-2.067466,0.01508062,0.2053693,-2.271809,-0.1777014,0.005502197,-2.270741
0.4227197,0.2639736,-1.852261,0.227086,0.1605079,-2.067466,0.01508062,0.2053693,-2.271809,-0.1777014,0.005502197,-2.270741
0.405736,0.3294441,-1.840956,0.2248197,0.187675,-2.047712,0.01503887,0.2071516,-2.269084,-0.1767466,0.00631192,-2.268474
0.405736,0.3294441,-1.840956,0.2248197,0.187675,-2.047712,0.01503887,0.2071516,-2.269084,-0.1767466,0.00631192,-2.268474
0.405736,0.3294441,-1.840956,0.2248197,0.187675,-2.047712,0.01503887,0.2071516,-2.269084,-0.1767466,0.00631192,-2.268474
0.405736,0.3294441,-1.840956,0.2248197,0.187675,-2.047712,0.01503887,0.2071516,-2.269084,-0.1767466,0.00631192,-2.268474
0.405736,0.3294441,-1.840956,0.2248197,0.187675,-2.047712,0.01503887,0.2071516,-2.269084,-0.1767466,0.00631192,-2.268474
0.374686,0.3845831,-1.826256,0.2143608,0.2153582,-2.027729,0.01624629,0.2080749,-2.269999,-0.1756384,0.007312563,-2.26912
0.374686,0.3845831,-1.826256,0.2143608,0.2153582,-2.027729,0.01624629,0.2080749,-2.269999,-0.1756384,0.007312563,-2.26912
0.3051971,0.4480364,-1.810051,0.1895787,0.2435881,-2.006363,0.01554885,0.209547,-2.270366,-0.1760024,0.008462042,-2.269286
0.3051971,0.4480364,-1.810051,0.1895787,0.2435881,-2.006363,0.01554885,0.209547,-2.270366,-0.1760024,0.008462042,-2.269286
0.2387864,0.4847792,-1.796012,0.1744284,0.2608227,-1.990034,0.01697419,0.2090829,-2.270241,-0.1749545,0.008358791,-2.269365
0.2387864,0.4847792,-1.796012,0.1744284,0.2608227,-1.990034,0.01697419,0.2090829,-2.270241,-0.1749545,0.008358791,-2.269365
0.1753216,0.4783173,-1.784583,0.1507683,0.2637043,-1.996899,0.01819058,0.2027805,-2.265772,-0.1746109,0.00295001,-2.269273
0.1753216,0.4783173,-1.784583,0.1507683,0.2637043,-1.996899,0.01819058,0.2027805,-2.265772,-0.1746109,0.00295001,-2.269273
0.1192237,0.4834037,-1.776121,0.1291495,0.267281,-1.98871,0.01405895,0.1681483,-2.252267,-0.1804642,-0.02942874,-2.266783
0.1192237,0.4834037,-1.776121,0.1291495,0.267281,-1.98871,0.01405895,0.1681483,-2.252267,-0.1804642,-0.02942874,-2.266783
0.06722989,0.4842441,-1.774178,0.1114702,0.2669416,-1.981235,0.002379384,0.160432,-2.244593,-0.1747163,-0.0513926,-2.269543
0.06722989,0.4842441,-1.774178,0.1114702,0.2669416,-1.981235,0.002379384,0.160432,-2.244593,-0.1747163,-0.0513926,-2.269543
0.06722989,0.4842441,-1.774178,0.1114702,0.2669416,-1.981235,0.002379384,0.160432,-2.244593,-0.1747163,-0.0513926,-2.269543
0.06722989,0.4842441,-1.774178,0.1114702,0.2669416,-1.981235,0.002379384,0.160432,-2.244593,-0.1747163,-0.0513926,-2.269543
0.01362121,0.4801201,-1.77289,0.09664049,0.2673863,-1.972312,-0.002920361,0.1581072,-2.242589,-0.1747073,-0.05826595,-2.269427
0.01362121,0.4801201,-1.77289,0.09664049,0.2673863,-1.972312,-0.002920361,0.1581072,-2.242589,-0.1747073,-0.05826595,-2.269427
-0.02837819,0.4799562,-1.790513,0.08106131,0.2643635,-1.963369,-0.005125666,0.1612349,-2.22171,-0.1690675,-0.05728811,-2.269912
-0.02837819,0.4799562,-1.790513,0.08106131,0.2643635,-1.963369,-0.005125666,0.1612349,-2.22171,-0.1690675,-0.05728811,-2.269912
-0.06166063,0.4759504,-1.798431,0.05944392,0.2590913,-1.954386,-0.006624381,0.1616513,-2.216317,-0.1681301,-0.05728204,-2.271651
-0.06166063,0.4759504,-1.798431,0.05944392,0.2590913,-1.954386,-0.006624381,0.1616513,-2.216317,-0.1681301,-0.05728204,-2.271651
-0.09281299,0.4604056,-1.804468,0.04937664,0.2525142,-1.947559,-0.01090962,0.1586243,-2.216645,-0.1752744,-0.05951472,-2.266391
-0.09281299,0.4604056,-1.804468,0.04937664,0.2525142,-1.947559,-0.01090962,0.1586243,-2.216645,-0.1752744,-0.05951472,-2.266391
-0.1147028,0.4436672,-1.805768,0.03897513,0.2456266,-1.94486,-0.0191158,0.1570289,-2.218229,-0.1841561,-0.06040592,-2.269177
-0.1147028,0.4436672,-1.805768,0.03897513,0.2456266,-1.94486,-0.0191158,0.1570289,-2.218229,-0.1841561,-0.06040592,-2.269177
-0.1300683,0.4347509,-1.804713,0.02954777,0.2428995,-1.939265,-0.02343202,0.1566684,-2.221004,-0.1876711,-0.06219213,-2.268373
-0.1300683,0.4347509,-1.804713,0.02954777,0.2428995,-1.939265,-0.02343202,0.1566684,-2.221004,-0.1876711,-0.06219213,-2.268373
-0.1462824,0.4242059,-1.806175,0.01973042,0.2379676,-1.934674,-0.02678067,0.1635971,-2.221696,-0.1891763,-0.0561499,-2.271309
-0.1462824,0.4242059,-1.806175,0.01973042,0.2379676,-1.934674,-0.02678067,0.1635971,-2.221696,-0.1891763,-0.0561499,-2.271309
-0.1527603,0.4169277,-1.800848,0.01332197,0.2329319,-1.927742,-0.02864613,0.1701915,-2.224159,-0.1904234,-0.05143765,-2.26678
-0.1527603,0.4169277,-1.800848,0.01332197,0.2329319,-1.927742,-0.02864613,0.1701915,-2.224159,-0.1904234,-0.05143765,-2.26678
-0.1527603,0.4169277,-1.800848,0.01332197,0.2329319,-1.927742,-0.02864613,0.1701915,-2.224159,-0.1904234,-0.05143765,-2.26678
-0.1527603,0.4169277,-1.800848,0.01332197,0.2329319,-1.927742,-0.02864613,0.1701915,-2.224159,-0.1904234,-0.05143765,-2.26678
