Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.05033178,0.5049605,-1.805986,0.118643,0.2883913,-1.976782,-0.001678865,0.2046655,-2.219079,-0.1886066,0.001055803,-2.254678
0.05033178,0.5049605,-1.805986,0.118643,0.2883913,-1.976782,-0.001678865,0.2046655,-2.219079,-0.1886066,0.001055803,-2.254678
0.05067903,0.5029091,-1.804494,0.1219514,0.2899989,-1.978619,-0.002826963,0.2115001,-2.221987,-0.189556,0.007517133,-2.256527
0.05067903,0.5029091,-1.804494,0.1219514,0.2899989,-1.978619,-0.002826963,0.2115001,-2.221987,-0.189556,0.007517133,-2.256527
0.05424069,0.5055888,-1.806486,0.122859,0.2898467,-1.978173,-0.002138133,0.2056455,-2.217999,-0.1886113,0.00199585,-2.255739
0.05424069,0.5055888,-1.806486,0.122859,0.2898467,-1.978173,-0.002138133,0.2056455,-2.217999,-0.1886113,0.00199585,-2.255739
0.05424069,0.5055888,-1.806486,0.122859,0.2898467,-1.978173,-0.002138133,0.2056455,-2.217999,-0.1886113,0.00199585,-2.255739
0.05424069,0.5055888,-1.806486,0.122859,0.2898467,-1.978173,-0.002138133,0.2056455,-2.217999,-0.1886113,0.00199585,-2.255739
0.05605506,0.5075169,-1.805404,0.1236973,0.2920438,-1.977844,-0.001265874,0.2039763,-2.216005,-0.1890998,0.002053038,-2.256181
0.05605506,0.5075169,-1.805404,0.1236973,0.2920438,-1.977844,-0.001265874,0.2039763,-2.216005,-0.1890998,0.002053038,-2.256181
0.0610885,0.5130568,-1.804232,0.1247286,0.2954473,-1.975492,-0.0005215037,0.197453,-2.21424,-0.1890239,-0.003740086,-2.255015
0.0610885,0.5130568,-1.804232,0.1247286,0.2954473,-1.975492,-0.0005215037,0.197453,-2.21424,-0.1890239,-0.003740086,-2.255015
0.06827477,0.5179183,-1.805771,0.1248033,0.2968711,-1.975061,-0.002064402,0.2104218,-2.22037,-0.1897389,0.007661416,-2.256716
0.06827477,0.5179183,-1.805771,0.1248033,0.2968711,-1.975061,-0.002064402,0.2104218,-2.22037,-0.1897389,0.007661416,-2.256716
0.07835101,0.5181322,-1.80917,0.1270842,0.295514,-1.97882,-0.003155366,0.2112202,-2.222343,-0.1912374,0.008189295,-2.255057
0.07835101,0.5181322,-1.80917,0.1270842,0.295514,-1.97882,-0.003155366,0.2112202,-2.222343,-0.1912374,0.008189295,-2.255057
0.07835101,0.5181322,-1.80917,0.1270842,0.295514,-1.97882,-0.003155366,0.2112202,-2.222343,-0.1912374,0.008189295,-2.255057
0.09040944,0.5101843,-1.811369,0.136592,0.2930033,-1.988566,-0.002245692,0.2030952,-2.219419,-0.191488,0.001575548,-2.254688
0.09040944,0.5101843,-1.811369,0.136592,0.2930033,-1.988566,-0.002245692,0.2030952,-2.219419,-0.191488,0.001575548,-2.254688
0.1029082,0.5079548,-1.81514,0.14692,0.2911914,-1.993488,-0.0008189292,0.2046878,-2.219599,-0.1904088,0.003606539,-2.255599
0.1029082,0.5079548,-1.81514,0.14692,0.2911914,-1.993488,-0.0008189292,0.2046878,-2.219599,-0.1904088,0.003606539,-2.255599
0.1029082,0.5079548,-1.81514,0.14692,0.2911914,-1.993488,-0.0008189292,0.2046878,-2.219599,-0.1904088,0.003606539,-2.255599
0.1216977,0.5070544,-1.817436,0.1531712,0.288412,-1.995988,-0.002046912,0.2072242,-2.219624,-0.1903196,0.004636386,-2.254055
0.1216977,0.5070544,-1.817436,0.1531712,0.288412,-1.995988,-0.002046912,0.2072242,-2.219624,-0.1903196,0.004636386,-2.254055
0.1393701,0.5087056,-1.818743,0.1577224,0.2882456,-1.996861,0.0003222025,0.2082991,-2.220427,-0.1883438,0.006192852,-2.255566
0.1393701,0.5087056,-1.818743,0.1577224,0.2882456,-1.996861,0.0003222025,0.2082991,-2.220427,-0.1883438,0.006192852,-2.255566
0.1575672,0.505792,-1.819784,0.166362,0.2857535,-1.999229,0.001235893,0.2076146,-2.223097,-0.1883678,0.00576553,-2.254388
0.1575672,0.505792,-1.819784,0.166362,0.2857535,-1.999229,0.001235893,0.2076146,-2.223097,-0.1883678,0.00576553,-2.254388
0.1776937,0.4962251,-1.826151,0.1761869,0.2816238,-2.012189,0.00250454,0.2083926,-2.224086,-0.186802,0.006247513,-2.255338
0.1776937,0.4962251,-1.826151,0.1761869,0.2816238,-2.012189,0.00250454,0.2083926,-2.224086,-0.186802,0.006247513,-2.255338
0.1951486,0.5070413,-1.832766,0.1918297,0.2824881,-2.002512,0.00378573,0.2084222,-2.227108,-0.1855986,0.005793586,-2.254417
0.1951486,0.5070413,-1.832766,0.1918297,0.2824881,-2.002512,0.00378573,0.2084222,-2.227108,-0.1855986,0.005793586,-2.254417
0.2204656,0.4923032,-1.828468,0.1991858,0.2758983,-2.009467,0.002357959,0.2056903,-2.221628,-0.1857092,0.002727904,-2.254758
0.2204656,0.4923032,-1.828468,0.1991858,0.2758983,-2.009467,0.002357959,0.2056903,-2.221628,-0.1857092,0.002727904,-2.254758
0.2204656,0.4923032,-1.828468,0.1991858,0.2758983,-2.009467,0.002357959,0.2056903,-2.221628,-0.1857092,0.002727904,-2.254758
0.2204656,0.4923032,-1.828468,0.1991858,0.2758983,-2.009467,0.002357959,0.2056903,-2.221628,-0.1857092,0.002727904,-2.254758
0.2416412,0.4941488,-1.837231,0.2140614,0.271568,-2.006495,0.002065169,0.2060724,-2.222299,-0.1860988,0.003002126,-2.254388
0.2416412,0.4941488,-1.837231,0.2140614,0.271568,-2.006495,0.002065169,0.2060724,-2.222299,-0.1860988,0.003002126,-2.254388
0.2638601,0.4844607,-1.84289,0.223572,0.2632946,-2.01101,0.002902116,0.2064213,-2.223775,-0.1856354,0.003370951,-2.253763
