Hand_R, , ,Elbow_R, , ,Body, , 
-0.04619689,0.2000076,-1.451376,0.05103075,-0.02404572,-1.65917,-0.1868598,-0.2076122,-1.912242
-0.04559745,0.1978344,-1.452074,0.05068765,-0.02595273,-1.659267,-0.1882744,-0.2080462,-1.910645
-0.04559745,0.1978344,-1.452074,0.05068765,-0.02595273,-1.659267,-0.1882744,-0.2080462,-1.910645
-0.04559745,0.1978344,-1.452074,0.05068765,-0.02595273,-1.659267,-0.1882744,-0.2080462,-1.910645
-0.04559745,0.1978344,-1.452074,0.05068765,-0.02595273,-1.659267,-0.1882744,-0.2080462,-1.910645
-0.04706356,0.1979127,-1.445809,0.05058974,-0.02849197,-1.656609,-0.1882681,-0.2077724,-1.906334
-0.04706356,0.1979127,-1.445809,0.05058974,-0.02849197,-1.656609,-0.1882681,-0.2077724,-1.906334
-0.04706356,0.1979127,-1.445809,0.05058974,-0.02849197,-1.656609,-0.1882681,-0.2077724,-1.906334
-0.04706356,0.1979127,-1.445809,0.05058974,-0.02849197,-1.656609,-0.1882681,-0.2077724,-1.906334
-0.04678696,0.1925322,-1.446295,0.05094555,-0.02992377,-1.656898,-0.1881788,-0.2066025,-1.906719
-0.04678696,0.1925322,-1.446295,0.05094555,-0.02992377,-1.656898,-0.1881788,-0.2066025,-1.906719
-0.04780113,0.1900556,-1.443314,0.05066314,-0.03533879,-1.657145,-0.1847575,-0.2029061,-1.905094
-0.04780113,0.1900556,-1.443314,0.05066314,-0.03533879,-1.657145,-0.1847575,-0.2029061,-1.905094
-0.04780113,0.1900556,-1.443314,0.05066314,-0.03533879,-1.657145,-0.1847575,-0.2029061,-1.905094
-0.04780113,0.1900556,-1.443314,0.05066314,-0.03533879,-1.657145,-0.1847575,-0.2029061,-1.905094
-0.04780113,0.1900556,-1.443314,0.05066314,-0.03533879,-1.657145,-0.1847575,-0.2029061,-1.905094
-0.04486723,0.1846532,-1.445745,0.0515607,-0.03941551,-1.659126,-0.1847469,-0.2001624,-1.902302
-0.04486723,0.1846532,-1.445745,0.0515607,-0.03941551,-1.659126,-0.1847469,-0.2001624,-1.902302
-0.04119607,0.1858042,-1.448409,0.05279354,-0.04056844,-1.659853,-0.1848948,-0.1989699,-1.900415
-0.04119607,0.1858042,-1.448409,0.05279354,-0.04056844,-1.659853,-0.1848948,-0.1989699,-1.900415
-0.04119607,0.1858042,-1.448409,0.05279354,-0.04056844,-1.659853,-0.1848948,-0.1989699,-1.900415
-0.04119607,0.1858042,-1.448409,0.05279354,-0.04056844,-1.659853,-0.1848948,-0.1989699,-1.900415
-0.03471405,0.1995425,-1.455152,0.05245491,-0.03545682,-1.657904,-0.1858378,-0.2001277,-1.900535
-0.03471405,0.1995425,-1.455152,0.05245491,-0.03545682,-1.657904,-0.1858378,-0.2001277,-1.900535
-0.0133299,0.2226793,-1.463304,0.0685752,-0.01887188,-1.657147,-0.1862322,-0.201506,-1.899991
-0.0133299,0.2226793,-1.463304,0.0685752,-0.01887188,-1.657147,-0.1862322,-0.201506,-1.899991
-0.0133299,0.2226793,-1.463304,0.0685752,-0.01887188,-1.657147,-0.1862322,-0.201506,-1.899991
-0.0133299,0.2226793,-1.463304,0.0685752,-0.01887188,-1.657147,-0.1862322,-0.201506,-1.899991
0.007448896,0.2431158,-1.475532,0.08000576,-0.0005140073,-1.662224,-0.1863956,-0.2067307,-1.899778
0.007448896,0.2431158,-1.475532,0.08000576,-0.0005140073,-1.662224,-0.1863956,-0.2067307,-1.899778
0.007448896,0.2431158,-1.475532,0.08000576,-0.0005140073,-1.662224,-0.1863956,-0.2067307,-1.899778
0.007448896,0.2431158,-1.475532,0.08000576,-0.0005140073,-1.662224,-0.1863956,-0.2067307,-1.899778
0.04978636,0.2637522,-1.49039,0.0914591,0.009500122,-1.669628,-0.18644,-0.2095841,-1.900062
0.04978636,0.2637522,-1.49039,0.0914591,0.009500122,-1.669628,-0.18644,-0.2095841,-1.900062
0.111853,0.2682254,-1.516024,0.1158298,0.006142497,-1.68452,-0.1877928,-0.2106607,-1.899457
0.111853,0.2682254,-1.516024,0.1158298,0.006142497,-1.68452,-0.1877928,-0.2106607,-1.899457
0.111853,0.2682254,-1.516024,0.1158298,0.006142497,-1.68452,-0.1877928,-0.2106607,-1.899457
0.111853,0.2682254,-1.516024,0.1158298,0.006142497,-1.68452,-0.1877928,-0.2106607,-1.899457
0.1864005,0.2625861,-1.542527,0.1305273,-0.0007161832,-1.696023,-0.1871032,-0.210974,-1.900174
0.1864005,0.2625861,-1.542527,0.1305273,-0.0007161832,-1.696023,-0.1871032,-0.210974,-1.900174
0.1864005,0.2625861,-1.542527,0.1305273,-0.0007161832,-1.696023,-0.1871032,-0.210974,-1.900174
0.1864005,0.2625861,-1.542527,0.1305273,-0.0007161832,-1.696023,-0.1871032,-0.210974,-1.900174
0.2308242,0.2524799,-1.561254,0.1504783,-0.01011167,-1.728029,-0.1841086,-0.2109722,-1.901592
0.2308242,0.2524799,-1.561254,0.1504783,-0.01011167,-1.728029,-0.1841086,-0.2109722,-1.901592
0.3053308,0.2071051,-1.591798,0.1735829,-0.02645522,-1.768182,-0.1849377,-0.2140256,-1.900806
0.3053308,0.2071051,-1.591798,0.1735829,-0.02645522,-1.768182,-0.1849377,-0.2140256,-1.900806
