Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.1364139,-0.3274235,-2.534856,-0.2019088,-0.07359471,-2.647292,-0.1537063,0.2149302,-2.63553,0.0119131,-0.006785011,-2.64092
-0.1364139,-0.3274235,-2.534856,-0.2019088,-0.07359471,-2.647292,-0.1537063,0.2149302,-2.63553,0.0119131,-0.006785011,-2.64092
-0.1625516,-0.3333242,-2.549448,-0.2098148,-0.07266765,-2.65621,-0.1621785,0.1739596,-2.625949,0.006601031,-0.04519749,-2.636669
-0.1903203,-0.3497749,-2.560597,-0.2186234,-0.08770958,-2.661205,-0.1642324,0.1586377,-2.620449,0.007385721,-0.05801246,-2.636103
-0.1903203,-0.3497749,-2.560597,-0.2186234,-0.08770958,-2.661205,-0.1642324,0.1586377,-2.620449,0.007385721,-0.05801246,-2.636103
-0.2253924,-0.3574294,-2.566885,-0.2190574,-0.09610385,-2.655421,-0.1520197,0.2094942,-2.645962,0.014066,-0.0107713,-2.633689
-0.2253924,-0.3574294,-2.566885,-0.2190574,-0.09610385,-2.655421,-0.1520197,0.2094942,-2.645962,0.014066,-0.0107713,-2.633689
-0.2785766,-0.3450116,-2.557482,-0.2175846,-0.0927479,-2.656426,-0.151101,0.2233339,-2.648318,0.008635306,-0.002152691,-2.636513
-0.2785766,-0.3450116,-2.557482,-0.2175846,-0.0927479,-2.656426,-0.151101,0.2233339,-2.648318,0.008635306,-0.002152691,-2.636513
-0.2785766,-0.3450116,-2.557482,-0.2175846,-0.0927479,-2.656426,-0.151101,0.2233339,-2.648318,0.008635306,-0.002152691,-2.636513
-0.2785766,-0.3450116,-2.557482,-0.2175846,-0.0927479,-2.656426,-0.151101,0.2233339,-2.648318,0.008635306,-0.002152691,-2.636513
-0.2785766,-0.3450116,-2.557482,-0.2175846,-0.0927479,-2.656426,-0.151101,0.2233339,-2.648318,0.008635306,-0.002152691,-2.636513
-0.3302409,-0.3281033,-2.55007,-0.2383017,-0.08154624,-2.642019,-0.1489257,0.2219156,-2.642409,0.008837119,-0.005430888,-2.637822
-0.3302409,-0.3281033,-2.55007,-0.2383017,-0.08154624,-2.642019,-0.1489257,0.2219156,-2.642409,0.008837119,-0.005430888,-2.637822
-0.3921498,-0.3151545,-2.541525,-0.2682386,-0.07595118,-2.623992,-0.1486412,0.2146721,-2.639563,0.008905286,-0.01293447,-2.638189
-0.3921498,-0.3151545,-2.541525,-0.2682386,-0.07595118,-2.623992,-0.1486412,0.2146721,-2.639563,0.008905286,-0.01293447,-2.638189
-0.4614726,-0.2782547,-2.550225,-0.2992062,-0.05469628,-2.60866,-0.1462145,0.2154976,-2.637276,0.01243481,-0.01137988,-2.638682
-0.4614726,-0.2782547,-2.550225,-0.2992062,-0.05469628,-2.60866,-0.1462145,0.2154976,-2.637276,0.01243481,-0.01137988,-2.638682
-0.523329,-0.2219688,-2.517954,-0.3273635,-0.03673517,-2.60005,-0.1447303,0.2156422,-2.63978,0.01411844,-0.01109802,-2.639036
-0.523329,-0.2219688,-2.517954,-0.3273635,-0.03673517,-2.60005,-0.1447303,0.2156422,-2.63978,0.01411844,-0.01109802,-2.639036
-0.523329,-0.2219688,-2.517954,-0.3273635,-0.03673517,-2.60005,-0.1447303,0.2156422,-2.63978,0.01411844,-0.01109802,-2.639036
-0.523329,-0.2219688,-2.517954,-0.3273635,-0.03673517,-2.60005,-0.1447303,0.2156422,-2.63978,0.01411844,-0.01109802,-2.639036
-0.5866463,-0.1500256,-2.474509,-0.3715935,0.003065907,-2.579349,-0.1465042,0.2212169,-2.654778,0.01315359,-0.00423553,-2.638892
-0.5866463,-0.1500256,-2.474509,-0.3715935,0.003065907,-2.579349,-0.1465042,0.2212169,-2.654778,0.01315359,-0.00423553,-2.638892
-0.6395627,-0.05599517,-2.453013,-0.3991242,0.04497322,-2.567268,-0.1455818,0.2195741,-2.646142,0.01245963,-0.007482321,-2.637279
-0.6395627,-0.05599517,-2.453013,-0.3991242,0.04497322,-2.567268,-0.1455818,0.2195741,-2.646142,0.01245963,-0.007482321,-2.637279
-0.687963,0.04261908,-2.434442,-0.4300803,0.09898095,-2.549116,-0.1440467,0.2233887,-2.645265,0.01409431,-0.003796045,-2.641931
-0.687963,0.04261908,-2.434442,-0.4300803,0.09898095,-2.549116,-0.1440467,0.2233887,-2.645265,0.01409431,-0.003796045,-2.641931
