Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.3089935,-0.3976085,-2.526745,0.2491656,-0.1014696,-2.59182,0.1901378,0.1993856,-2.563335,0.01421836,-0.01432036,-2.560298
0.3080186,-0.3948928,-2.529191,0.2497408,-0.09899921,-2.590565,0.1897074,0.2005661,-2.565433,0.01351877,-0.01290636,-2.55984
0.3080186,-0.3948928,-2.529191,0.2497408,-0.09899921,-2.590565,0.1897074,0.2005661,-2.565433,0.01351877,-0.01290636,-2.55984
0.3024738,-0.3730431,-2.50489,0.2530431,-0.0832445,-2.592624,0.1907319,0.2001314,-2.565494,0.01444876,-0.01327625,-2.559708
0.3024738,-0.3730431,-2.50489,0.2530431,-0.0832445,-2.592624,0.1907319,0.2001314,-2.565494,0.01444876,-0.01327625,-2.559708
0.3024738,-0.3730431,-2.50489,0.2530431,-0.0832445,-2.592624,0.1907319,0.2001314,-2.565494,0.01444876,-0.01327625,-2.559708
0.3024738,-0.3730431,-2.50489,0.2530431,-0.0832445,-2.592624,0.1907319,0.2001314,-2.565494,0.01444876,-0.01327625,-2.559708
0.3102507,-0.3739421,-2.50289,0.2569228,-0.08476154,-2.591442,0.1904149,0.2014686,-2.562614,0.01548361,-0.01309181,-2.559202
0.3102507,-0.3739421,-2.50289,0.2569228,-0.08476154,-2.591442,0.1904149,0.2014686,-2.562614,0.01548361,-0.01309181,-2.559202
0.3242569,-0.3867658,-2.511998,0.2542709,-0.09697769,-2.585411,0.1910548,0.2014572,-2.560847,0.01542684,-0.01256456,-2.560233
0.3242569,-0.3867658,-2.511998,0.2542709,-0.09697769,-2.585411,0.1910548,0.2014572,-2.560847,0.01542684,-0.01256456,-2.560233
0.3242569,-0.3867658,-2.511998,0.2542709,-0.09697769,-2.585411,0.1910548,0.2014572,-2.560847,0.01542684,-0.01256456,-2.560233
0.3242569,-0.3867658,-2.511998,0.2542709,-0.09697769,-2.585411,0.1910548,0.2014572,-2.560847,0.01542684,-0.01256456,-2.560233
0.3466318,-0.385696,-2.514402,0.2575463,-0.1015411,-2.579311,0.1861325,0.1982794,-2.556449,0.008968212,-0.01437886,-2.561936
0.3466318,-0.385696,-2.514402,0.2575463,-0.1015411,-2.579311,0.1861325,0.1982794,-2.556449,0.008968212,-0.01437886,-2.561936
0.3764514,-0.3707905,-2.505158,0.2664349,-0.1005542,-2.581045,0.1852311,0.2076796,-2.567893,0.01151566,-0.007574049,-2.5599
0.3764514,-0.3707905,-2.505158,0.2664349,-0.1005542,-2.581045,0.1852311,0.2076796,-2.567893,0.01151566,-0.007574049,-2.5599
0.4093633,-0.3650844,-2.50792,0.2910652,-0.0937917,-2.576123,0.1896259,0.2090315,-2.575345,0.01096139,-0.001739335,-2.559401
0.4093633,-0.3650844,-2.50792,0.2910652,-0.0937917,-2.576123,0.1896259,0.2090315,-2.575345,0.01096139,-0.001739335,-2.559401
0.448821,-0.3546576,-2.509676,0.3086138,-0.0895066,-2.568159,0.1848016,0.2013628,-2.56375,0.009236,-0.01246093,-2.563361
0.448821,-0.3546576,-2.509676,0.3086138,-0.0895066,-2.568159,0.1848016,0.2013628,-2.56375,0.009236,-0.01246093,-2.563361
0.448821,-0.3546576,-2.509676,0.3086138,-0.0895066,-2.568159,0.1848016,0.2013628,-2.56375,0.009236,-0.01246093,-2.563361
0.448821,-0.3546576,-2.509676,0.3086138,-0.0895066,-2.568159,0.1848016,0.2013628,-2.56375,0.009236,-0.01246093,-2.563361
0.4963833,-0.3117781,-2.496568,0.3199308,-0.07422927,-2.562176,0.1789095,0.1948453,-2.556414,0.002226192,-0.01814181,-2.562521
0.4963833,-0.3117781,-2.496568,0.3199308,-0.07422927,-2.562176,0.1789095,0.1948453,-2.556414,0.002226192,-0.01814181,-2.562521
0.4963833,-0.3117781,-2.496568,0.3199308,-0.07422927,-2.562176,0.1789095,0.1948453,-2.556414,0.002226192,-0.01814181,-2.562521
0.5388803,-0.272909,-2.472751,0.3478091,-0.05112279,-2.550435,0.1773663,0.1952739,-2.556744,0.0003956918,-0.01748211,-2.564692
0.5388803,-0.272909,-2.472751,0.3478091,-0.05112279,-2.550435,0.1773663,0.1952739,-2.556744,0.0003956918,-0.01748211,-2.564692
0.5932849,-0.2297615,-2.471627,0.3733456,-0.03351514,-2.540654,0.1770251,0.202345,-2.565714,0.001096961,-0.01131983,-2.563832
0.5932849,-0.2297615,-2.471627,0.3733456,-0.03351514,-2.540654,0.1770251,0.202345,-2.565714,0.001096961,-0.01131983,-2.563832
0.6462646,-0.1794229,-2.482772,0.3984523,-0.009418292,-2.526548,0.1776631,0.2101422,-2.574555,0.001207488,-0.002821275,-2.563445
0.6462646,-0.1794229,-2.482772,0.3984523,-0.009418292,-2.526548,0.1776631,0.2101422,-2.574555,0.001207488,-0.002821275,-2.563445
0.6462646,-0.1794229,-2.482772,0.3984523,-0.009418292,-2.526548,0.1776631,0.2101422,-2.574555,0.001207488,-0.002821275,-2.563445
0.6462646,-0.1794229,-2.482772,0.3984523,-0.009418292,-2.526548,0.1776631,0.2101422,-2.574555,0.001207488,-0.002821275,-2.563445
0.6954479,-0.105139,-2.468838,0.4206626,0.01690571,-2.513793,0.1733856,0.2027462,-2.565688,-0.003184414,-0.01041183,-2.562402
0.6954479,-0.105139,-2.468838,0.4206626,0.01690571,-2.513793,0.1733856,0.2027462,-2.565688,-0.003184414,-0.01041183,-2.562402
0.7274512,-0.02675734,-2.473248,0.4369934,0.05927486,-2.499483,0.1726002,0.2009221,-2.56006,-0.004351448,-0.01193844,-2.563491
0.7274512,-0.02675734,-2.473248,0.4369934,0.05927486,-2.499483,0.1726002,0.2009221,-2.56006,-0.004351448,-0.01193844,-2.563491
0.752284,0.05701844,-2.460578,0.4529234,0.1003923,-2.485364,0.1723957,0.2062356,-2.561381,-0.002573606,-0.008263398,-2.566025
0.752284,0.05701844,-2.460578,0.4529234,0.1003923,-2.485364,0.1723957,0.2062356,-2.561381,-0.002573606,-0.008263398,-2.566025
0.7719539,0.1410125,-2.457316,0.4681863,0.1498493,-2.480504,0.1706618,0.2083126,-2.562983,-0.001026355,-0.008840081,-2.564815
0.7719539,0.1410125,-2.457316,0.4681863,0.1498493,-2.480504,0.1706618,0.2083126,-2.562983,-0.001026355,-0.008840081,-2.564815
