Hand_L, , ,Shoulder_L, , 
-0.3886853,0.5130492,-2.116914,-0.1449658,0.3081243,-2.537512
-0.4306703,0.4854642,-2.117952,-0.1446786,0.3100083,-2.540522
-0.4306703,0.4854642,-2.117952,-0.1446786,0.3100083,-2.540522
-0.4820116,0.4434932,-2.125487,-0.1449719,0.3088448,-2.53887
-0.4820116,0.4434932,-2.125487,-0.1449719,0.3088448,-2.53887
-0.5331545,0.4010707,-2.139355,-0.1447393,0.3069431,-2.538191
-0.5331545,0.4010707,-2.139355,-0.1447393,0.3069431,-2.538191
-0.5714167,0.3342658,-2.155643,-0.1451343,0.3127575,-2.541418
-0.5714167,0.3342658,-2.155643,-0.1451343,0.3127575,-2.541418
-0.6091604,0.2741306,-2.178983,-0.1440751,0.3072391,-2.541495
-0.6091604,0.2741306,-2.178983,-0.1440751,0.3072391,-2.541495
-0.6369345,0.2160635,-2.19775,-0.143773,0.300073,-2.538344
-0.6369345,0.2160635,-2.19775,-0.143773,0.300073,-2.538344
-0.6424803,0.1520926,-2.237788,-0.1445084,0.3034733,-2.540062
-0.6424803,0.1520926,-2.237788,-0.1445084,0.3034733,-2.540062
-0.6424803,0.1520926,-2.237788,-0.1445084,0.3034733,-2.540062
-0.641596,0.08097207,-2.285145,-0.1443324,0.3045025,-2.537992
-0.641596,0.08097207,-2.285145,-0.1443324,0.3045025,-2.537992
-0.623421,0.01307706,-2.319626,-0.1434351,0.3049898,-2.540167
-0.623421,0.01307706,-2.319626,-0.1434351,0.3049898,-2.540167
-0.5949264,-0.05373752,-2.338743,-0.1418648,0.308929,-2.540858
-0.5949264,-0.05373752,-2.338743,-0.1418648,0.308929,-2.540858
-0.5497513,-0.1059562,-2.349439,-0.1427798,0.3071169,-2.537808
-0.5497513,-0.1059562,-2.349439,-0.1427798,0.3071169,-2.537808
-0.4930573,-0.1455804,-2.358227,-0.1427189,0.307287,-2.536617
-0.4930573,-0.1455804,-2.358227,-0.1427189,0.307287,-2.536617
-0.431035,-0.1889112,-2.353945,-0.1483694,0.3030787,-2.535162
-0.431035,-0.1889112,-2.353945,-0.1483694,0.3030787,-2.535162
-0.3586669,-0.212346,-2.357044,-0.151078,0.3046509,-2.537217
-0.3586669,-0.212346,-2.357044,-0.151078,0.3046509,-2.537217
-0.2867893,-0.231728,-2.337228,-0.1525957,0.3062368,-2.539048
-0.2867893,-0.231728,-2.337228,-0.1525957,0.3062368,-2.539048
-0.2114652,-0.2291613,-2.311129,-0.1555931,0.3074166,-2.541143
-0.2114652,-0.2291613,-2.311129,-0.1555931,0.3074166,-2.541143
-0.1537904,-0.2135883,-2.289126,-0.1569114,0.3081531,-2.548312
-0.1537904,-0.2135883,-2.289126,-0.1569114,0.3081531,-2.548312
-0.08363851,-0.1727949,-2.271698,-0.157015,0.3107037,-2.545953
-0.08363851,-0.1727949,-2.271698,-0.157015,0.3107037,-2.545953
-0.03510035,-0.1346823,-2.269783,-0.1571362,0.3106918,-2.544177
-0.03510035,-0.1346823,-2.269783,-0.1571362,0.3106918,-2.544177
0.003922757,-0.0863016,-2.262328,-0.1554136,0.3110869,-2.539565
0.003922757,-0.0863016,-2.262328,-0.1554136,0.3110869,-2.539565
0.04194775,-0.03124998,-2.238463,-0.1543224,0.3083778,-2.534785
0.04194775,-0.03124998,-2.238463,-0.1543224,0.3083778,-2.534785
0.07177439,0.03292813,-2.208372,-0.1530078,0.3107978,-2.530825
0.07177439,0.03292813,-2.208372,-0.1530078,0.3107978,-2.530825
0.08747985,0.09821925,-2.178531,-0.1504272,0.3086031,-2.525786
0.08747985,0.09821925,-2.178531,-0.1504272,0.3086031,-2.525786
0.09590453,0.2325473,-2.138481,-0.1457255,0.3136083,-2.527423
0.09590453,0.2325473,-2.138481,-0.1457255,0.3136083,-2.527423
0.09590453,0.2325473,-2.138481,-0.1457255,0.3136083,-2.527423
0.09590453,0.2325473,-2.138481,-0.1457255,0.3136083,-2.527423
0.09590453,0.2325473,-2.138481,-0.1457255,0.3136083,-2.527423
0.09544177,0.3256811,-2.114647,-0.1447291,0.3110214,-2.521165
0.09544177,0.3256811,-2.114647,-0.1447291,0.3110214,-2.521165
0.08566166,0.3810234,-2.112629,-0.1426399,0.3032219,-2.521137
0.08566166,0.3810234,-2.112629,-0.1426399,0.3032219,-2.521137
0.06575505,0.4264401,-2.110653,-0.1413931,0.2978323,-2.518512
0.06575505,0.4264401,-2.110653,-0.1413931,0.2978323,-2.518512
0.03475679,0.4631723,-2.104764,-0.1348558,0.3089836,-2.513764
0.03475679,0.4631723,-2.104764,-0.1348558,0.3089836,-2.513764
0.01261488,0.4866906,-2.10249,-0.1368202,0.2922944,-2.510885
0.01261488,0.4866906,-2.10249,-0.1368202,0.2922944,-2.510885
-0.01144737,0.5055041,-2.08316,-0.1389697,0.2763544,-2.505895
-0.01144737,0.5055041,-2.08316,-0.1389697,0.2763544,-2.505895
-0.03402678,0.5111514,-2.072406,-0.1402892,0.2695846,-2.503521
-0.03402678,0.5111514,-2.072406,-0.1402892,0.2695846,-2.503521
-0.06004992,0.5114318,-2.063323,-0.1405413,0.2642552,-2.503015
-0.06004992,0.5114318,-2.063323,-0.1405413,0.2642552,-2.503015
-0.08388066,0.5124778,-2.060357,-0.1409544,0.2547972,-2.498931
-0.08388066,0.5124778,-2.060357,-0.1409544,0.2547972,-2.498931
-0.09774647,0.5044508,-2.057607,-0.1465812,0.2485528,-2.501781
-0.09774647,0.5044508,-2.057607,-0.1465812,0.2485528,-2.501781
