Hand_L, , ,Shoulder_L, , 
0.08665254,-0.0642873,-2.346668,-0.1718763,0.3112377,-2.593284
0.08665254,-0.0642873,-2.346668,-0.1718763,0.3112377,-2.593284
0.08665254,-0.0642873,-2.346668,-0.1718763,0.3112377,-2.593284
0.08665254,-0.0642873,-2.346668,-0.1718763,0.3112377,-2.593284
0.08665254,-0.0642873,-2.346668,-0.1718763,0.3112377,-2.593284
0.02981954,-0.1337175,-2.371207,-0.1712891,0.30773,-2.593741
0.02981954,-0.1337175,-2.371207,-0.1712891,0.30773,-2.593741
-0.05957533,-0.2017623,-2.393179,-0.1695789,0.3118767,-2.601358
-0.05957533,-0.2017623,-2.393179,-0.1695789,0.3118767,-2.601358
-0.05957533,-0.2017623,-2.393179,-0.1695789,0.3118767,-2.601358
-0.05957533,-0.2017623,-2.393179,-0.1695789,0.3118767,-2.601358
-0.1403445,-0.2276559,-2.416959,-0.1670641,0.3210906,-2.611371
-0.1403445,-0.2276559,-2.416959,-0.1670641,0.3210906,-2.611371
-0.2055038,-0.2439248,-2.421742,-0.1786905,0.2867415,-2.58692
-0.2055038,-0.2439248,-2.421742,-0.1786905,0.2867415,-2.58692
-0.2716024,-0.2496035,-2.423362,-0.1703633,0.2966153,-2.585351
-0.2716024,-0.2496035,-2.423362,-0.1703633,0.2966153,-2.585351
-0.3430359,-0.2312076,-2.423199,-0.1651996,0.2981049,-2.59111
-0.3430359,-0.2312076,-2.423199,-0.1651996,0.2981049,-2.59111
-0.4110651,-0.1990849,-2.410807,-0.1625117,0.3041916,-2.597275
-0.4110651,-0.1990849,-2.410807,-0.1625117,0.3041916,-2.597275
-0.4675125,-0.1600281,-2.401621,-0.1618345,0.3052993,-2.598096
-0.4675125,-0.1600281,-2.401621,-0.1618345,0.3052993,-2.598096
-0.5092531,-0.1101565,-2.377109,-0.1616611,0.3055233,-2.599812
-0.5092531,-0.1101565,-2.377109,-0.1616611,0.3055233,-2.599812
-0.5322727,-0.04605328,-2.362865,-0.159489,0.3029492,-2.601472
-0.5322727,-0.04605328,-2.362865,-0.159489,0.3029492,-2.601472
-0.5435296,0.02031295,-2.344732,-0.1600173,0.3036878,-2.601802
-0.5435296,0.02031295,-2.344732,-0.1600173,0.3036878,-2.601802
-0.5738876,0.09420357,-2.305044,-0.1600177,0.3006716,-2.596617
-0.5738876,0.09420357,-2.305044,-0.1600177,0.3006716,-2.596617
-0.5996101,0.1729116,-2.270821,-0.1591872,0.3013578,-2.594852
-0.5996101,0.1729116,-2.270821,-0.1591872,0.3013578,-2.594852
-0.6046432,0.2409977,-2.246424,-0.1598326,0.3016402,-2.601233
-0.6046432,0.2409977,-2.246424,-0.1598326,0.3016402,-2.601233
-0.6046432,0.2409977,-2.246424,-0.1598326,0.3016402,-2.601233
-0.5757572,0.309838,-2.222481,-0.1612661,0.2976269,-2.597149
-0.5757572,0.309838,-2.222481,-0.1612661,0.2976269,-2.597149
-0.5348135,0.3664371,-2.211221,-0.1605779,0.3002284,-2.594755
-0.5348135,0.3664371,-2.211221,-0.1605779,0.3002284,-2.594755
-0.5348135,0.3664371,-2.211221,-0.1605779,0.3002284,-2.594755
-0.5348135,0.3664371,-2.211221,-0.1605779,0.3002284,-2.594755
-0.4862992,0.4218867,-2.204834,-0.1607716,0.3016404,-2.593458
-0.4862992,0.4218867,-2.204834,-0.1607716,0.3016404,-2.593458
-0.4862992,0.4218867,-2.204834,-0.1607716,0.3016404,-2.593458
-0.4862992,0.4218867,-2.204834,-0.1607716,0.3016404,-2.593458
-0.4334967,0.463553,-2.193345,-0.1621122,0.3009908,-2.594418
-0.4334967,0.463553,-2.193345,-0.1621122,0.3009908,-2.594418
-0.3818785,0.4995381,-2.19048,-0.1617229,0.2980373,-2.591093
-0.3818785,0.4995381,-2.19048,-0.1617229,0.2980373,-2.591093
-0.3290669,0.5216233,-2.183102,-0.1607515,0.3024964,-2.596162
-0.3290669,0.5216233,-2.183102,-0.1607515,0.3024964,-2.596162
-0.2785693,0.5361353,-2.186375,-0.1609955,0.3015853,-2.595565
-0.2785693,0.5361353,-2.186375,-0.1609955,0.3015853,-2.595565
-0.2257145,0.5364349,-2.190925,-0.16154,0.3020349,-2.599159
-0.2257145,0.5364349,-2.190925,-0.16154,0.3020349,-2.599159
-0.181428,0.539739,-2.1977,-0.1622402,0.3038319,-2.603018
-0.181428,0.539739,-2.1977,-0.1622402,0.3038319,-2.603018
-0.1465641,0.5367121,-2.205289,-0.1625968,0.3013426,-2.600384
-0.1465641,0.5367121,-2.205289,-0.1625968,0.3013426,-2.600384
-0.1174826,0.5245592,-2.206106,-0.1614623,0.3033668,-2.605017
-0.1174826,0.5245592,-2.206106,-0.1614623,0.3033668,-2.605017
-0.09600525,0.5168441,-2.211167,-0.1626865,0.3011885,-2.607908
-0.09600525,0.5168441,-2.211167,-0.1626865,0.3011885,-2.607908
