Hand_L, , ,Shoulder_L, , 
-0.6742151,-0.02815008,-2.973783,-0.2546727,0.3214951,-2.652673
-0.6742151,-0.02815008,-2.973783,-0.2546727,0.3214951,-2.652673
-0.6742151,-0.02815008,-2.973783,-0.2546727,0.3214951,-2.652673
-0.7129788,0.05158593,-2.948709,-0.2518276,0.3264428,-2.65064
-0.7129788,0.05158593,-2.948709,-0.2518276,0.3264428,-2.65064
-0.7256466,0.1467429,-2.912304,-0.2491158,0.3209022,-2.649161
-0.7256466,0.1467429,-2.912304,-0.2491158,0.3209022,-2.649161
-0.7256466,0.1467429,-2.912304,-0.2491158,0.3209022,-2.649161
-0.7503768,0.2763154,-2.899375,-0.2457708,0.3214945,-2.652254
-0.7503768,0.2763154,-2.899375,-0.2457708,0.3214945,-2.652254
-0.7503768,0.2763154,-2.899375,-0.2457708,0.3214945,-2.652254
-0.7503768,0.2763154,-2.899375,-0.2457708,0.3214945,-2.652254
-0.7956393,0.3869486,-2.897859,-0.2480937,0.3285673,-2.66537
-0.7956393,0.3869486,-2.897859,-0.2480937,0.3285673,-2.66537
-0.8211787,0.4939266,-2.868474,-0.2491955,0.3350891,-2.664708
-0.8211787,0.4939266,-2.868474,-0.2491955,0.3350891,-2.664708
-0.8211787,0.4939266,-2.868474,-0.2491955,0.3350891,-2.664708
-0.8211787,0.4939266,-2.868474,-0.2491955,0.3350891,-2.664708
-0.8192348,0.589727,-2.820735,-0.2519621,0.3331761,-2.657533
-0.8192348,0.589727,-2.820735,-0.2519621,0.3331761,-2.657533
-0.7957381,0.6653373,-2.751413,-0.2559162,0.3303781,-2.653374
-0.7957381,0.6653373,-2.751413,-0.2559162,0.3303781,-2.653374
-0.7957381,0.6653373,-2.751413,-0.2559162,0.3303781,-2.653374
-0.7957381,0.6653373,-2.751413,-0.2559162,0.3303781,-2.653374
-0.7470269,0.7602468,-2.62794,-0.2598937,0.3259148,-2.642339
-0.7470269,0.7602468,-2.62794,-0.2598937,0.3259148,-2.642339
-0.7470269,0.7602468,-2.62794,-0.2618172,0.3249614,-2.634257
-0.669213,0.7737824,-2.537195,-0.2618172,0.3249614,-2.634257
-0.669213,0.7737824,-2.537195,-0.2618172,0.3249614,-2.634257
-0.6211938,0.7821695,-2.462238,-0.2585203,0.3244772,-2.629551
-0.6211938,0.7821695,-2.462238,-0.2585203,0.3244772,-2.629551
-0.6211938,0.7821695,-2.462238,-0.2585203,0.3244772,-2.629551
-0.6211938,0.7821695,-2.462238,-0.2585203,0.3244772,-2.629551
-0.5656244,0.7662297,-2.372785,-0.2553046,0.3259707,-2.625513
-0.5656244,0.7662297,-2.372785,-0.2553046,0.3259707,-2.625513
-0.5656244,0.7662297,-2.372785,-0.2553046,0.3259707,-2.625513
-0.513993,0.758627,-2.301243,-0.2562544,0.328225,-2.618028
-0.513993,0.758627,-2.301243,-0.2562544,0.328225,-2.618028
-0.4586926,0.7435114,-2.236969,-0.2577476,0.322489,-2.613874
-0.4586926,0.7435114,-2.236969,-0.2577476,0.322489,-2.613874
-0.3685707,0.6848901,-2.149472,-0.2588613,0.3197663,-2.614848
-0.3685707,0.6848901,-2.149472,-0.2588613,0.3197663,-2.614848
-0.3136118,0.6217974,-2.092784,-0.2579831,0.3163073,-2.607155
-0.3136118,0.6217974,-2.092784,-0.2579831,0.3163073,-2.607155
-0.3136118,0.6217974,-2.092784,-0.2579831,0.3163073,-2.607155
-0.3136118,0.6217974,-2.092784,-0.2579831,0.3163073,-2.607155
-0.2707703,0.5619229,-2.059532,-0.2599522,0.3137848,-2.60062
-0.2707703,0.5619229,-2.059532,-0.2599522,0.3137848,-2.60062
-0.2305608,0.4907712,-2.043651,-0.2613004,0.314899,-2.603945
-0.2305608,0.4907712,-2.043651,-0.2613004,0.314899,-2.603945
-0.2305608,0.4907712,-2.043651,-0.2613004,0.314899,-2.603945
-0.2021213,0.4292237,-2.024617,-0.2530601,0.3133183,-2.604413
-0.2021213,0.4292237,-2.024617,-0.2530601,0.3133183,-2.604413
-0.181614,0.3729365,-2.018051,-0.2532405,0.3106897,-2.59808
-0.181614,0.3729365,-2.018051,-0.2532405,0.3106897,-2.59808
-0.181614,0.3729365,-2.018051,-0.2532405,0.3106897,-2.59808
-0.181614,0.3729365,-2.018051,-0.2532405,0.3106897,-2.59808
-0.181614,0.3729365,-2.018051,-0.2532405,0.3106897,-2.59808
-0.1685709,0.3379656,-2.000125,-0.2534316,0.3143487,-2.599551
-0.1685709,0.3379656,-2.000125,-0.2534316,0.3143487,-2.599551
-0.1596969,0.310327,-1.978661,-0.2544312,0.3124116,-2.593392
-0.1596969,0.310327,-1.978661,-0.2544312,0.3124116,-2.593392
-0.164948,0.2957629,-1.971231,-0.2524455,0.3164924,-2.593151
-0.164948,0.2957629,-1.971231,-0.2524455,0.3164924,-2.593151
-0.164948,0.2957629,-1.971231,-0.2524455,0.3164924,-2.593151
-0.164948,0.2957629,-1.971231,-0.2524455,0.3164924,-2.593151
-0.1595876,0.295615,-1.963622,-0.2458203,0.3184014,-2.587519
-0.1595876,0.295615,-1.963622,-0.2458203,0.3184014,-2.587519
-0.1635926,0.2996722,-1.963375,-0.2452613,0.3151729,-2.577288
-0.1635926,0.2996722,-1.963375,-0.2452613,0.3151729,-2.577288
-0.1635926,0.2996722,-1.963375,-0.2452613,0.3151729,-2.577288
