Hand_R, , ,Shoulder_R, , 
0.6233246,0.2707934,-2.914084,0.05428139,0.3131112,-2.675294
0.6369004,0.3650222,-2.916268,0.05197189,0.315885,-2.67778
0.6369004,0.3650222,-2.916268,0.05197189,0.315885,-2.67778
0.6596517,0.455613,-2.914462,0.05222792,0.3178417,-2.672086
0.6596517,0.455613,-2.914462,0.05222792,0.3178417,-2.672086
0.6596517,0.455613,-2.914462,0.05222792,0.3178417,-2.672086
0.6596517,0.455613,-2.914462,0.05222792,0.3178417,-2.672086
0.6184427,0.5307562,-2.835289,0.05314374,0.3184572,-2.665855
0.6184427,0.5307562,-2.835289,0.05314374,0.3184572,-2.665855
0.5917538,0.6309109,-2.760749,0.05528509,0.3200651,-2.664982
0.5917538,0.6309109,-2.760749,0.05528509,0.3200651,-2.664982
0.5917538,0.6309109,-2.760749,0.05528509,0.3200651,-2.664982
0.5917538,0.6309109,-2.760749,0.05528509,0.3200651,-2.664982
0.5524346,0.7483813,-2.67486,0.05819412,0.3171575,-2.65246
0.5524346,0.7483813,-2.67486,0.05819412,0.3171575,-2.65246
0.5524346,0.7483813,-2.67486,0.05819412,0.3171575,-2.65246
0.5524346,0.7483813,-2.67486,0.05819412,0.3171575,-2.65246
0.5524346,0.7483813,-2.67486,0.05819412,0.3171575,-2.65246
0.5524346,0.7483813,-2.67486,0.05819412,0.3171575,-2.65246
0.453189,0.7797621,-2.548777,0.05716631,0.316875,-2.642161
0.453189,0.7797621,-2.548777,0.05716631,0.316875,-2.642161
0.3916395,0.7922839,-2.468237,0.05719578,0.3146109,-2.635009
0.3916395,0.7922839,-2.468237,0.05719578,0.3146109,-2.635009
0.3406289,0.7950733,-2.403512,0.05707058,0.3147673,-2.631589
0.3406289,0.7950733,-2.403512,0.05707058,0.3147673,-2.631589
0.3004078,0.7878225,-2.348806,0.05553241,0.3149313,-2.62745
0.3004078,0.7878225,-2.348806,0.05553241,0.3149313,-2.62745
0.2669397,0.774354,-2.293522,0.05356397,0.3204599,-2.622814
0.2669397,0.774354,-2.293522,0.05356397,0.3204599,-2.622814
0.2669397,0.774354,-2.293522,0.05356397,0.3204599,-2.622814
0.2237315,0.7536854,-2.237172,0.04883288,0.3128438,-2.611018
0.2237315,0.7536854,-2.237172,0.04883288,0.3128438,-2.611018
0.2237315,0.7536854,-2.237172,0.04883288,0.3128438,-2.611018
0.2237315,0.7536854,-2.237172,0.04883288,0.3128438,-2.611018
0.184889,0.723964,-2.190928,0.04607627,0.3113272,-2.609119
0.184889,0.723964,-2.190928,0.04607627,0.3113272,-2.609119
0.1269816,0.6571879,-2.122377,0.04874585,0.3099602,-2.606554
0.1269816,0.6571879,-2.122377,0.04874585,0.3099602,-2.606554
0.08971343,0.605387,-2.079733,0.04655634,0.3071692,-2.603859
0.08971343,0.605387,-2.079733,0.04655634,0.3071692,-2.603859
0.04754818,0.5382419,-2.012372,0.04670943,0.3086417,-2.603747
0.04754818,0.5382419,-2.012372,0.04670943,0.3086417,-2.603747
0.04754818,0.5382419,-2.012372,0.04670943,0.3086417,-2.603747
0.04754818,0.5382419,-2.012372,0.04670943,0.3086417,-2.603747
0.02310632,0.4872888,-1.969667,0.04581427,0.3059573,-2.596684
0.02310632,0.4872888,-1.969667,0.04581427,0.3059573,-2.596684
0.007759269,0.448485,-1.950499,0.04663102,0.309457,-2.595497
0.007759269,0.448485,-1.950499,0.04663102,0.309457,-2.595497
-0.001705415,0.4124147,-1.939959,0.04679235,0.3106484,-2.594148
-0.001705415,0.4124147,-1.939959,0.04679235,0.3106484,-2.594148
-0.001705415,0.4124147,-1.939959,0.04679235,0.3106484,-2.594148
-0.001705415,0.4124147,-1.939959,0.04679235,0.3106484,-2.594148
-0.009166688,0.3783512,-1.913375,0.04760157,0.3126835,-2.590979
-0.009166688,0.3783512,-1.913375,0.04760157,0.3126835,-2.590979
-0.009166688,0.3783512,-1.913375,0.05020909,0.3077632,-2.583351
-0.009166688,0.3783512,-1.913375,0.05020909,0.3077632,-2.583351
0.003173916,0.3441793,-1.937588,0.04986521,0.3042828,-2.578846
0.003173916,0.3441793,-1.937588,0.04986521,0.3042828,-2.578846
0.003173916,0.3441793,-1.937588,0.04986521,0.3042828,-2.578846
0.003173916,0.3441793,-1.937588,0.04986521,0.3042828,-2.578846
-0.001150035,0.3395481,-1.941826,0.05255754,0.3042653,-2.576557
-0.001150035,0.3395481,-1.941826,0.05255754,0.3042653,-2.576557
-0.001150035,0.3395481,-1.941826,0.05255754,0.3042653,-2.576557
-0.001150035,0.3395481,-1.941826,0.05255754,0.3042653,-2.576557
-0.002063568,0.3424184,-1.938531,0.05224295,0.3110537,-2.578508
-0.002063568,0.3424184,-1.938531,0.05224295,0.3110537,-2.578508
-0.006596265,0.3446173,-1.940518,0.05290893,0.3083194,-2.580417
-0.006596265,0.3446173,-1.940518,0.05290893,0.3083194,-2.580417
-0.006596265,0.3446173,-1.940518,0.05290893,0.3083194,-2.580417
