Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
0.08369435,0.2362389,-2.215732,0.02006497,0.245046,-2.196531,-0.1699888,0.2929354,-2.624769,0.05888455,0.2723028,-2.607767
0.08369435,0.2362389,-2.215732,0.02006497,0.245046,-2.196531,-0.1699888,0.2929354,-2.624769,0.05888455,0.2723028,-2.607767
0.04259235,0.2283489,-2.23108,0.06459063,0.1449741,-2.120381,-0.1808024,0.2989523,-2.648378,0.06337252,0.2846856,-2.618721
0.04259235,0.2283489,-2.23108,0.06459063,0.1449741,-2.120381,-0.1808024,0.2989523,-2.648378,0.06337252,0.2846856,-2.618721
0.04259235,0.2283489,-2.23108,0.06459063,0.1449741,-2.120381,-0.1808024,0.2989523,-2.648378,0.06337252,0.2846856,-2.618721
0.04259235,0.2283489,-2.23108,0.06459063,0.1449741,-2.120381,-0.1808024,0.2989523,-2.648378,0.06337252,0.2846856,-2.618721
-0.1564654,0.291741,-2.130868,0.0702263,0.08175556,-2.123603,-0.1887132,0.2993192,-2.66488,0.06208015,0.2868311,-2.620811
-0.1564654,0.291741,-2.130868,0.0702263,0.08175556,-2.123603,-0.1887132,0.2993192,-2.66488,0.06208015,0.2868311,-2.620811
-0.1827585,0.3203467,-2.110269,0.06512639,0.03624166,-2.147598,-0.1964831,0.2979152,-2.676997,0.06090799,0.2877941,-2.62204
-0.1827585,0.3203467,-2.110269,0.06512639,0.03624166,-2.147598,-0.1964831,0.2979152,-2.676997,0.06090799,0.2877941,-2.62204
-0.1827585,0.3203467,-2.110269,0.06278894,0.007245325,-2.170413,-0.2008993,0.2958958,-2.679567,0.04905693,0.2932981,-2.596375
-0.1827585,0.3203467,-2.110269,0.06278894,0.007245325,-2.170413,-0.2008993,0.2958958,-2.679567,0.04905693,0.2932981,-2.596375
-0.1512365,0.3142495,-2.185067,0.06278894,0.007245325,-2.170413,-0.2008993,0.2958958,-2.679567,0.04905693,0.2932981,-2.596375
-0.1512365,0.3142495,-2.185067,0.06278894,0.007245325,-2.170413,-0.2008993,0.2958958,-2.679567,0.04905693,0.2932981,-2.596375
-0.1872589,0.3567496,-2.117902,0.05441237,-0.03528133,-2.191821,-0.1980821,0.2961084,-2.661536,0.04313731,0.2928664,-2.589624
-0.1872589,0.3567496,-2.117902,0.05441237,-0.03528133,-2.191821,-0.1980821,0.2961084,-2.661536,0.04313731,0.2928664,-2.589624
-0.155947,0.3449965,-2.153199,0.04686462,-0.04543102,-2.197006,-0.2064968,0.2992105,-2.637907,0.03557751,0.2993598,-2.578165
-0.155947,0.3449965,-2.153199,0.04686462,-0.04543102,-2.197006,-0.2064968,0.2992105,-2.637907,0.03557751,0.2993598,-2.578165
-0.155947,0.3449965,-2.153199,0.04686462,-0.04543102,-2.197006,-0.2064968,0.2992105,-2.637907,0.03557751,0.2993598,-2.578165
-0.155947,0.3449965,-2.153199,0.04686462,-0.04543102,-2.197006,-0.2064968,0.2992105,-2.637907,0.03557751,0.2993598,-2.578165
-0.1628144,0.3834079,-2.034985,0.04036246,-0.05222075,-2.190357,-0.2146044,0.2975812,-2.628112,0.03644864,0.3006583,-2.578038
-0.1628144,0.3834079,-2.034985,0.04036246,-0.05222075,-2.190357,-0.2146044,0.2975812,-2.628112,0.03644864,0.3006583,-2.578038
-0.1235933,0.3703473,-2.082223,0.03760706,-0.05069103,-2.182139,-0.216229,0.2973723,-2.630652,0.03900984,0.3005749,-2.576124
-0.1235933,0.3703473,-2.082223,0.03760706,-0.05069103,-2.182139,-0.216229,0.2973723,-2.630652,0.03900984,0.3005749,-2.576124
-0.1235933,0.3703473,-2.082223,0.03760706,-0.05069103,-2.182139,-0.216229,0.2973723,-2.630652,0.03900984,0.3005749,-2.576124
-0.1235933,0.3703473,-2.082223,0.03760706,-0.05069103,-2.182139,-0.216229,0.2973723,-2.630652,0.03900984,0.3005749,-2.576124
-0.1235933,0.3703473,-2.082223,0.03760706,-0.05069103,-2.182139,-0.216229,0.2973723,-2.630652,0.03900984,0.3005749,-2.576124
-0.1215797,0.3579664,-2.089015,0.03946596,-0.04811824,-2.177742,-0.2171572,0.2983494,-2.630336,0.04141837,0.3007872,-2.576025
