Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.1612488,0.227308,-1.994477,0.06632289,0.1219599,-2.098739,-0.1869296,0.2942186,-2.590155,0.05424675,0.291026,-2.590373
-0.1612488,0.227308,-1.994477,0.06632289,0.1219599,-2.098739,-0.1869296,0.2942186,-2.590155,0.05424675,0.291026,-2.590373
-0.1612488,0.227308,-1.994477,0.06632289,0.1219599,-2.098739,-0.1869296,0.2942186,-2.590155,0.05424675,0.291026,-2.590373
-0.1602917,0.2012777,-2.017823,0.07292224,0.1540811,-2.112219,-0.1873484,0.2908359,-2.589819,0.05552303,0.2885052,-2.597166
-0.1602917,0.2012777,-2.017823,0.07292224,0.1540811,-2.112219,-0.1873484,0.2908359,-2.589819,0.05552303,0.2885052,-2.597166
-0.1602917,0.2012777,-2.017823,0.07292224,0.1540811,-2.112219,-0.1873484,0.2908359,-2.589819,0.05552303,0.2885052,-2.597166
-0.1602917,0.2012777,-2.017823,0.07292224,0.1540811,-2.112219,-0.1873484,0.2908359,-2.589819,0.05552303,0.2885052,-2.597166
-0.1558672,0.1582137,-2.033374,0.0594633,0.2597109,-2.031509,-0.1887809,0.2906747,-2.588168,0.05565044,0.2888488,-2.596757
-0.1558672,0.1582137,-2.033374,0.0594633,0.2597109,-2.031509,-0.1887809,0.2906747,-2.588168,0.05565044,0.2888488,-2.596757
-0.1442658,0.09239122,-2.068148,0.05564677,0.357934,-2.01053,-0.1913779,0.2949965,-2.587434,0.05792772,0.2913297,-2.597856
-0.1442658,0.09239122,-2.068148,0.05564677,0.357934,-2.01053,-0.1913779,0.2949965,-2.587434,0.05792772,0.2913297,-2.597856
-0.13478,0.02263276,-2.095758,0.05974517,0.4413293,-2.009657,-0.1951653,0.3088363,-2.587307,0.07016268,0.3016767,-2.583861
-0.13478,0.02263276,-2.095758,0.05974517,0.4413293,-2.009657,-0.1951653,0.3088363,-2.587307,0.07016268,0.3016767,-2.583861
-0.1342297,0.002134629,-2.110719,0.06200295,0.4761231,-2.02673,-0.1982751,0.3111396,-2.586506,0.07389365,0.3037707,-2.58089
-0.1342297,0.002134629,-2.110719,0.06200295,0.4761231,-2.02673,-0.1982751,0.3111396,-2.586506,0.07389365,0.3037707,-2.58089
-0.1342297,0.002134629,-2.110719,0.06200295,0.4761231,-2.02673,-0.1982751,0.3111396,-2.586506,0.07389365,0.3037707,-2.58089
-0.1342297,0.002134629,-2.110719,0.06200295,0.4761231,-2.02673,-0.1982751,0.3111396,-2.586506,0.07389365,0.3037707,-2.58089
-0.1339026,-0.01774777,-2.128321,0.06051019,0.497817,-2.026092,-0.1994495,0.3104641,-2.588207,0.07079365,0.3039857,-2.582633
-0.1339026,-0.01774777,-2.128321,0.06051019,0.497817,-2.026092,-0.1994495,0.3104641,-2.588207,0.07079365,0.3039857,-2.582633
-0.1378329,-0.03472975,-2.142806,0.05806904,0.5241359,-2.044999,-0.2013927,0.3156599,-2.584771,0.07261437,0.3115726,-2.58188
-0.1378329,-0.03472975,-2.142806,0.05806904,0.5241359,-2.044999,-0.2013927,0.3156599,-2.584771,0.07261437,0.3115726,-2.58188
-0.1393848,-0.03461927,-2.138899,0.05573286,0.5328259,-2.053212,-0.2012508,0.3171568,-2.57855,0.07317939,0.3146905,-2.587487
-0.1393848,-0.03461927,-2.138899,0.05573286,0.5328259,-2.053212,-0.2012508,0.3171568,-2.57855,0.07317939,0.3146905,-2.587487
-0.141478,-0.03508736,-2.134624,0.0527282,0.5390767,-2.053266,-0.2033254,0.3175046,-2.572166,0.07267499,0.3179359,-2.592127
-0.141478,-0.03508736,-2.134624,0.0527282,0.5390767,-2.053266,-0.2033254,0.3175046,-2.572166,0.07267499,0.3179359,-2.592127
-0.141478,-0.03508736,-2.134624,0.0527282,0.5390767,-2.053266,-0.2033254,0.3175046,-2.572166,0.07267499,0.3179359,-2.592127
-0.141478,-0.03508736,-2.134624,0.0527282,0.5390767,-2.053266,-0.2033254,0.3175046,-2.572166,0.07267499,0.3179359,-2.592127
-0.137088,-0.03128441,-2.14355,0.05529862,0.5351918,-2.055637,-0.2034805,0.3164857,-2.575075,0.07165944,0.3196906,-2.590511
-0.137088,-0.03128441,-2.14355,0.05529862,0.5351918,-2.055637,-0.2034805,0.3164857,-2.575075,0.07165944,0.3196906,-2.590511
-0.136919,-0.0257965,-2.13025,0.05534774,0.5357634,-2.049069,-0.2038795,0.3148707,-2.576338,0.06897369,0.3198789,-2.590433
-0.136919,-0.0257965,-2.13025,0.05534774,0.5357634,-2.049069,-0.2038795,0.3148707,-2.576338,0.06897369,0.3198789,-2.590433
-0.1371974,-0.02158833,-2.120639,0.05674156,0.5306063,-2.050336,-0.2042314,0.3159903,-2.575556,0.06917889,0.3217772,-2.591065
