Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.7965934,0.5374919,-2.368977,0.5745382,0.5303648,-2.390768,-0.2998108,0.3205227,-2.658683,0.06386843,0.3051959,-2.643854
-0.7965934,0.5374919,-2.368977,0.5745382,0.5303648,-2.390768,-0.2998108,0.3205227,-2.658683,0.06386843,0.3051959,-2.643854
-0.8072885,0.4894585,-2.377983,0.59479,0.4852423,-2.403858,-0.299832,0.320495,-2.653801,0.06391633,0.3051379,-2.640829
-0.8072885,0.4894585,-2.377983,0.59479,0.4852423,-2.403858,-0.299832,0.320495,-2.653801,0.06391633,0.3051379,-2.640829
-0.822853,0.4335924,-2.387889,0.6104307,0.4365494,-2.416599,-0.2994289,0.321263,-2.657098,0.06432259,0.3070699,-2.642944
-0.822853,0.4335924,-2.387889,0.6104307,0.4365494,-2.416599,-0.2994289,0.321263,-2.657098,0.06432259,0.3070699,-2.642944
-0.8313838,0.3693378,-2.39194,0.6210451,0.376152,-2.430879,-0.297853,0.3236803,-2.658151,0.06591327,0.3088598,-2.64504
-0.8313838,0.3693378,-2.39194,0.6210451,0.376152,-2.430879,-0.297853,0.3236803,-2.658151,0.06591327,0.3088598,-2.64504
-0.8431616,0.2973529,-2.394594,0.6254389,0.3170092,-2.446504,-0.2977561,0.3248653,-2.657342,0.06601852,0.3090484,-2.645722
-0.8431616,0.2973529,-2.394594,0.6254389,0.3170092,-2.446504,-0.2977561,0.3248653,-2.657342,0.06601852,0.3090484,-2.645722
-0.8431616,0.2973529,-2.394594,0.6254389,0.3170092,-2.446504,-0.2977561,0.3248653,-2.657342,0.06601852,0.3090484,-2.645722
-0.8431616,0.2973529,-2.394594,0.6254389,0.3170092,-2.446504,-0.2977561,0.3248653,-2.657342,0.06601852,0.3090484,-2.645722
-0.8452356,0.2366769,-2.404808,0.6269149,0.2560764,-2.46234,-0.2974393,0.3239357,-2.658089,0.06627586,0.3063559,-2.647172
-0.8452356,0.2366769,-2.404808,0.6269149,0.2560764,-2.46234,-0.2974393,0.3239357,-2.658089,0.06627586,0.3063559,-2.647172
-0.8224806,0.1859491,-2.410103,0.6265999,0.1891602,-2.46974,-0.297909,0.3243845,-2.657062,0.06577294,0.3059931,-2.646326
-0.8224806,0.1859491,-2.410103,0.6265999,0.1891602,-2.46974,-0.297909,0.3243845,-2.657062,0.06577294,0.3059931,-2.646326
-0.8224806,0.1859491,-2.410103,0.6265999,0.1891602,-2.46974,-0.297909,0.3243845,-2.657062,0.06577294,0.3059931,-2.646326
-0.803033,0.1157814,-2.441349,0.6117464,0.1211906,-2.48676,-0.2998329,0.3250363,-2.658173,0.06382201,0.3066744,-2.646506
-0.803033,0.1157814,-2.441349,0.6117464,0.1211906,-2.48676,-0.2998329,0.3250363,-2.658173,0.06382201,0.3066744,-2.646506
-0.7815909,0.04166529,-2.474775,0.5972325,0.06179492,-2.499833,-0.3013315,0.3234476,-2.658639,0.06227544,0.3051198,-2.64553
-0.7815909,0.04166529,-2.474775,0.5972325,0.06179492,-2.499833,-0.3013315,0.3234476,-2.658639,0.06227544,0.3051198,-2.64553
-0.7518142,-0.02178653,-2.485637,0.5765896,0.001200116,-2.509188,-0.298868,0.3207013,-2.659305,0.06475026,0.3022791,-2.646631
-0.7518142,-0.02178653,-2.485637,0.5765896,0.001200116,-2.509188,-0.298868,0.3207013,-2.659305,0.06475026,0.3022791,-2.646631
-0.7001899,-0.06473304,-2.490073,0.5461537,-0.04445575,-2.516075,-0.2985969,0.3198849,-2.657454,0.06507506,0.3011079,-2.647142
-0.7001899,-0.06473304,-2.490073,0.5461537,-0.04445575,-2.516075,-0.2985969,0.3198849,-2.657454,0.06507506,0.3011079,-2.647142
-0.6603857,-0.105245,-2.506113,0.5017477,-0.09033896,-2.527968,-0.2987292,0.3221205,-2.656952,0.06497712,0.3029962,-2.648675
-0.6603857,-0.105245,-2.506113,0.5017477,-0.09033896,-2.527968,-0.2987292,0.3221205,-2.656952,0.06497712,0.3029962,-2.648675
-0.6118456,-0.1369843,-2.528691,0.4683892,-0.1314679,-2.563373,-0.2983247,0.3191949,-2.650033,0.06541214,0.2999158,-2.643662
-0.6118456,-0.1369843,-2.528691,0.4683892,-0.1314679,-2.563373,-0.2983247,0.3191949,-2.650033,0.06541214,0.2999158,-2.643662
-0.5722945,-0.1700867,-2.542027,0.4304232,-0.1732026,-2.577123,-0.2992583,0.3190096,-2.652309,0.06461017,0.3016594,-2.648827
-0.5722945,-0.1700867,-2.542027,0.4304232,-0.1732026,-2.577123,-0.2992583,0.3190096,-2.652309,0.06461017,0.3016594,-2.648827
