Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.3260269,0.3633305,-2.005049,0.1835374,0.3740312,-1.978547,-0.2768055,0.3166238,-2.646756,0.08758697,0.306692,-2.645303
-0.3260269,0.3633305,-2.005049,0.1835374,0.3740312,-1.978547,-0.2768055,0.3166238,-2.646756,0.08758697,0.306692,-2.645303
-0.3260269,0.3633305,-2.005049,0.1835374,0.3740312,-1.978547,-0.2768055,0.3166238,-2.646756,0.08758697,0.306692,-2.645303
-0.3260269,0.3633305,-2.005049,0.1835374,0.3740312,-1.978547,-0.2768055,0.3166238,-2.646756,0.08758697,0.306692,-2.645303
-0.3777966,0.3587757,-2.010656,0.2433924,0.3761301,-1.998802,-0.275338,0.3198996,-2.64824,0.08906434,0.3099576,-2.648823
-0.3777966,0.3587757,-2.010656,0.2433924,0.3761301,-1.998802,-0.275338,0.3198996,-2.64824,0.08906434,0.3099576,-2.648823
-0.4249993,0.3565919,-2.032357,0.3052803,0.3737463,-2.028113,-0.2767776,0.3140909,-2.645414,0.0876032,0.3044669,-2.641433
-0.4249993,0.3565919,-2.032357,0.3052803,0.3737463,-2.028113,-0.2767776,0.3140909,-2.645414,0.0876032,0.3044669,-2.641433
-0.5377394,0.3453711,-2.049886,0.4202396,0.3678542,-2.087207,-0.2767333,0.3131779,-2.642923,0.08757406,0.3028956,-2.635245
-0.5377394,0.3453711,-2.049886,0.4202396,0.3678542,-2.087207,-0.2767333,0.3131779,-2.642923,0.08757406,0.3028956,-2.635245
-0.5377394,0.3453711,-2.049886,0.4202396,0.3678542,-2.087207,-0.2767333,0.3131779,-2.642923,0.08757406,0.3028956,-2.635245
-0.5377394,0.3453711,-2.049886,0.4202396,0.3678542,-2.087207,-0.2767333,0.3131779,-2.642923,0.08757406,0.3028956,-2.635245
-0.6197799,0.3387102,-2.094123,0.4891937,0.3631795,-2.142477,-0.2775164,0.3116687,-2.637607,0.08678667,0.3013962,-2.629377
-0.6197799,0.3387102,-2.094123,0.4891937,0.3631795,-2.142477,-0.2775164,0.3116687,-2.637607,0.08678667,0.3013962,-2.629377
-0.6677778,0.3416252,-2.139804,0.5403818,0.3584667,-2.196472,-0.2777898,0.3135024,-2.635782,0.08650881,0.3024519,-2.62835
-0.6677778,0.3416252,-2.139804,0.5403818,0.3584667,-2.196472,-0.2777898,0.3135024,-2.635782,0.08650881,0.3024519,-2.62835
-0.709169,0.3444863,-2.173797,0.5767313,0.3580164,-2.236938,-0.2773577,0.3154578,-2.636482,0.08680686,0.3042445,-2.62459
-0.709169,0.3444863,-2.173797,0.5767313,0.3580164,-2.236938,-0.2773577,0.3154578,-2.636482,0.08680686,0.3042445,-2.62459
-0.7445267,0.3438532,-2.209133,0.6078148,0.3517098,-2.294377,-0.2774167,0.3145965,-2.637666,0.08676013,0.3042441,-2.625128
-0.7445267,0.3438532,-2.209133,0.6078148,0.3517098,-2.294377,-0.2774167,0.3145965,-2.637666,0.08676013,0.3042441,-2.625128
-0.7900733,0.3416232,-2.269765,0.6466588,0.3455562,-2.358911,-0.2772816,0.3154373,-2.639941,0.08690705,0.305163,-2.627605
-0.7900733,0.3416232,-2.269765,0.6466588,0.3455562,-2.358911,-0.2772816,0.3154373,-2.639941,0.08690705,0.305163,-2.627605
-0.7900733,0.3416232,-2.269765,0.6466588,0.3455562,-2.358911,-0.2772816,0.3154373,-2.639941,0.08690705,0.305163,-2.627605
-0.7900733,0.3416232,-2.269765,0.6466588,0.3455562,-2.358911,-0.2772816,0.3154373,-2.639941,0.08690705,0.305163,-2.627605
-0.8312268,0.3397722,-2.310407,0.6707245,0.3483476,-2.41444,-0.2792549,0.3121905,-2.636587,0.08494461,0.3016023,-2.624841
-0.8312268,0.3397722,-2.310407,0.6707245,0.3483476,-2.41444,-0.2792549,0.3121905,-2.636587,0.08494461,0.3016023,-2.624841
-0.8489769,0.3371594,-2.347642,0.6805261,0.3509307,-2.441407,-0.279671,0.3166054,-2.639447,0.08452662,0.3055549,-2.628068
-0.8489769,0.3371594,-2.347642,0.6805261,0.3509307,-2.441407,-0.279671,0.3166054,-2.639447,0.08452662,0.3055549,-2.628068
-0.8615838,0.3400669,-2.387318,0.685716,0.3484232,-2.456353,-0.2773041,0.3202506,-2.63884,0.08703083,0.3101254,-2.632717
-0.8615838,0.3400669,-2.387318,0.685716,0.3484232,-2.456353,-0.2773041,0.3202506,-2.63884,0.08703083,0.3101254,-2.632717
-0.8652704,0.3326605,-2.40335,0.6954215,0.3512616,-2.48773,-0.2773344,0.3145433,-2.634417,0.08697367,0.303159,-2.628261
-0.8652704,0.3326605,-2.40335,0.6954215,0.3512616,-2.48773,-0.2773344,0.3145433,-2.634417,0.08697367,0.303159,-2.628261
-0.8709511,0.3188886,-2.412846,0.7019469,0.3540955,-2.510263,-0.2770413,0.3128575,-2.633742,0.08720143,0.3007976,-2.625346
-0.8709511,0.3188886,-2.412846,0.7019469,0.3540955,-2.510263,-0.2770413,0.3128575,-2.633742,0.08720143,0.3007976,-2.625346
-0.8709511,0.3188886,-2.412846,0.7019469,0.3540955,-2.510263,-0.2770413,0.3128575,-2.633742,0.08720143,0.3007976,-2.625346
