Hand_L, , ,Shoulder_L, , 
-0.5840797,-0.108207,-2.467487,-0.2154179,0.3203012,-2.639534
-0.6293393,-0.06583434,-2.439863,-0.213543,0.3188801,-2.638862
-0.6293393,-0.06583434,-2.439863,-0.213543,0.3188801,-2.638862
-0.6293393,-0.06583434,-2.439863,-0.213543,0.3188801,-2.638862
-0.6640306,-0.005957048,-2.422066,-0.2128452,0.3205327,-2.638952
-0.6640306,-0.005957048,-2.422066,-0.2128452,0.3205327,-2.638952
-0.6922871,0.06134967,-2.402581,-0.2097328,0.3199621,-2.63467
-0.6922871,0.06134967,-2.402581,-0.2097328,0.3199621,-2.63467
-0.7170159,0.1334183,-2.372977,-0.2098201,0.3174216,-2.632858
-0.7170159,0.1334183,-2.372977,-0.2098201,0.3174216,-2.632858
-0.7217491,0.1979427,-2.350811,-0.2116017,0.3134992,-2.629107
-0.7217491,0.1979427,-2.350811,-0.2116017,0.3134992,-2.629107
-0.7163692,0.2749108,-2.321997,-0.2115315,0.3146038,-2.62582
-0.7163692,0.2749108,-2.321997,-0.2115315,0.3146038,-2.62582
-0.6942997,0.3468175,-2.288139,-0.2146824,0.3125669,-2.620971
-0.6942997,0.3468175,-2.288139,-0.2146824,0.3125669,-2.620971
-0.65683,0.4126985,-2.257274,-0.2148002,0.3048285,-2.612588
-0.65683,0.4126985,-2.257274,-0.2148002,0.3048285,-2.612588
-0.613664,0.4720974,-2.240602,-0.2142624,0.3091257,-2.612426
-0.613664,0.4720974,-2.240602,-0.2142624,0.3091257,-2.612426
-0.5728698,0.5141092,-2.231272,-0.2160457,0.3145253,-2.614698
-0.5728698,0.5141092,-2.231272,-0.2160457,0.3145253,-2.614698
-0.5141865,0.5573429,-2.224617,-0.2185783,0.3149978,-2.620048
-0.5141865,0.5573429,-2.224617,-0.2185783,0.3149978,-2.620048
-0.4534043,0.5884224,-2.222338,-0.2180206,0.3127891,-2.618893
-0.4534043,0.5884224,-2.222338,-0.2180206,0.3127891,-2.618893
-0.3941149,0.6207787,-2.225148,-0.2186481,0.313065,-2.615412
-0.3941149,0.6207787,-2.225148,-0.2186481,0.313065,-2.615412
-0.3941149,0.6207787,-2.225148,-0.2186481,0.313065,-2.615412
-0.3941149,0.6207787,-2.225148,-0.2186481,0.313065,-2.615412
-0.3397816,0.6220924,-2.216738,-0.2168607,0.3152492,-2.614538
-0.3397816,0.6220924,-2.216738,-0.2168607,0.3152492,-2.614538
-0.2891356,0.6399829,-2.232105,-0.2167924,0.3159647,-2.612652
-0.2891356,0.6399829,-2.232105,-0.2167924,0.3159647,-2.612652
-0.2421079,0.645875,-2.252846,-0.2173292,0.3145843,-2.610096
-0.2421079,0.645875,-2.252846,-0.2173292,0.3145843,-2.610096
-0.1990861,0.6483431,-2.268391,-0.2166814,0.3159291,-2.608389
-0.1990861,0.6483431,-2.268391,-0.2166814,0.3159291,-2.608389
-0.1678862,0.6433626,-2.282076,-0.2170671,0.315195,-2.606877
-0.1678862,0.6433626,-2.282076,-0.2170671,0.315195,-2.606877
-0.1346303,0.6406795,-2.289638,-0.2167986,0.3173782,-2.609677
-0.1346303,0.6406795,-2.289638,-0.2167986,0.3173782,-2.609677
-0.1113962,0.6412498,-2.306287,-0.2168841,0.3108178,-2.605603
-0.1113962,0.6412498,-2.306287,-0.2168841,0.3108178,-2.605603
-0.09444173,0.6263521,-2.317338,-0.2159244,0.3096495,-2.608216
-0.09444173,0.6263521,-2.317338,-0.2159244,0.3096495,-2.608216
-0.08588555,0.6198468,-2.325845,-0.2148997,0.3114518,-2.606191
-0.08588555,0.6198468,-2.325845,-0.2148997,0.3114518,-2.606191
-0.06999655,0.6240141,-2.334904,-0.2136097,0.3119434,-2.606825
-0.06999655,0.6240141,-2.334904,-0.2136097,0.3119434,-2.606825
-0.06999655,0.6240141,-2.334904,-0.2136097,0.3119434,-2.606825
-0.06209726,0.6247057,-2.333964,-0.214003,0.3107455,-2.605341
-0.06209726,0.6247057,-2.333964,-0.214003,0.3107455,-2.605341
-0.05501711,0.6231859,-2.34543,-0.2110786,0.3194777,-2.611229
-0.05501711,0.6231859,-2.34543,-0.2110786,0.3194777,-2.611229
-0.05678965,0.6292311,-2.345764,-0.210022,0.3226755,-2.614422
-0.05678965,0.6292311,-2.345764,-0.210022,0.3226755,-2.614422
-0.05762057,0.6314654,-2.345303,-0.2113367,0.3171578,-2.612217
-0.05762057,0.6314654,-2.345303,-0.2113367,0.3171578,-2.612217
