Hand_R, , ,Shoulder_R, , 
0.3781779,-0.2679153,-2.577276,0.153047,0.2999153,-2.609459
0.3934888,-0.2657351,-2.571641,0.1531544,0.2981663,-2.610887
0.3934888,-0.2657351,-2.571641,0.1531544,0.2981663,-2.610887
0.4134219,-0.2620919,-2.579201,0.1540642,0.2954287,-2.61461
0.4134219,-0.2620919,-2.579201,0.1540642,0.2954287,-2.61461
0.4351836,-0.2425178,-2.567451,0.151921,0.3003551,-2.616332
0.4351836,-0.2425178,-2.567451,0.151921,0.3003551,-2.616332
0.4653992,-0.2194947,-2.543137,0.1515091,0.2961658,-2.616492
0.4653992,-0.2194947,-2.543137,0.1515091,0.2961658,-2.616492
0.4653992,-0.2194947,-2.543137,0.1515091,0.2961658,-2.616492
0.505119,-0.1913266,-2.534821,0.1485388,0.3002892,-2.619085
0.505119,-0.1913266,-2.534821,0.1485388,0.3002892,-2.619085
0.5410374,-0.1550646,-2.502502,0.1483977,0.3039468,-2.624975
0.5410374,-0.1550646,-2.502502,0.1483977,0.3039468,-2.624975
0.5410374,-0.1550646,-2.502502,0.1483977,0.3039468,-2.624975
0.5410374,-0.1550646,-2.502502,0.1483977,0.3039468,-2.624975
0.578475,-0.1002369,-2.471058,0.147486,0.3018182,-2.62213
0.578475,-0.1002369,-2.471058,0.147486,0.3018182,-2.62213
0.6072334,-0.04598295,-2.451451,0.1479654,0.3009828,-2.616656
0.6072334,-0.04598295,-2.451451,0.1479654,0.3009828,-2.616656
0.6309794,0.01676974,-2.423666,0.1492019,0.3012822,-2.616133
0.6309794,0.01676974,-2.423666,0.1492019,0.3012822,-2.616133
0.6554632,0.08476903,-2.400685,0.1464026,0.3011344,-2.610595
0.6554632,0.08476903,-2.400685,0.1464026,0.3011344,-2.610595
0.6554632,0.08476903,-2.400685,0.1464026,0.3011344,-2.610595
0.6554632,0.08476903,-2.400685,0.1464026,0.3011344,-2.610595
0.6668991,0.163807,-2.377061,0.1463281,0.3052896,-2.612399
0.6668991,0.163807,-2.377061,0.1463281,0.3052896,-2.612399
0.6698635,0.2353295,-2.348156,0.1434254,0.3052121,-2.607495
0.6698635,0.2353295,-2.348156,0.1434254,0.3052121,-2.607495
0.6569463,0.3189172,-2.32135,0.1445882,0.3038892,-2.604056
0.6569463,0.3189172,-2.32135,0.1445882,0.3038892,-2.604056
0.6315588,0.388349,-2.289963,0.1441239,0.3055479,-2.601741
0.6315588,0.388349,-2.289963,0.1441239,0.3055479,-2.601741
0.6315588,0.388349,-2.289963,0.1441239,0.3055479,-2.601741
0.6315588,0.388349,-2.289963,0.1441239,0.3055479,-2.601741
0.5978394,0.4554406,-2.262856,0.1426147,0.3083047,-2.5973
0.5978394,0.4554406,-2.262856,0.1426147,0.3083047,-2.5973
0.5643296,0.5234673,-2.248141,0.143606,0.3032292,-2.591926
0.5643296,0.5234673,-2.248141,0.143606,0.3032292,-2.591926
0.5251388,0.580434,-2.229576,0.1429764,0.3025074,-2.588203
0.5251388,0.580434,-2.229576,0.1429764,0.3025074,-2.588203
0.4797007,0.6308231,-2.2206,0.1421629,0.3002828,-2.586262
0.4797007,0.6308231,-2.2206,0.1421629,0.3002828,-2.586262
0.4064256,0.6484056,-2.211657,0.1420528,0.2999358,-2.584744
0.4064256,0.6484056,-2.211657,0.1420528,0.2999358,-2.584744
0.4064256,0.6484056,-2.211657,0.1420528,0.2999358,-2.584744
0.3507306,0.6634387,-2.205153,0.1440082,0.3,-2.584213
0.3507306,0.6634387,-2.205153,0.1440082,0.3,-2.584213
0.3507306,0.6634387,-2.205153,0.1440082,0.3,-2.584213
0.3507306,0.6634387,-2.205153,0.1440082,0.3,-2.584213
0.2974403,0.6779499,-2.199223,0.1444295,0.2972067,-2.579876
0.2974403,0.6779499,-2.199223,0.1444295,0.2972067,-2.579876
0.2445944,0.6896337,-2.198629,0.1435111,0.2971449,-2.580021
0.2445944,0.6896337,-2.198629,0.1435111,0.2971449,-2.580021
0.1989293,0.6978608,-2.202807,0.146961,0.2910162,-2.575547
0.1989293,0.6978608,-2.202807,0.146961,0.2910162,-2.575547
0.1462793,0.700725,-2.209798,0.149011,0.2941778,-2.576902
0.1462793,0.700725,-2.209798,0.149011,0.2941778,-2.576902
0.1014672,0.7027237,-2.212532,0.1462376,0.2984045,-2.578954
0.1014672,0.7027237,-2.212532,0.1462376,0.2984045,-2.578954
0.1014672,0.7027237,-2.212532,0.1462376,0.2984045,-2.578954
0.1014672,0.7027237,-2.212532,0.1462376,0.2984045,-2.578954
0.05803286,0.6971554,-2.225763,0.1468574,0.3009189,-2.572543
0.05803286,0.6971554,-2.225763,0.1468574,0.3009189,-2.572543
0.01780214,0.6959758,-2.238482,0.1446657,0.3035256,-2.57394
0.01780214,0.6959758,-2.238482,0.1446657,0.3035256,-2.57394
-0.01466799,0.6889552,-2.247862,0.1409051,0.3016823,-2.575567
