Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
0.2339998,0.2641857,-2.179361,-0.01091569,0.1927742,-2.28368,-0.09344524,0.2708952,-2.552477
0.2463118,0.2164152,-2.189611,-0.004922048,0.1646341,-2.29791,-0.09337564,0.2717417,-2.55196
0.2463118,0.2164152,-2.189611,-0.004922048,0.1646341,-2.29791,-0.09337564,0.2717417,-2.55196
0.2571691,0.144037,-2.203235,-0.0007112887,0.1360392,-2.313036,-0.09348539,0.2725361,-2.551498
0.2571691,0.144037,-2.203235,-0.0007112887,0.1360392,-2.313036,-0.09348539,0.2725361,-2.551498
0.2495035,0.06256407,-2.227283,-0.002521956,0.110696,-2.331472,-0.09356958,0.2728523,-2.551395
0.2495035,0.06256407,-2.227283,-0.002521956,0.110696,-2.331472,-0.09356958,0.2728523,-2.551395
0.2276009,-0.001715189,-2.249847,-0.009373954,0.09217267,-2.34826,-0.09369431,0.273314,-2.551426
0.2276009,-0.001715189,-2.249847,-0.009373954,0.09217267,-2.34826,-0.09369431,0.273314,-2.551426
0.16739,-0.08385026,-2.278316,-0.02033868,0.08039114,-2.366384,-0.09392845,0.2740065,-2.551558
0.16739,-0.08385026,-2.278316,-0.02033868,0.08039114,-2.366384,-0.09392845,0.2740065,-2.551558
0.1069169,-0.1401925,-2.300503,-0.03081516,0.07111701,-2.383852,-0.09412406,0.2746491,-2.551832
0.1069169,-0.1401925,-2.300503,-0.03081516,0.07111701,-2.383852,-0.09412406,0.2746491,-2.551832
0.08627085,-0.1540153,-2.297037,-0.04470754,0.056836,-2.400048,-0.0942324,0.2748604,-2.551917
0.08627085,-0.1540153,-2.297037,-0.04470754,0.056836,-2.400048,-0.0942324,0.2748604,-2.551917
0.08627085,-0.1540153,-2.297037,-0.04470754,0.056836,-2.400048,-0.0942324,0.2748604,-2.551917
0.0465613,-0.1679397,-2.29217,-0.05856824,0.04852432,-2.412885,-0.09436756,0.2751533,-2.552047
0.0465613,-0.1679397,-2.29217,-0.05856824,0.04852432,-2.412885,-0.09436756,0.2751533,-2.552047
-0.007178108,-0.177213,-2.280708,-0.07899892,0.03874544,-2.427034,-0.09447283,0.2754593,-2.552226
-0.007178108,-0.177213,-2.280708,-0.07899892,0.03874544,-2.427034,-0.09447283,0.2754593,-2.552226
-0.05150336,-0.1807953,-2.275553,-0.103636,0.03237547,-2.437943,-0.09458771,0.2757988,-2.552427
-0.05150336,-0.1807953,-2.275553,-0.103636,0.03237547,-2.437943,-0.09458771,0.2757988,-2.552427
-0.05150336,-0.1807953,-2.275553,-0.103636,0.03237547,-2.437943,-0.09458771,0.2757988,-2.552427
-0.05150336,-0.1807953,-2.275553,-0.103636,0.03237547,-2.437943,-0.09458771,0.2757988,-2.552427
-0.1138536,-0.1703915,-2.264023,-0.126442,0.0316378,-2.444363,-0.09473927,0.2763699,-2.552756
-0.1138536,-0.1703915,-2.264023,-0.126442,0.0316378,-2.444363,-0.09473927,0.2763699,-2.552756
-0.1816571,-0.1481223,-2.246164,-0.1472006,0.03233194,-2.448269,-0.09480496,0.2766616,-2.552927
-0.1816571,-0.1481223,-2.246164,-0.1472006,0.03233194,-2.448269,-0.09480496,0.2766616,-2.552927
-0.2283957,-0.1191722,-2.223093,-0.1645898,0.03591808,-2.44788,-0.09486892,0.277235,-2.553267
-0.2283957,-0.1191722,-2.223093,-0.1645898,0.03591808,-2.44788,-0.09486892,0.277235,-2.553267
-0.2712628,-0.07667594,-2.205175,-0.1829031,0.04375963,-2.446796,-0.09496816,0.2776023,-2.553486
-0.2712628,-0.07667594,-2.205175,-0.1829031,0.04375963,-2.446796,-0.09496816,0.2776023,-2.553486
-0.3087503,-0.02974162,-2.188819,-0.1977074,0.05281709,-2.442937,-0.09502503,0.2781731,-2.55386
-0.3087503,-0.02974162,-2.188819,-0.1977074,0.05281709,-2.442937,-0.09502503,0.2781731,-2.55386
-0.3405949,0.03184557,-2.160191,-0.2218977,0.06904309,-2.427949,-0.09507697,0.2784667,-2.554001
-0.3405949,0.03184557,-2.160191,-0.2218977,0.06904309,-2.427949,-0.09507697,0.2784667,-2.554001
-0.3601535,0.09175611,-2.137087,-0.2445216,0.09230628,-2.409513,-0.09510338,0.2787744,-2.554142
-0.3601535,0.09175611,-2.137087,-0.2445216,0.09230628,-2.409513,-0.09510338,0.2787744,-2.554142
-0.3666405,0.1511681,-2.116593,-0.2591711,0.1174099,-2.390549,-0.09518314,0.2793341,-2.554434
-0.3666405,0.1511681,-2.116593,-0.2591711,0.1174099,-2.390549,-0.09518314,0.2793341,-2.554434
-0.3708791,0.2173917,-2.105543,-0.2641101,0.1406506,-2.369739,-0.09528281,0.2800505,-2.554752
-0.3708791,0.2173917,-2.105543,-0.2641101,0.1406506,-2.369739,-0.09528281,0.2800505,-2.554752
-0.3667915,0.2733746,-2.093001,-0.2672924,0.1590799,-2.350829,-0.09536911,0.2804494,-2.554785
-0.3667915,0.2733746,-2.093001,-0.2672924,0.1590799,-2.350829,-0.09536911,0.2804494,-2.554785
-0.3667915,0.2733746,-2.093001,-0.2672924,0.1590799,-2.350829,-0.09536911,0.2804494,-2.554785
-0.3667915,0.2733746,-2.093001,-0.2672924,0.1590799,-2.350829,-0.09536911,0.2804494,-2.554785
-0.3570009,0.326944,-2.087192,-0.2653813,0.1842616,-2.330681,-0.09540588,0.2806354,-2.554737
-0.3570009,0.326944,-2.087192,-0.2653813,0.1842616,-2.330681,-0.09540588,0.2806354,-2.554737
-0.3375372,0.3774651,-2.080777,-0.2593622,0.212019,-2.313002,-0.09542425,0.2807462,-2.554711
-0.3375372,0.3774651,-2.080777,-0.2593622,0.212019,-2.313002,-0.09542425,0.2807462,-2.554711
-0.3375372,0.3774651,-2.080777,-0.2593622,0.212019,-2.313002,-0.09544177,0.2812059,-2.554778
-0.3123488,0.4241222,-2.075573,-0.252829,0.2357591,-2.299244,-0.09544177,0.2812059,-2.554778
