Hand_L, , ,Shoulder_L, , 
-0.3376673,0.5064672,-2.104384,-0.140198,0.3050439,-2.54059
-0.3921254,0.4807344,-2.102313,-0.1402766,0.3113184,-2.545179
-0.3921254,0.4807344,-2.102313,-0.1402766,0.3113184,-2.545179
-0.4397916,0.4517842,-2.106763,-0.1398388,0.3122621,-2.547304
-0.4397916,0.4517842,-2.106763,-0.1398388,0.3122621,-2.547304
-0.4832369,0.4091314,-2.112009,-0.1410791,0.3074155,-2.54199
-0.4832369,0.4091314,-2.112009,-0.1410791,0.3074155,-2.54199
-0.5317651,0.3658,-2.128047,-0.1417878,0.3081454,-2.544931
-0.5317651,0.3658,-2.128047,-0.1417878,0.3081454,-2.544931
-0.5618088,0.2974242,-2.148016,-0.1413937,0.3055286,-2.548714
-0.5618088,0.2974242,-2.148016,-0.1413937,0.3055286,-2.548714
-0.5951961,0.2489316,-2.154587,-0.1410372,0.3065532,-2.55213
-0.5951961,0.2489316,-2.154587,-0.1410372,0.3065532,-2.55213
-0.61769,0.1983934,-2.174267,-0.1409617,0.309156,-2.553497
-0.61769,0.1983934,-2.174267,-0.1409617,0.309156,-2.553497
-0.6065538,0.1248504,-2.197625,-0.1423901,0.305041,-2.545766
-0.6065538,0.1248504,-2.197625,-0.1423901,0.305041,-2.545766
-0.5775553,0.0492362,-2.218907,-0.142171,0.303121,-2.540889
-0.5775553,0.0492362,-2.218907,-0.142171,0.303121,-2.540889
-0.5512627,-0.01442916,-2.254086,-0.1420794,0.3056169,-2.5463
-0.5512627,-0.01442916,-2.254086,-0.1420794,0.3056169,-2.5463
-0.5044079,-0.0815955,-2.288964,-0.1425441,0.3069989,-2.551528
-0.5044079,-0.0815955,-2.288964,-0.1425441,0.3069989,-2.551528
-0.4482152,-0.1360586,-2.318546,-0.1430964,0.3041562,-2.542881
-0.4482152,-0.1360586,-2.318546,-0.1430964,0.3041562,-2.542881
-0.4482152,-0.1360586,-2.318546,-0.1430964,0.3041562,-2.542881
-0.3848357,-0.1715479,-2.328799,-0.1449602,0.3005598,-2.539572
-0.3848357,-0.1715479,-2.328799,-0.1449602,0.3005598,-2.539572
-0.3108443,-0.2048198,-2.329899,-0.1470704,0.3066123,-2.54859
-0.3108443,-0.2048198,-2.329899,-0.1470704,0.3066123,-2.54859
-0.238997,-0.2157039,-2.328629,-0.1474383,0.3103041,-2.546759
-0.238997,-0.2157039,-2.328629,-0.1474383,0.3103041,-2.546759
-0.238997,-0.2157039,-2.328629,-0.1474383,0.3103041,-2.546759
-0.238997,-0.2157039,-2.328629,-0.1474383,0.3103041,-2.546759
-0.1689852,-0.21234,-2.30567,-0.1493748,0.3098084,-2.542187
-0.1689852,-0.21234,-2.30567,-0.1493748,0.3098084,-2.542187
-0.1034187,-0.1888015,-2.279531,-0.149224,0.3290209,-2.556274
-0.1034187,-0.1888015,-2.279531,-0.149224,0.3290209,-2.556274
-0.06070152,-0.1446931,-2.291542,-0.1477369,0.324122,-2.550756
-0.06070152,-0.1446931,-2.291542,-0.1477369,0.324122,-2.550756
-0.02018893,-0.1016201,-2.289183,-0.1473257,0.3249415,-2.550259
-0.02018893,-0.1016201,-2.289183,-0.1473257,0.3249415,-2.550259
0.02074183,-0.03995628,-2.250596,-0.1500236,0.3188561,-2.54821
0.02074183,-0.03995628,-2.250596,-0.1500236,0.3188561,-2.54821
0.06448167,0.02710089,-2.214525,-0.1472065,0.3199608,-2.54415
0.06448167,0.02710089,-2.214525,-0.1472065,0.3199608,-2.54415
0.09193281,0.09555368,-2.187238,-0.1443767,0.3170244,-2.534291
0.09193281,0.09555368,-2.187238,-0.1443767,0.3170244,-2.534291
0.1076552,0.1733612,-2.163615,-0.1319276,0.3411764,-2.530582
0.1076552,0.1733612,-2.163615,-0.1319276,0.3411764,-2.530582
0.1143722,0.2516135,-2.149347,-0.1321493,0.337111,-2.529875
0.1143722,0.2516135,-2.149347,-0.1321493,0.337111,-2.529875
0.1036802,0.3235101,-2.133665,-0.1352074,0.3311482,-2.531383
0.1036802,0.3235101,-2.133665,-0.1352074,0.3311482,-2.531383
0.09416189,0.3803471,-2.128553,-0.1323476,0.3458287,-2.529793
0.09416189,0.3803471,-2.128553,-0.1323476,0.3458287,-2.529793
0.07498711,0.4270123,-2.129242,-0.1416879,0.3558853,-2.534836
0.07498711,0.4270123,-2.129242,-0.1416879,0.3558853,-2.534836
0.04582208,0.4735293,-2.12807,-0.1334749,0.300018,-2.517896
0.04582208,0.4735293,-2.12807,-0.1334749,0.300018,-2.517896
0.02085925,0.5083234,-2.127216,-0.1284273,0.2792044,-2.506891
0.02085925,0.5083234,-2.127216,-0.1284273,0.2792044,-2.506891
-0.0008672308,0.5279412,-2.137213,-0.1249284,0.2727506,-2.501849
-0.0008672308,0.5279412,-2.137213,-0.1249284,0.2727506,-2.501849
-0.02976164,0.5341065,-2.146033,-0.1226615,0.2709797,-2.500343
-0.02976164,0.5341065,-2.146033,-0.1226615,0.2709797,-2.500343
-0.02976164,0.5341065,-2.146033,-0.1226615,0.2709797,-2.500343
-0.04880992,0.5469267,-2.147564,-0.1283771,0.26247,-2.498171
-0.04880992,0.5469267,-2.147564,-0.1283771,0.26247,-2.498171
-0.07488244,0.5561361,-2.149704,-0.1370928,0.2523459,-2.502385
-0.07488244,0.5561361,-2.149704,-0.1370928,0.2523459,-2.502385
-0.09165515,0.5467883,-2.146512,-0.1419153,0.2332746,-2.498569
-0.09165515,0.5467883,-2.146512,-0.1419153,0.2332746,-2.498569
-0.09985594,0.5370171,-2.144799,-0.1328813,0.284137,-2.517114
