Hand_L, , ,Shoulder_L, , 
0.104858,0.3501884,-2.246626,-0.1614961,0.3024772,-2.59417
0.104858,0.3501884,-2.246626,-0.1614961,0.3024772,-2.59417
0.1160637,0.2569728,-2.26037,-0.1605925,0.3004531,-2.59179
0.1160637,0.2569728,-2.26037,-0.1605925,0.3004531,-2.59179
0.1008815,0.1627254,-2.275923,-0.1613442,0.2980397,-2.590641
0.1008815,0.1627254,-2.275923,-0.1613442,0.2980397,-2.590641
0.08629657,0.08682277,-2.307935,-0.1647381,0.2979432,-2.594288
0.08629657,0.08682277,-2.307935,-0.1647381,0.2979432,-2.594288
0.08153041,-0.006610801,-2.332281,-0.1660004,0.2995074,-2.595195
0.08153041,-0.006610801,-2.332281,-0.1660004,0.2995074,-2.595195
0.06326908,-0.07525996,-2.356161,-0.1700971,0.3037483,-2.596862
0.06326908,-0.07525996,-2.356161,-0.1700971,0.3037483,-2.596862
0.06326908,-0.07525996,-2.356161,-0.1700971,0.3037483,-2.596862
0.06326908,-0.07525996,-2.356161,-0.1700971,0.3037483,-2.596862
-0.01634962,-0.1782305,-2.41952,-0.1729768,0.3044296,-2.602647
-0.01634962,-0.1782305,-2.41952,-0.1729768,0.3044296,-2.602647
-0.07324426,-0.2057233,-2.439305,-0.1718708,0.3076305,-2.604417
-0.07324426,-0.2057233,-2.439305,-0.1718708,0.3076305,-2.604417
-0.128966,-0.2447058,-2.42575,-0.1709433,0.3087193,-2.606786
-0.128966,-0.2447058,-2.42575,-0.1709433,0.3087193,-2.606786
-0.128966,-0.2447058,-2.42575,-0.1709433,0.3087193,-2.606786
-0.128966,-0.2447058,-2.42575,-0.1709433,0.3087193,-2.606786
-0.128966,-0.2447058,-2.42575,-0.1709433,0.3087193,-2.606786
-0.256381,-0.2631072,-2.434062,-0.167892,0.3052565,-2.608771
-0.256381,-0.2631072,-2.434062,-0.167892,0.3052565,-2.608771
-0.256381,-0.2631072,-2.434062,-0.1664454,0.3036213,-2.611604
-0.256381,-0.2631072,-2.434062,-0.1664454,0.3036213,-2.611604
-0.3353559,-0.2373493,-2.432771,-0.1664454,0.3036213,-2.611604
-0.3353559,-0.2373493,-2.432771,-0.1664454,0.3036213,-2.611604
-0.4053015,-0.20346,-2.418982,-0.1632008,0.3008479,-2.608776
-0.4053015,-0.20346,-2.418982,-0.1632008,0.3008479,-2.608776
-0.4516698,-0.1495986,-2.40801,-0.1622131,0.3031621,-2.610617
-0.4516698,-0.1495986,-2.40801,-0.1622131,0.3031621,-2.610617
-0.4885223,-0.09508791,-2.394533,-0.1617753,0.3037143,-2.608008
-0.4885223,-0.09508791,-2.394533,-0.1617753,0.3037143,-2.608008
-0.5151308,-0.03528339,-2.382042,-0.162147,0.3028355,-2.6065
-0.5151308,-0.03528339,-2.382042,-0.162147,0.3028355,-2.6065
-0.5509813,0.03030581,-2.350944,-0.1623913,0.3074078,-2.61139
-0.5509813,0.03030581,-2.350944,-0.1623913,0.3074078,-2.61139
-0.5927524,0.1138878,-2.309382,-0.1614054,0.3073615,-2.6137
-0.5927524,0.1138878,-2.309382,-0.1614054,0.3073615,-2.6137
-0.6153585,0.1861591,-2.280983,-0.1624905,0.3083269,-2.614908
-0.6153585,0.1861591,-2.280983,-0.1624905,0.3083269,-2.614908
-0.6062232,0.2538964,-2.266089,-0.1607643,0.3024683,-2.609235
-0.6062232,0.2538964,-2.266089,-0.1607643,0.3024683,-2.609235
-0.5781639,0.3269708,-2.245724,-0.1609642,0.3015372,-2.609408
-0.5781639,0.3269708,-2.245724,-0.1609642,0.3015372,-2.609408
-0.5387375,0.3848946,-2.230677,-0.1626454,0.301858,-2.609387
-0.5387375,0.3848946,-2.230677,-0.1626454,0.301858,-2.609387
-0.4856509,0.4352766,-2.214686,-0.1645119,0.2992545,-2.608441
-0.4856509,0.4352766,-2.214686,-0.1645119,0.2992545,-2.608441
-0.4334862,0.4719254,-2.212932,-0.1640885,0.3000044,-2.609289
-0.4334862,0.4719254,-2.212932,-0.1640885,0.3000044,-2.609289
-0.3747566,0.5047413,-2.21447,-0.1638599,0.2984097,-2.603573
-0.3747566,0.5047413,-2.21447,-0.1638599,0.2984097,-2.603573
-0.3211255,0.5255942,-2.211957,-0.1629906,0.3017252,-2.607923
-0.3211255,0.5255942,-2.211957,-0.1629906,0.3017252,-2.607923
-0.3211255,0.5255942,-2.211957,-0.1629906,0.3017252,-2.607923
-0.270022,0.5424085,-2.213607,-0.1663499,0.307865,-2.610332
-0.270022,0.5424085,-2.213607,-0.1663499,0.307865,-2.610332
-0.2222605,0.547964,-2.21521,-0.1675572,0.3087226,-2.613049
-0.2222605,0.547964,-2.21521,-0.1675572,0.3087226,-2.613049
-0.168595,0.5518183,-2.221747,-0.169127,0.3025166,-2.613476
-0.168595,0.5518183,-2.221747,-0.169127,0.3025166,-2.613476
-0.168595,0.5518183,-2.221747,-0.169127,0.3025166,-2.613476
-0.168595,0.5518183,-2.221747,-0.169127,0.3025166,-2.613476
-0.1375203,0.5542008,-2.228846,-0.1681193,0.3065349,-2.614794
