Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.2957028,0.5140408,-2.113718,0.2682397,0.2943481,-2.275806,0.149042,0.2858622,-2.547693
0.2957028,0.5140408,-2.113718,0.2682397,0.2943481,-2.275806,0.149042,0.2858622,-2.547693
0.2957028,0.5140408,-2.113718,0.2682397,0.2943481,-2.275806,0.149042,0.2858622,-2.547693
0.2957028,0.5140408,-2.113718,0.2682397,0.2943481,-2.275806,0.149042,0.2858622,-2.547693
0.3468277,0.4957026,-2.110322,0.287653,0.2910377,-2.283638,0.1490297,0.2861298,-2.547792
0.3468277,0.4957026,-2.110322,0.287653,0.2910377,-2.283638,0.1490297,0.2861298,-2.547792
0.392077,0.4619632,-2.109599,0.3090966,0.2837384,-2.296589,0.1489688,0.2867571,-2.548137
0.392077,0.4619632,-2.109599,0.3090966,0.2837384,-2.296589,0.1489688,0.2867571,-2.548137
0.392077,0.4619632,-2.109599,0.3090966,0.2837384,-2.296589,0.1489688,0.2867571,-2.548137
0.392077,0.4619632,-2.109599,0.3090966,0.2837384,-2.296589,0.1489688,0.2867571,-2.548137
0.4400191,0.4160032,-2.113444,0.3254746,0.2737978,-2.308724,0.1489046,0.2871781,-2.548415
0.4400191,0.4160032,-2.113444,0.3254746,0.2737978,-2.308724,0.1489046,0.2871781,-2.548415
0.4872827,0.3698368,-2.117974,0.3393074,0.2640356,-2.31852,0.1488091,0.2876336,-2.548781
0.4872827,0.3698368,-2.117974,0.3393074,0.2640356,-2.31852,0.1488091,0.2876336,-2.548781
0.4872827,0.3698368,-2.117974,0.3504092,0.2529505,-2.32992,0.1486594,0.2884471,-2.549445
0.5298536,0.31727,-2.132596,0.3504092,0.2529505,-2.32992,0.1486594,0.2884471,-2.549445
0.5298536,0.31727,-2.132596,0.3504092,0.2529505,-2.32992,0.1486594,0.2884471,-2.549445
0.5298536,0.31727,-2.132596,0.3504092,0.2529505,-2.32992,0.1486594,0.2884471,-2.549445
0.5298536,0.31727,-2.132596,0.3504092,0.2529505,-2.32992,0.1486594,0.2884471,-2.549445
0.5535928,0.2665173,-2.144825,0.3600789,0.2356034,-2.34366,0.1484831,0.2892919,-2.550144
0.5535928,0.2665173,-2.144825,0.3600789,0.2356034,-2.34366,0.1484831,0.2892919,-2.550144
0.5713362,0.2113292,-2.169486,0.3643041,0.2157868,-2.359113,0.1484325,0.2897156,-2.550466
0.5713362,0.2113292,-2.169486,0.3643041,0.2157868,-2.359113,0.1484325,0.2897156,-2.550466
0.5783828,0.1532212,-2.18644,0.3671989,0.1954952,-2.371834,0.148368,0.2901039,-2.550854
0.5783828,0.1532212,-2.18644,0.3671989,0.1954952,-2.371834,0.148368,0.2901039,-2.550854
0.5783828,0.1532212,-2.18644,0.3671989,0.1954952,-2.371834,0.148368,0.2901039,-2.550854
0.5783828,0.1532212,-2.18644,0.3671989,0.1954952,-2.371834,0.148368,0.2901039,-2.550854
0.5737513,0.09044958,-2.212178,0.3641213,0.174389,-2.385551,0.1483614,0.2902917,-2.551023
0.5737513,0.09044958,-2.212178,0.3641213,0.174389,-2.385551,0.1483614,0.2902917,-2.551023
0.5488154,0.02313431,-2.252895,0.3566143,0.1599485,-2.400202,0.1483278,0.2904912,-2.551196
0.5488154,0.02313431,-2.252895,0.3566143,0.1599485,-2.400202,0.1483278,0.2904912,-2.551196
0.5488154,0.02313431,-2.252895,0.3566143,0.1599485,-2.400202,0.1483278,0.2904912,-2.551196
0.5488154,0.02313431,-2.252895,0.3566143,0.1599485,-2.400202,0.1483278,0.2904912,-2.551196
0.5318787,-0.02220727,-2.273187,0.3453312,0.1377765,-2.415111,0.1483147,0.2906481,-2.551291
0.5318787,-0.02220727,-2.273187,0.3453312,0.1377765,-2.415111,0.1483147,0.2906481,-2.551291
0.5023543,-0.06624561,-2.294771,0.3291295,0.1183239,-2.428008,0.1483134,0.2906654,-2.551308
0.5023543,-0.06624561,-2.294771,0.3291295,0.1183239,-2.428008,0.1483134,0.2906654,-2.551308
0.4695256,-0.1065469,-2.318329,0.3147064,0.103417,-2.438672,0.1483114,0.2907435,-2.551383
0.4695256,-0.1065469,-2.318329,0.3147064,0.103417,-2.438672,0.1483114,0.2907435,-2.551383
0.4326814,-0.1455562,-2.329071,0.2953462,0.08435829,-2.447308,0.1483221,0.2908251,-2.551436
0.4326814,-0.1455562,-2.329071,0.2953462,0.08435829,-2.447308,0.1483221,0.2908251,-2.551436
0.4326814,-0.1455562,-2.329071,0.2953462,0.08435829,-2.447308,0.1483221,0.2908251,-2.551436
0.4326814,-0.1455562,-2.329071,0.2953462,0.08435829,-2.447308,0.1483221,0.2908251,-2.551436
0.4326814,-0.1455562,-2.329071,0.2953462,0.08435829,-2.447308,0.1483221,0.2908251,-2.551436
0.3830928,-0.1781195,-2.331578,0.2792909,0.07078815,-2.45247,0.1483914,0.2909698,-2.55159
0.3830928,-0.1781195,-2.331578,0.2792909,0.07078815,-2.45247,0.1483914,0.2909698,-2.55159
0.3340628,-0.2022109,-2.329991,0.2600611,0.0577594,-2.455355,0.1484433,0.2911398,-2.551688
0.3340628,-0.2022109,-2.329991,0.2600611,0.0577594,-2.455355,0.1484433,0.2911398,-2.551688
0.3340628,-0.2022109,-2.329991,0.2600611,0.0577594,-2.455355,0.1484433,0.2911398,-2.551688
0.3340628,-0.2022109,-2.329991,0.2600611,0.0577594,-2.455355,0.1484433,0.2911398,-2.551688
0.2726542,-0.2181081,-2.310094,0.2377874,0.04479717,-2.454745,0.148576,0.2915746,-2.552181
0.2726542,-0.2181081,-2.310094,0.2377874,0.04479717,-2.454745,0.148576,0.2915746,-2.552181
0.2062078,-0.2152847,-2.281792,0.2235831,0.0389979,-2.45292,0.1488169,0.2923393,-2.552871
0.2062078,-0.2152847,-2.281792,0.2235831,0.0389979,-2.45292,0.1488169,0.2923393,-2.552871
0.1554092,-0.191451,-2.275842,0.2191563,0.03954354,-2.452609,0.1492185,0.2931437,-2.553714
0.1554092,-0.191451,-2.275842,0.2191563,0.03954354,-2.452609,0.1492185,0.2931437,-2.553714
0.1554092,-0.191451,-2.275842,0.2191563,0.03954354,-2.452609,0.1492185,0.2931437,-2.553714
0.1554092,-0.191451,-2.275842,0.2191563,0.03954354,-2.452609,0.1492185,0.2931437,-2.553714
0.1114884,-0.1614452,-2.27569,0.2116552,0.04343262,-2.450285,0.1495635,0.2937052,-2.554201
0.1114884,-0.1614452,-2.27569,0.2116552,0.04343262,-2.450285,0.1495635,0.2937052,-2.554201
0.06453735,-0.1222858,-2.268593,0.2001981,0.0506621,-2.444374,0.1499268,0.2941792,-2.554779
0.06453735,-0.1222858,-2.268593,0.2001981,0.0506621,-2.444374,0.1499268,0.2941792,-2.554779
0.06453735,-0.1222858,-2.268593,0.2001981,0.0506621,-2.444374,0.1499268,0.2941792,-2.554779
0.06453735,-0.1222858,-2.268593,0.2001981,0.0506621,-2.444374,0.1499268,0.2941792,-2.554779
0.01345149,-0.06939673,-2.250437,0.1905689,0.05755147,-2.437057,0.1501071,0.2944442,-2.554983
0.01345149,-0.06939673,-2.250437,0.1905689,0.05755147,-2.437057,0.1501071,0.2944442,-2.554983
-0.04870272,0.004186656,-2.22089,0.1708032,0.06788648,-2.416054,0.1501614,0.2945729,-2.555014
-0.04870272,0.004186656,-2.22089,0.1708032,0.06788648,-2.416054,0.1501614,0.2945729,-2.555014
-0.07595316,0.05644689,-2.201528,0.1542734,0.08047239,-2.394007,0.1501748,0.2946501,-2.555025
-0.07595316,0.05644689,-2.201528,0.1542734,0.08047239,-2.394007,0.1501748,0.2946501,-2.555025
-0.07595316,0.05644689,-2.201528,0.1542734,0.08047239,-2.394007,0.1501748,0.2946501,-2.555025
-0.07595316,0.05644689,-2.201528,0.1542734,0.08047239,-2.394007,0.1501748,0.2946501,-2.555025
-0.09859548,0.1208879,-2.188811,0.139764,0.09672773,-2.374481,0.1501759,0.2946734,-2.555015
-0.09859548,0.1208879,-2.188811,0.139764,0.09672773,-2.374481,0.1501759,0.2946734,-2.555015
-0.1112295,0.195153,-2.177871,0.1254714,0.1167342,-2.351752,0.1501349,0.2947496,-2.554912
-0.1112295,0.195153,-2.177871,0.1254714,0.1167342,-2.351752,0.1501349,0.2947496,-2.554912
-0.1129825,0.2752089,-2.169049,0.1096931,0.1412929,-2.327813,0.1500012,0.2949918,-2.554678
-0.1129825,0.2752089,-2.169049,0.1096931,0.1412929,-2.327813,0.1500012,0.2949918,-2.554678
-0.1129825,0.2752089,-2.169049,0.1096931,0.1412929,-2.327813,0.1500012,0.2949918,-2.554678
-0.1129825,0.2752089,-2.169049,0.1096931,0.1412929,-2.327813,0.1500012,0.2949918,-2.554678
-0.1090965,0.3301313,-2.163482,0.1000677,0.1662757,-2.30828,0.1498683,0.2953016,-2.554357
-0.1090965,0.3301313,-2.163482,0.1000677,0.1662757,-2.30828,0.1498683,0.2953016,-2.554357
-0.1024875,0.3663623,-2.157693,0.09831877,0.1909266,-2.292572,0.1496889,0.2954291,-2.554185
-0.1024875,0.3663623,-2.157693,0.09831877,0.1909266,-2.292572,0.1496889,0.2954291,-2.554185
-0.08916616,0.3986064,-2.160424,0.1009176,0.2048636,-2.285446,0.1496664,0.2960574,-2.554105
-0.08916616,0.3986064,-2.160424,0.1009176,0.2048636,-2.285446,0.1496664,0.2960574,-2.554105
-0.08916616,0.3986064,-2.160424,0.1009176,0.2048636,-2.285446,0.1496664,0.2960574,-2.554105
-0.08916616,0.3986064,-2.160424,0.1009176,0.2048636,-2.285446,0.1496664,0.2960574,-2.554105
-0.06516678,0.4359818,-2.16206,0.1073139,0.2218949,-2.276477,0.1499338,0.2949024,-2.553757
-0.06516678,0.4359818,-2.16206,0.1073139,0.2218949,-2.276477,0.1499338,0.2949024,-2.553757
-0.06516678,0.4359818,-2.16206,0.1073139,0.2218949,-2.276477,0.1499338,0.2949024,-2.553757
-0.04635268,0.4608869,-2.164343,0.1131612,0.234163,-2.272169,0.1505453,0.2916124,-2.552502
-0.04635268,0.4608869,-2.164343,0.1131612,0.234163,-2.272169,0.1505453,0.2916124,-2.552502
-0.02414799,0.4865594,-2.164828,0.1207773,0.2470937,-2.266406,0.1510747,0.2878094,-2.551286
-0.02414799,0.4865594,-2.164828,0.1207773,0.2470937,-2.266406,0.1510747,0.2878094,-2.551286
-0.002181089,0.5042049,-2.163799,0.12775,0.256011,-2.262661,0.1510951,0.2834603,-2.549837
-0.002181089,0.5042049,-2.163799,0.12775,0.256011,-2.262661,0.1510951,0.2834603,-2.549837
-0.002181089,0.5042049,-2.163799,0.12775,0.256011,-2.262661,0.1510951,0.2834603,-2.549837
-0.002181089,0.5042049,-2.163799,0.12775,0.256011,-2.262661,0.1510951,0.2834603,-2.549837
0.01713549,0.513598,-2.163208,0.1373613,0.262627,-2.260939,0.1507832,0.2775891,-2.547917
0.01713549,0.513598,-2.163208,0.1373613,0.262627,-2.260939,0.1507832,0.2775891,-2.547917
0.03507427,0.5196478,-2.161257,0.1466261,0.2671022,-2.259913,0.1506881,0.2731724,-2.546476
0.03507427,0.5196478,-2.161257,0.1466261,0.2671022,-2.259913,0.1506881,0.2731724,-2.546476
0.04957796,0.5227342,-2.158473,0.1542199,0.2697465,-2.258682,0.1515166,0.2687521,-2.544863
0.04957796,0.5227342,-2.158473,0.1542199,0.2697465,-2.258682,0.1515166,0.2687521,-2.544863
0.04957796,0.5227342,-2.158473,0.1542199,0.2697465,-2.258682,0.1515166,0.2687521,-2.544863
0.04957796,0.5227342,-2.158473,0.1542199,0.2697465,-2.258682,0.1515166,0.2687521,-2.544863
0.07143026,0.5254952,-2.153044,0.1652837,0.2728019,-2.258438,0.1512812,0.2694951,-2.544695
0.07143026,0.5254952,-2.153044,0.1652837,0.2728019,-2.258438,0.1512812,0.2694951,-2.544695
