Hand_R, , ,Shoulder_R, , 
-0.2496539,0.3426667,-2.152716,0.09665599,0.2946341,-2.529321
-0.2496539,0.3426667,-2.152716,0.09665599,0.2946341,-2.529321
-0.2811014,0.2799687,-2.181231,0.09665599,0.2946341,-2.529321
-0.2811014,0.2799687,-2.181231,0.09665599,0.2946341,-2.529321
-0.2965029,0.2133619,-2.215434,0.09665434,0.2973494,-2.534467
-0.2965029,0.2133619,-2.215434,0.09665434,0.2973494,-2.534467
-0.294757,0.1370428,-2.236696,0.09764007,0.292416,-2.535144
-0.294757,0.1370428,-2.236696,0.09764007,0.292416,-2.535144
-0.2713715,0.06315005,-2.254887,0.09966817,0.2922844,-2.537762
-0.2713715,0.06315005,-2.254887,0.09966817,0.2922844,-2.537762
-0.2468968,-0.002872011,-2.273266,0.09814071,0.292332,-2.546734
-0.2468968,-0.002872011,-2.273266,0.09814071,0.292332,-2.546734
-0.2468968,-0.002872011,-2.273266,0.09814071,0.292332,-2.546734
-0.2468968,-0.002872011,-2.273266,0.09814071,0.292332,-2.546734
-0.2172264,-0.07037947,-2.297652,0.09893478,0.2936133,-2.554821
-0.2172264,-0.07037947,-2.297652,0.09893478,0.2936133,-2.554821
-0.141363,-0.142064,-2.331752,0.1022342,0.3000419,-2.570401
-0.141363,-0.142064,-2.331752,0.1022342,0.3000419,-2.570401
-0.06282033,-0.1793316,-2.338155,0.1010899,0.2975138,-2.570468
-0.06282033,-0.1793316,-2.338155,0.1010899,0.2975138,-2.570468
-0.01479709,-0.1876461,-2.312041,0.1013306,0.2974733,-2.577956
-0.01479709,-0.1876461,-2.312041,0.1013306,0.2974733,-2.577956
-0.01479709,-0.1876461,-2.312041,0.1013306,0.2974733,-2.577956
0.04863713,-0.1895917,-2.289025,0.1021035,0.29987,-2.579743
0.04863713,-0.1895917,-2.289025,0.1021035,0.29987,-2.579743
0.04863713,-0.1895917,-2.289025,0.1021035,0.29987,-2.579743
0.04863713,-0.1895917,-2.289025,0.1021035,0.29987,-2.579743
