Hand_R, , ,Elbow_R, , ,Body, , 
-0.0206519,0.2465853,-1.614015,0.08077934,0.03690473,-1.763242,-0.07572331,-0.2765881,-2.059604
-0.02207642,0.244764,-1.613534,0.0837725,0.03699725,-1.763826,-0.074746,-0.2792636,-2.05924
-0.02207642,0.244764,-1.613534,0.0837725,0.03699725,-1.763826,-0.074746,-0.2792636,-2.05924
-0.02207642,0.244764,-1.613534,0.0837725,0.03699725,-1.763826,-0.074746,-0.2792636,-2.05924
-0.02207642,0.244764,-1.613534,0.0837725,0.03699725,-1.763826,-0.074746,-0.2792636,-2.05924
-0.02207642,0.244764,-1.613534,0.0837725,0.03699725,-1.763826,-0.074746,-0.2792636,-2.05924
-0.02085037,0.2450248,-1.611788,0.08401357,0.03840904,-1.762547,-0.07608371,-0.2808139,-2.058208
-0.02085037,0.2450248,-1.611788,0.08401357,0.03840904,-1.762547,-0.07608371,-0.2808139,-2.058208
-0.02085037,0.2450248,-1.611788,0.08401357,0.03840904,-1.762547,-0.07608371,-0.2808139,-2.058208
-0.02085037,0.2450248,-1.611788,0.08401357,0.03840904,-1.762547,-0.07608371,-0.2808139,-2.058208
-0.01908288,0.2477322,-1.609012,0.08399913,0.03885128,-1.75931,-0.07522427,-0.2868578,-2.057278
-0.01908288,0.2477322,-1.609012,0.08399913,0.03885128,-1.75931,-0.07522427,-0.2868578,-2.057278
-0.01610672,0.2503502,-1.607441,0.08332734,0.03894586,-1.758295,-0.07570153,-0.290718,-2.057442
-0.01610672,0.2503502,-1.607441,0.08332734,0.03894586,-1.758295,-0.07570153,-0.290718,-2.057442
-0.01610672,0.2503502,-1.607441,0.08332734,0.03894586,-1.758295,-0.07570153,-0.290718,-2.057442
-0.01610672,0.2503502,-1.607441,0.08332734,0.03894586,-1.758295,-0.07570153,-0.290718,-2.057442
-0.015532,0.251539,-1.608274,0.08238101,0.03898241,-1.757365,-0.07625919,-0.293934,-2.056659
-0.015532,0.251539,-1.608274,0.08238101,0.03898241,-1.757365,-0.07625919,-0.293934,-2.056659
-0.01758387,0.2508345,-1.609999,0.08280009,0.03898962,-1.757769,-0.07656026,-0.2967881,-2.056274
-0.01758387,0.2508345,-1.609999,0.08280009,0.03898962,-1.757769,-0.07656026,-0.2967881,-2.056274
-0.01758387,0.2508345,-1.609999,0.08280009,0.03898962,-1.757769,-0.07656026,-0.2967881,-2.056274
