Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.1221019,0.500364,-2.221699,0.2267655,0.2546915,-2.376396,0.1315832,0.2803403,-2.579583
0.1207765,0.4999917,-2.221486,0.2246581,0.2548668,-2.375699,0.1315791,0.2803456,-2.579586
0.1207765,0.4999917,-2.221486,0.2246581,0.2548668,-2.375699,0.1315791,0.2803456,-2.579586
0.1207765,0.4999917,-2.221486,0.2246581,0.2548668,-2.375699,0.1315791,0.2803456,-2.579586
0.1207765,0.4999917,-2.221486,0.2246581,0.2548668,-2.375699,0.1315791,0.2803456,-2.579586
0.1207765,0.4999917,-2.221486,0.2246581,0.2548668,-2.375699,0.1315791,0.2803456,-2.579586
0.1174983,0.4999385,-2.222114,0.223364,0.2547222,-2.375054,0.1315758,0.2803541,-2.579591
0.1174983,0.4999385,-2.222114,0.223364,0.2547222,-2.375054,0.1315758,0.2803541,-2.579591
0.1113268,0.4998255,-2.222806,0.2224494,0.2544383,-2.374537,0.1315722,0.2803659,-2.579603
0.1113268,0.4998255,-2.222806,0.2224494,0.2544383,-2.374537,0.1315722,0.2803659,-2.579603
0.1113268,0.4998255,-2.222806,0.2224494,0.2544383,-2.374537,0.1315722,0.2803659,-2.579603
0.1113268,0.4998255,-2.222806,0.2224494,0.2544383,-2.374537,0.1315722,0.2803659,-2.579603
0.09943838,0.4973394,-2.226967,0.2209416,0.2537449,-2.37358,0.1315691,0.2803782,-2.579619
0.09943838,0.4973394,-2.226967,0.2209416,0.2537449,-2.37358,0.1315691,0.2803782,-2.579619
0.07835885,0.4888619,-2.229284,0.2191817,0.2527045,-2.372441,0.1315666,0.280387,-2.579637
0.07835885,0.4888619,-2.229284,0.2191817,0.2527045,-2.372441,0.1315666,0.280387,-2.579637
0.07835885,0.4888619,-2.229284,0.2191817,0.2527045,-2.372441,0.1315666,0.280387,-2.579637
0.07835885,0.4888619,-2.229284,0.2191817,0.2527045,-2.372441,0.1315666,0.280387,-2.579637
0.05169402,0.4728438,-2.228831,0.2127673,0.2516294,-2.3698,0.1315612,0.2803994,-2.579642
0.05169402,0.4728438,-2.228831,0.2127673,0.2516294,-2.3698,0.1315612,0.2803994,-2.579642
0.05169402,0.4728438,-2.228831,0.2127673,0.2516294,-2.3698,0.1315612,0.2803994,-2.579642
0.05169402,0.4728438,-2.228831,0.2127673,0.2516294,-2.3698,0.1315612,0.2803994,-2.579642
0.01354881,0.4501741,-2.231489,0.1972295,0.2449316,-2.362687,0.1315566,0.2804059,-2.579644
0.01354881,0.4501741,-2.231489,0.1972295,0.2449316,-2.362687,0.1315566,0.2804059,-2.579644
-0.02206038,0.4228742,-2.235523,0.17756,0.2319593,-2.357558,0.1314468,0.2804402,-2.579679
-0.02206038,0.4228742,-2.235523,0.17756,0.2319593,-2.357558,0.1314468,0.2804402,-2.579679
-0.02206038,0.4228742,-2.235523,0.17756,0.2319593,-2.357558,0.1314468,0.2804402,-2.579679
-0.02206038,0.4228742,-2.235523,0.17756,0.2319593,-2.357558,0.1314468,0.2804402,-2.579679
-0.05359564,0.387294,-2.242129,0.1580425,0.2106522,-2.350283,0.1311782,0.2804771,-2.579643
-0.05359564,0.387294,-2.242129,0.1580425,0.2106522,-2.350283,0.1311782,0.2804771,-2.579643
-0.0814381,0.3239843,-2.255043,0.130706,0.1813823,-2.339691,0.1303468,0.2804924,-2.579172
-0.0814381,0.3239843,-2.255043,0.130706,0.1813823,-2.339691,0.1303468,0.2804924,-2.579172
-0.0814381,0.3239843,-2.255043,0.130706,0.1813823,-2.339691,0.1303468,0.2804924,-2.579172
-0.0814381,0.3239843,-2.255043,0.130706,0.1813823,-2.339691,0.1303468,0.2804924,-2.579172
-0.1027576,0.2733743,-2.258325,0.1159617,0.1665041,-2.338961,0.1287831,0.2805018,-2.578116
-0.1027576,0.2733743,-2.258325,0.1159617,0.1665041,-2.338961,0.1287831,0.2805018,-2.578116
-0.1373933,0.1929117,-2.274089,0.1040176,0.1431305,-2.343277,0.128443,0.2805086,-2.577919
-0.1373933,0.1929117,-2.274089,0.1040176,0.1431305,-2.343277,0.128443,0.2805086,-2.577919
-0.1373933,0.1929117,-2.274089,0.1040176,0.1431305,-2.343277,0.128443,0.2805086,-2.577919
-0.1373933,0.1929117,-2.274089,0.1040176,0.1431305,-2.343277,0.128443,0.2805086,-2.577919
-0.1340677,0.1238699,-2.288703,0.1007923,0.1204776,-2.361366,0.1284394,0.2805107,-2.577915
-0.1340677,0.1238699,-2.288703,0.1007923,0.1204776,-2.361366,0.1284394,0.2805107,-2.577915
-0.1340677,0.1238699,-2.288703,0.1007923,0.1204776,-2.361366,0.1284394,0.2805107,-2.577915
-0.1340677,0.1238699,-2.288703,0.1007923,0.1204776,-2.361366,0.1284394,0.2805107,-2.577915
-0.1340677,0.1238699,-2.288703,0.1007923,0.1204776,-2.361366,0.1284394,0.2805107,-2.577915
-0.1006686,0.03782682,-2.335722,0.1059644,0.1047207,-2.380843,0.1283836,0.2805118,-2.577876
-0.1006686,0.03782682,-2.335722,0.1059644,0.1047207,-2.380843,0.1283836,0.2805118,-2.577876
-0.0882199,0.005318955,-2.367193,0.1094841,0.09629253,-2.392705,0.1283193,0.2805102,-2.577784
-0.0882199,0.005318955,-2.367193,0.1094841,0.09629253,-2.392705,0.1283193,0.2805102,-2.577784
-0.0882199,0.005318955,-2.367193,0.1094841,0.09629253,-2.392705,0.1283193,0.2805102,-2.577784
-0.0882199,0.005318955,-2.367193,0.1094841,0.09629253,-2.392705,0.1283193,0.2805102,-2.577784
-0.08516156,0.007184678,-2.363805,0.1188981,0.08074423,-2.425936,0.1283187,0.2805098,-2.577783
-0.08516156,0.007184678,-2.363805,0.1188981,0.08074423,-2.425936,0.1283187,0.2805098,-2.577783
-0.0823541,0.007532449,-2.361838,0.1346373,0.0612908,-2.471319,0.1283198,0.2805078,-2.577787
-0.0823541,0.007532449,-2.361838,0.1346373,0.0612908,-2.471319,0.1283198,0.2805078,-2.577787
-0.0823541,0.007532449,-2.361838,0.1346373,0.0612908,-2.471319,0.1283198,0.2805078,-2.577787
-0.0823541,0.007532449,-2.361838,0.1346373,0.0612908,-2.471319,0.1283198,0.2805078,-2.577787
0.03424048,-0.1468214,-2.412741,0.1489217,0.009175736,-2.543565,0.1289487,0.2798145,-2.578126
0.03424048,-0.1468214,-2.412741,0.1489217,0.009175736,-2.543565,0.1289487,0.2798145,-2.578126
0.07313949,-0.177523,-2.412419,0.1511086,0.005043838,-2.550043,0.1291307,0.2795745,-2.578235
0.07313949,-0.177523,-2.412419,0.1511086,0.005043838,-2.550043,0.1291307,0.2795745,-2.578235
