Hand_R, , ,Shoulder_R, , 
0.1072753,0.5874677,-2.026108,0.0503665,0.3010235,-2.480374
0.1072753,0.5874677,-2.026108,0.0503665,0.3010235,-2.480374
0.1072753,0.5874677,-2.026108,0.0503665,0.3010235,-2.480374
0.1072753,0.5874677,-2.026108,0.0503665,0.3010235,-2.480374
0.1072753,0.5874677,-2.026108,0.0503665,0.3010235,-2.480374
0.1236143,0.5905105,-2.024294,0.05044698,0.3010151,-2.480705
0.1236143,0.5905105,-2.024294,0.05044698,0.3010151,-2.480705
0.1505377,0.5844637,-2.029977,0.05099636,0.299777,-2.478567
0.1505377,0.5844637,-2.029977,0.05099636,0.299777,-2.478567
0.1505377,0.5844637,-2.029977,0.05099636,0.299777,-2.478567
0.1505377,0.5844637,-2.029977,0.05099636,0.299777,-2.478567
0.1768549,0.579736,-2.034567,0.05425346,0.2991925,-2.475485
0.1768549,0.579736,-2.034567,0.05425346,0.2991925,-2.475485
0.2057653,0.5872845,-2.03555,0.05525762,0.2965391,-2.472584
0.2057653,0.5872845,-2.03555,0.05525762,0.2965391,-2.472584
0.2385711,0.579996,-2.041671,0.05465992,0.2965388,-2.472404
0.2385711,0.579996,-2.041671,0.05465992,0.2965388,-2.472404
0.2385711,0.579996,-2.041671,0.05465992,0.2965388,-2.472404
0.2385711,0.579996,-2.041671,0.05465992,0.2965388,-2.472404
0.2685115,0.5688733,-2.047772,0.05646268,0.2954424,-2.475245
0.2685115,0.5688733,-2.047772,0.05646268,0.2954424,-2.475245
0.2934053,0.5798055,-2.05574,0.05831531,0.2938814,-2.475348
0.2934053,0.5798055,-2.05574,0.05831531,0.2938814,-2.475348
0.3225958,0.5761923,-2.054184,0.05677688,0.2940554,-2.472058
0.3225958,0.5761923,-2.054184,0.05677688,0.2940554,-2.472058
0.3225958,0.5761923,-2.054184,0.05677688,0.2940554,-2.472058
0.3225958,0.5761923,-2.054184,0.05677688,0.2940554,-2.472058
0.3632205,0.5561502,-2.067966,0.05803265,0.2966724,-2.473511
0.3632205,0.5561502,-2.067966,0.05803265,0.2966724,-2.473511
0.4111367,0.5193489,-2.086512,0.05851122,0.2992526,-2.474202
0.4111367,0.5193489,-2.086512,0.05851122,0.2992526,-2.474202
0.4111367,0.5193489,-2.086512,0.05851122,0.2992526,-2.474202
0.4111367,0.5193489,-2.086512,0.05851122,0.2992526,-2.474202
0.45019,0.4820536,-2.104258,0.05926762,0.2982364,-2.475598
0.45019,0.4820536,-2.104258,0.05926762,0.2982364,-2.475598
0.4839522,0.4335115,-2.125556,0.06108587,0.2971837,-2.478058
0.4839522,0.4335115,-2.125556,0.06108587,0.2971837,-2.478058
0.4839522,0.4335115,-2.125556,0.06108587,0.2971837,-2.478058
0.4839522,0.4335115,-2.125556,0.06108587,0.2971837,-2.478058
0.4839522,0.4335115,-2.125556,0.06108587,0.2971837,-2.478058
0.5028046,0.3781066,-2.142216,0.06295348,0.3040417,-2.483034
0.5028046,0.3781066,-2.142216,0.06295348,0.3040417,-2.483034
0.5310071,0.3219108,-2.163217,0.06590741,0.304982,-2.482829
0.5310071,0.3219108,-2.163217,0.06590741,0.304982,-2.482829
0.5310071,0.3219108,-2.163217,0.06590741,0.304982,-2.482829
