Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.4234372,-0.1558869,-2.765588,0.3127726,-0.2737404,-2.618913,-0.1846168,0.03218007,-2.726083,0.348311,0.0194605,-2.627544,-0.07324897,0.3159775,-2.690624,0.2763251,0.3104336,-2.619587
-0.4234372,-0.1558869,-2.765588,0.3127726,-0.2737404,-2.618913,-0.1846168,0.03218007,-2.726083,0.348311,0.0194605,-2.627544,-0.07324897,0.3159775,-2.690624,0.2763251,0.3104336,-2.619587
-0.5165325,-0.05573993,-2.811718,0.3133757,-0.2738355,-2.620287,-0.2349975,0.07769807,-2.749565,0.3499848,0.01907099,-2.631079,-0.0723135,0.316081,-2.689893,0.277951,0.3094524,-2.61837
-0.5165325,-0.05573993,-2.811718,0.3133757,-0.2738355,-2.620287,-0.2349975,0.07769807,-2.749565,0.3499848,0.01907099,-2.631079,-0.0723135,0.316081,-2.689893,0.277951,0.3094524,-2.61837
-0.5639876,0.01354704,-2.818794,0.3136944,-0.2738939,-2.620902,-0.2686901,0.11797,-2.757495,0.350631,0.01887951,-2.632715,-0.07119895,0.3164695,-2.688685,0.2791732,0.3090061,-2.617744
-0.5639876,0.01354704,-2.818794,0.3136944,-0.2738939,-2.620902,-0.2686901,0.11797,-2.757495,0.350631,0.01887951,-2.632715,-0.07119895,0.3164695,-2.688685,0.2791732,0.3090061,-2.617744
-0.5639876,0.01354704,-2.818794,0.3136944,-0.2738939,-2.620902,-0.2686901,0.11797,-2.757495,0.350631,0.01887951,-2.632715,-0.07119895,0.3164695,-2.688685,0.2791732,0.3090061,-2.617744
-0.5639876,0.01354704,-2.818794,0.3136944,-0.2738939,-2.620902,-0.2686901,0.11797,-2.757495,0.350631,0.01887951,-2.632715,-0.07119895,0.3164695,-2.688685,0.2791732,0.3090061,-2.617744
-0.6092564,0.1047129,-2.830745,0.3139027,-0.2739097,-2.621569,-0.2986224,0.158502,-2.75642,0.3510333,0.01880098,-2.633769,-0.06999939,0.3163593,-2.686796,0.2806384,0.3079011,-2.616641
-0.6092564,0.1047129,-2.830745,0.3139027,-0.2739097,-2.621569,-0.2986224,0.158502,-2.75642,0.3510333,0.01880098,-2.633769,-0.06999939,0.3163593,-2.686796,0.2806384,0.3079011,-2.616641
-0.6423026,0.2543085,-2.812694,0.3138575,-0.2739986,-2.621621,-0.324838,0.2229648,-2.748768,0.3510993,0.01854421,-2.634066,-0.069131,0.3165659,-2.685768,0.2816969,0.3072634,-2.616089
-0.6423026,0.2543085,-2.812694,0.3138575,-0.2739986,-2.621621,-0.324838,0.2229648,-2.748768,0.3510993,0.01854421,-2.634066,-0.069131,0.3165659,-2.685768,0.2816969,0.3072634,-2.616089
-0.6423026,0.2543085,-2.812694,0.3138575,-0.2739986,-2.621621,-0.324838,0.2229648,-2.748768,0.3510993,0.01854421,-2.634066,-0.069131,0.3165659,-2.685768,0.2816969,0.3072634,-2.616089
-0.6423026,0.2543085,-2.812694,0.3138575,-0.2739986,-2.621621,-0.324838,0.2229648,-2.748768,0.3510993,0.01854421,-2.634066,-0.069131,0.3165659,-2.685768,0.2816969,0.3072634,-2.616089
-0.6504977,0.3539658,-2.791573,0.3136004,-0.2742405,-2.621766,-0.3397163,0.2896031,-2.728394,0.3510988,0.01823075,-2.634328,-0.06826826,0.3166579,-2.684457,0.2826059,0.3066746,-2.615841
-0.6504977,0.3539658,-2.791573,0.3136004,-0.2742405,-2.621766,-0.3397163,0.2896031,-2.728394,0.3510988,0.01823075,-2.634328,-0.06826826,0.3166579,-2.684457,0.2826059,0.3066746,-2.615841
-0.6536319,0.442032,-2.766807,0.3132496,-0.2744603,-2.621689,-0.3499656,0.3376855,-2.713998,0.3510612,0.01792588,-2.634604,-0.06776377,0.3169777,-2.683736,0.2830535,0.3065571,-2.615855
-0.6536319,0.442032,-2.766807,0.3132496,-0.2744603,-2.621689,-0.3499656,0.3376855,-2.713998,0.3510612,0.01792588,-2.634604,-0.06776377,0.3169777,-2.683736,0.2830535,0.3065571,-2.615855
-0.6408851,0.5163831,-2.731081,0.3130457,-0.2745281,-2.621651,-0.3495972,0.3759823,-2.698856,0.3510464,0.01781521,-2.634759,-0.06739108,0.3172078,-2.683105,0.2834005,0.3064478,-2.615897
-0.6408851,0.5163831,-2.731081,0.3130457,-0.2745281,-2.621651,-0.3495972,0.3759823,-2.698856,0.3510464,0.01781521,-2.634759,-0.06739108,0.3172078,-2.683105,0.2834005,0.3064478,-2.615897
-0.6172655,0.5946904,-2.676017,0.3128042,-0.2745752,-2.621537,-0.3459192,0.4125815,-2.679608,0.3510351,0.01770283,-2.634968,-0.06711585,0.3173289,-2.681627,0.2835619,0.306343,-2.615909
-0.6172655,0.5946904,-2.676017,0.3128042,-0.2745752,-2.621537,-0.3459192,0.4125815,-2.679608,0.3510351,0.01770283,-2.634968,-0.06711585,0.3173289,-2.681627,0.2835619,0.306343,-2.615909
-0.6172655,0.5946904,-2.676017,0.3128042,-0.2745752,-2.621537,-0.3459192,0.4125815,-2.679608,0.3510351,0.01770283,-2.634968,-0.06711585,0.3173289,-2.681627,0.2835619,0.306343,-2.615909
-0.6172655,0.5946904,-2.676017,0.3128042,-0.2745752,-2.621537,-0.3459192,0.4125815,-2.679608,0.3510351,0.01770283,-2.634968,-0.06711585,0.3173289,-2.681627,0.2835619,0.306343,-2.615909
-0.5464551,0.711412,-2.568642,0.312423,-0.2748825,-2.62138,-0.323754,0.4753669,-2.633836,0.3508079,0.01713921,-2.635558,-0.06690197,0.3173658,-2.679916,0.2838011,0.3062429,-2.616163
-0.5464551,0.711412,-2.568642,0.312423,-0.2748825,-2.62138,-0.323754,0.4753669,-2.633836,0.3508079,0.01713921,-2.635558,-0.06690197,0.3173658,-2.679916,0.2838011,0.3062429,-2.616163
-0.4948947,0.7362561,-2.512172,0.3119144,-0.2751416,-2.62133,-0.2983178,0.4963734,-2.605895,0.3504604,0.01669334,-2.636165,-0.06681503,0.3172977,-2.677427,0.2839201,0.3061659,-2.616273
-0.4948947,0.7362561,-2.512172,0.3119144,-0.2751416,-2.62133,-0.2983178,0.4963734,-2.605895,0.3504604,0.01669334,-2.636165,-0.06681503,0.3172977,-2.677427,0.2839201,0.3061659,-2.616273
-0.4948947,0.7362561,-2.512172,0.3119144,-0.2751416,-2.62133,-0.2983178,0.4963734,-2.605895,0.3504604,0.01669334,-2.636165,-0.06681503,0.3172977,-2.677427,0.2839201,0.3061659,-2.616273
-0.4948947,0.7362561,-2.512172,0.3119144,-0.2751416,-2.62133,-0.2983178,0.4963734,-2.605895,0.3504604,0.01669334,-2.636165,-0.06681503,0.3172977,-2.677427,0.2839201,0.3061659,-2.616273
-0.4487687,0.7522095,-2.456463,0.3116501,-0.2753227,-2.621274,-0.2749347,0.5105195,-2.577167,0.3501015,0.01622941,-2.636858,-0.06667292,0.3173984,-2.673594,0.2841186,0.3061226,-2.616573
