Hand_L, , ,Shoulder_L, , 
-0.6583899,-0.0601851,-2.950269,-0.2638922,0.321976,-2.678508
-0.7175843,-0.0008622566,-2.966027,-0.2634742,0.323094,-2.685671
-0.7175843,-0.0008622566,-2.966027,-0.2634742,0.323094,-2.685671
-0.7175843,-0.0008622566,-2.966027,-0.2634742,0.323094,-2.685671
-0.7175843,-0.0008622566,-2.966027,-0.2634742,0.323094,-2.685671
-0.7175843,-0.0008622566,-2.966027,-0.2634742,0.323094,-2.685671
-0.7175843,-0.0008622566,-2.966027,-0.2631806,0.3249106,-2.680036
-0.8343435,0.1583033,-2.987139,-0.2602752,0.3270248,-2.669865
-0.8343435,0.1583033,-2.987139,-0.2602752,0.3270248,-2.669865
-0.8343435,0.1583033,-2.987139,-0.2602752,0.3270248,-2.669865
-0.8343435,0.1583033,-2.987139,-0.2602752,0.3270248,-2.669865
-0.8343435,0.1583033,-2.987139,-0.2602752,0.3270248,-2.669865
-0.8705473,0.3161217,-2.920163,-0.2629277,0.325937,-2.666422
-0.8705473,0.3161217,-2.920163,-0.2629277,0.325937,-2.666422
-0.8869671,0.4386655,-2.840469,-0.2649891,0.3260445,-2.660423
-0.8869671,0.4386655,-2.840469,-0.2649891,0.3260445,-2.660423
-0.8922648,0.5363793,-2.781893,-0.2685387,0.3291049,-2.660525
-0.8922648,0.5363793,-2.781893,-0.2685387,0.3291049,-2.660525
-0.8922648,0.5363793,-2.781893,-0.2685387,0.3291049,-2.660525
-0.8922648,0.5363793,-2.781893,-0.2685387,0.3291049,-2.660525
-0.8511062,0.6463931,-2.658415,-0.2711753,0.3262066,-2.643618
-0.8511062,0.6463931,-2.658415,-0.2711753,0.3262066,-2.643618
-0.7897318,0.7298748,-2.563312,-0.2745404,0.3227858,-2.632615
-0.7897318,0.7298748,-2.563312,-0.2745404,0.3227858,-2.632615
-0.7897318,0.7298748,-2.563312,-0.2745404,0.3227858,-2.632615
-0.7897318,0.7298748,-2.563312,-0.2745404,0.3227858,-2.632615
-0.7897318,0.7298748,-2.563312,-0.2745404,0.3227858,-2.632615
-0.6989918,0.7469631,-2.480627,-0.2736167,0.3206186,-2.627945
-0.6989918,0.7469631,-2.480627,-0.2736167,0.3206186,-2.627945
-0.6356467,0.7551503,-2.400985,-0.274608,0.3203675,-2.625645
-0.6356467,0.7551503,-2.400985,-0.274608,0.3203675,-2.625645
-0.5628518,0.7486421,-2.324459,-0.2743005,0.3190579,-2.622523
-0.5628518,0.7486421,-2.324459,-0.2743005,0.3190579,-2.622523
-0.4965879,0.740759,-2.264215,-0.2727813,0.319572,-2.621283
-0.4965879,0.740759,-2.264215,-0.2727813,0.319572,-2.621283
-0.4349682,0.7216777,-2.2079,-0.2730104,0.3160626,-2.61475
-0.4349682,0.7216777,-2.2079,-0.2730104,0.3160626,-2.61475
-0.4349682,0.7216777,-2.2079,-0.2730104,0.3160626,-2.61475
-0.4349682,0.7216777,-2.2079,-0.2730104,0.3160626,-2.61475
-0.4349682,0.7216777,-2.2079,-0.2730104,0.3160626,-2.61475
-0.3573059,0.6592976,-2.130781,-0.2684697,0.3247696,-2.615268
-0.3573059,0.6592976,-2.130781,-0.2684697,0.3247696,-2.615268
-0.3032719,0.6027836,-2.07833,-0.2670486,0.3261281,-2.615422
-0.3032719,0.6027836,-2.07833,-0.2670486,0.3261281,-2.615422
-0.2620119,0.5432523,-2.044576,-0.266503,0.3182734,-2.614437
-0.2620119,0.5432523,-2.044576,-0.266503,0.3182734,-2.614437
-0.2308404,0.4832134,-2.031595,-0.2653837,0.3169965,-2.613968
-0.2308404,0.4832134,-2.031595,-0.2653837,0.3169965,-2.613968
-0.2308404,0.4832134,-2.031595,-0.2653837,0.3169965,-2.613968
-0.2308404,0.4832134,-2.031595,-0.2653837,0.3169965,-2.613968
-0.2308404,0.4832134,-2.031595,-0.2653837,0.3169965,-2.613968
-0.2093596,0.4268635,-2.021739,-0.2642665,0.3124901,-2.61289
-0.2093596,0.4268635,-2.021739,-0.2642665,0.3124901,-2.61289
-0.200608,0.3757803,-2.012204,-0.266655,0.3193376,-2.615467
-0.200608,0.3757803,-2.012204,-0.266655,0.3193376,-2.615467
-0.1823394,0.3235899,-2.003999,-0.2675021,0.3208535,-2.617937
-0.1823394,0.3235899,-2.003999,-0.2675021,0.3208535,-2.617937
-0.1823394,0.3235899,-2.003999,-0.2675021,0.3208535,-2.617937
-0.1823394,0.3235899,-2.003999,-0.2675021,0.3208535,-2.617937
-0.1823394,0.3235899,-2.003999,-0.2675021,0.3208535,-2.617937
-0.1865767,0.2994784,-1.996377,-0.2693124,0.3236475,-2.618193
-0.1865767,0.2994784,-1.996377,-0.2693124,0.3236475,-2.618193
-0.189356,0.2886789,-1.992754,-0.2666905,0.322692,-2.617404
-0.189356,0.2886789,-1.992754,-0.2666905,0.322692,-2.617404
-0.1951193,0.2897508,-1.990317,-0.2661473,0.3216581,-2.618258
