Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.1062616,-0.3233762,-2.571155,0.6355305,-0.07449789,-2.954177,-0.1172258,-0.01510465,-2.542898,0.3992036,0.07678243,-2.815787,-0.06485511,0.2957372,-2.584363,0.2853739,0.3255973,-2.672151
-0.1062616,-0.3233762,-2.571155,0.6355305,-0.07449789,-2.954177,-0.1172258,-0.01510465,-2.542898,0.3992036,0.07678243,-2.815787,-0.06485511,0.2957372,-2.584363,0.2853739,0.3255973,-2.672151
-0.1062616,-0.3233762,-2.571155,0.6355305,-0.07449789,-2.954177,-0.1172258,-0.01510465,-2.542898,0.3992036,0.07678243,-2.815787,-0.06485511,0.2957372,-2.584363,0.2853739,0.3255973,-2.672151
-0.1062616,-0.3233762,-2.571155,0.6355305,-0.07449789,-2.954177,-0.1172258,-0.01510465,-2.542898,0.3992036,0.07678243,-2.815787,-0.06485511,0.2957372,-2.584363,0.2853739,0.3255973,-2.672151
-0.1111566,-0.3231966,-2.576821,0.6776064,-0.003783206,-2.948189,-0.1219579,-0.01494831,-2.551478,0.4163271,0.1101798,-2.822568,-0.06635583,0.2951871,-2.58226,0.283707,0.326146,-2.671786
-0.1111566,-0.3231966,-2.576821,0.6776064,-0.003783206,-2.948189,-0.1219579,-0.01494831,-2.551478,0.4163271,0.1101798,-2.822568,-0.06635583,0.2951871,-2.58226,0.283707,0.326146,-2.671786
-0.1111566,-0.3231966,-2.576821,0.6776064,-0.003783206,-2.948189,-0.1219579,-0.01494831,-2.551478,0.4163271,0.1101798,-2.822568,-0.06635583,0.2951871,-2.58226,0.283707,0.326146,-2.671786
-0.1111566,-0.3231966,-2.576821,0.6776064,-0.003783206,-2.948189,-0.1219579,-0.01494831,-2.551478,0.4163271,0.1101798,-2.822568,-0.06635583,0.2951871,-2.58226,0.283707,0.326146,-2.671786
-0.1193186,-0.3256048,-2.578763,0.7049656,0.09018129,-2.923817,-0.1247277,-0.01709227,-2.556902,0.4262809,0.1481839,-2.819918,-0.06805284,0.2941758,-2.580705,0.2820475,0.3261863,-2.670872
-0.1193186,-0.3256048,-2.578763,0.7049656,0.09018129,-2.923817,-0.1247277,-0.01709227,-2.556902,0.4262809,0.1481839,-2.819918,-0.06805284,0.2941758,-2.580705,0.2820475,0.3261863,-2.670872
-0.1306258,-0.3274963,-2.573685,0.7376798,0.2288859,-2.906413,-0.1278171,-0.01889044,-2.560349,0.455996,0.2414752,-2.800173,-0.07003928,0.2933457,-2.57991,0.2798967,0.3261082,-2.66969
-0.1306258,-0.3274963,-2.573685,0.7376798,0.2288859,-2.906413,-0.1278171,-0.01889044,-2.560349,0.455996,0.2414752,-2.800173,-0.07003928,0.2933457,-2.57991,0.2798967,0.3261082,-2.66969
-0.1306258,-0.3274963,-2.573685,0.7376798,0.2288859,-2.906413,-0.1278171,-0.01889044,-2.560349,0.455996,0.2414752,-2.800173,-0.07003928,0.2933457,-2.57991,0.2798967,0.3261082,-2.66969
-0.1306258,-0.3274963,-2.573685,0.7376798,0.2288859,-2.906413,-0.1278171,-0.01889044,-2.560349,0.455996,0.2414752,-2.800173,-0.07003928,0.2933457,-2.57991,0.2798967,0.3261082,-2.66969
-0.1387218,-0.3260109,-2.559737,0.7772943,0.3347264,-2.901393,-0.1295258,-0.01946914,-2.561229,0.4911901,0.3019021,-2.789917,-0.07121798,0.29349,-2.580051,0.2787064,0.3262869,-2.66966
-0.1387218,-0.3260109,-2.559737,0.7772943,0.3347264,-2.901393,-0.1295258,-0.01946914,-2.561229,0.4911901,0.3019021,-2.789917,-0.07121798,0.29349,-2.580051,0.2787064,0.3262869,-2.66966
-0.1387218,-0.3260109,-2.559737,0.805953,0.4410537,-2.878221,-0.1305725,-0.01961812,-2.561149,0.518007,0.3497534,-2.777043,-0.07225508,0.2935617,-2.580201,0.2776104,0.3266176,-2.669487
-0.1469819,-0.322158,-2.539168,0.805953,0.4410537,-2.878221,-0.1305725,-0.01961812,-2.561149,0.518007,0.3497534,-2.777043,-0.07225508,0.2935617,-2.580201,0.2776104,0.3266176,-2.669487
-0.1469819,-0.322158,-2.539168,0.805953,0.4410537,-2.878221,-0.1305725,-0.01961812,-2.561149,0.518007,0.3497534,-2.777043,-0.07225508,0.2935617,-2.580201,0.2776104,0.3266176,-2.669487
-0.1513415,-0.3179083,-2.517286,0.8128526,0.5366516,-2.839597,-0.1317225,-0.01979467,-2.560588,0.5350738,0.4020779,-2.750453,-0.07315201,0.2934039,-2.580408,0.2767512,0.3267703,-2.668969
-0.1513415,-0.3179083,-2.517286,0.8128526,0.5366516,-2.839597,-0.1317225,-0.01979467,-2.560588,0.5350738,0.4020779,-2.750453,-0.07315201,0.2934039,-2.580408,0.2767512,0.3267703,-2.668969
-0.1513415,-0.3179083,-2.517286,0.8128526,0.5366516,-2.839597,-0.1317225,-0.01979467,-2.560588,0.5350738,0.4020779,-2.750453,-0.07315201,0.2934039,-2.580408,0.2767512,0.3267703,-2.668969
-0.1513415,-0.3179083,-2.517286,0.8128526,0.5366516,-2.839597,-0.1317225,-0.01979467,-2.560588,0.5350738,0.4020779,-2.750453,-0.07315201,0.2934039,-2.580408,0.2767512,0.3267703,-2.668969
-0.1530884,-0.3155014,-2.500567,0.7998384,0.6188406,-2.78056,-0.1323137,-0.02013448,-2.559974,0.5336285,0.4389971,-2.728307,-0.07416832,0.2931575,-2.581131,0.2760123,0.3267436,-2.668032
-0.1530884,-0.3155014,-2.500567,0.7998384,0.6188406,-2.78056,-0.1323137,-0.02013448,-2.559974,0.5336285,0.4389971,-2.728307,-0.07416832,0.2931575,-2.581131,0.2760123,0.3267436,-2.668032
-0.1496592,-0.3049093,-2.466955,0.7517973,0.7404548,-2.645013,-0.132701,-0.02023353,-2.55938,0.5186152,0.5041397,-2.671955,-0.07535509,0.2926657,-2.582622,0.2753957,0.3265635,-2.666841
-0.1496592,-0.3049093,-2.466955,0.7517973,0.7404548,-2.645013,-0.132701,-0.02023353,-2.55938,0.5186152,0.5041397,-2.671955,-0.07535509,0.2926657,-2.582622,0.2753957,0.3265635,-2.666841
-0.1496592,-0.3049093,-2.466955,0.7517973,0.7404548,-2.645013,-0.132701,-0.02023353,-2.55938,0.5186152,0.5041397,-2.671955,-0.07535509,0.2926657,-2.582622,0.2753957,0.3265635,-2.666841
-0.1496592,-0.3049093,-2.466955,0.7517973,0.7404548,-2.645013,-0.132701,-0.02023353,-2.55938,0.5186152,0.5041397,-2.671955,-0.07535509,0.2926657,-2.582622,0.2753957,0.3265635,-2.666841
