Hand_R, , ,Shoulder_R, , 
0.3521573,-0.2214582,-2.729578,0.05373491,0.3102507,-2.651475
0.3521573,-0.2214582,-2.729578,0.05373491,0.3102507,-2.651475
0.4019868,-0.1822261,-2.7525,0.05057819,0.3085131,-2.648287
0.4019868,-0.1822261,-2.7525,0.05057819,0.3085131,-2.648287
0.4660956,-0.1228467,-2.790323,0.04990273,0.3089333,-2.642406
0.4660956,-0.1228467,-2.790323,0.04990273,0.3089333,-2.642406
0.4660956,-0.1228467,-2.790323,0.04990273,0.3089333,-2.642406
0.4660956,-0.1228467,-2.790323,0.04990273,0.3089333,-2.642406
0.5481439,-0.02465581,-2.828229,0.04572989,0.3098648,-2.647874
0.5481439,-0.02465581,-2.828229,0.04572989,0.3098648,-2.647874
0.5990641,0.06119534,-2.826768,0.04666165,0.3196252,-2.649282
0.5990641,0.06119534,-2.826768,0.04666165,0.3196252,-2.649282
0.637262,0.1558324,-2.837889,0.04891564,0.3148184,-2.645195
0.637262,0.1558324,-2.837889,0.04891564,0.3148184,-2.645195
0.637262,0.1558324,-2.837889,0.04891564,0.3148184,-2.645195
0.637262,0.1558324,-2.837889,0.04891564,0.3148184,-2.645195
0.6550503,0.2952503,-2.810741,0.04752245,0.3150404,-2.649192
0.6550503,0.2952503,-2.810741,0.04752245,0.3150404,-2.649192
0.6568598,0.4062695,-2.781962,0.04773002,0.3149144,-2.648792
0.6568598,0.4062695,-2.781962,0.04773002,0.3149144,-2.648792
0.6565536,0.4978729,-2.752203,0.048993,0.3199009,-2.649636
0.6565536,0.4978729,-2.752203,0.048993,0.3199009,-2.649636
0.6344093,0.570224,-2.707916,0.051284,0.3203821,-2.647633
0.6344093,0.570224,-2.707916,0.051284,0.3203821,-2.647633
0.6059799,0.63941,-2.647801,0.05559195,0.3172904,-2.638551
0.6059799,0.63941,-2.647801,0.05559195,0.3172904,-2.638551
0.6059799,0.63941,-2.647801,0.05559195,0.3172904,-2.638551
0.6059799,0.63941,-2.647801,0.05559195,0.3172904,-2.638551
0.5369877,0.7328685,-2.551738,0.05886417,0.3173928,-2.63453
0.5369877,0.7328685,-2.551738,0.05886417,0.3173928,-2.63453
0.4652655,0.7533511,-2.479342,0.06136136,0.3134513,-2.625073
0.4652655,0.7533511,-2.479342,0.06136136,0.3134513,-2.625073
0.4652655,0.7533511,-2.479342,0.06136136,0.3134513,-2.625073
0.4652655,0.7533511,-2.479342,0.06136136,0.3134513,-2.625073
0.4155672,0.7639758,-2.418435,0.06130501,0.3144633,-2.61715
0.4155672,0.7639758,-2.418435,0.06130501,0.3144633,-2.61715
0.3725872,0.7664669,-2.357276,0.0600999,0.3169109,-2.615925
0.3725872,0.7664669,-2.357276,0.0600999,0.3169109,-2.615925
0.3192696,0.7531207,-2.291252,0.06123899,0.3111402,-2.608559
0.3192696,0.7531207,-2.291252,0.06123899,0.3111402,-2.608559
0.3192696,0.7531207,-2.291252,0.06123899,0.3111402,-2.608559
0.2404568,0.723821,-2.203104,0.06284994,0.3051332,-2.601095
0.2404568,0.723821,-2.203104,0.06284994,0.3051332,-2.601095
0.2404568,0.723821,-2.203104,0.06284994,0.3051332,-2.601095
0.2404568,0.723821,-2.203104,0.06284994,0.3051332,-2.601095
0.1842921,0.688644,-2.147055,0.06131934,0.3059993,-2.594377
0.1842921,0.688644,-2.147055,0.06131934,0.3059993,-2.594377
0.1405726,0.6489072,-2.106988,0.05943723,0.3033174,-2.589911
0.1405726,0.6489072,-2.106988,0.05943723,0.3033174,-2.589911
0.1079313,0.6143558,-2.071972,0.05672849,0.3046515,-2.590811
0.1079313,0.6143558,-2.071972,0.05672849,0.3046515,-2.590811
0.1079313,0.6143558,-2.071972,0.05672849,0.3046515,-2.590811
0.1079313,0.6143558,-2.071972,0.05672849,0.3046515,-2.590811
0.05979952,0.5613779,-2.002631,0.05600311,0.2980552,-2.582603
0.05979952,0.5613779,-2.002631,0.05600311,0.2980552,-2.582603
0.02454503,0.5119579,-1.965426,0.05044231,0.3109457,-2.583136
0.02454503,0.5119579,-1.965426,0.05044231,0.3109457,-2.583136
0.0003194412,0.4588662,-1.939309,0.05434333,0.3214744,-2.575279
0.0003194412,0.4588662,-1.939309,0.05434333,0.3214744,-2.575279
0.0003194412,0.4588662,-1.939309,0.05434333,0.3214744,-2.575279
0.0003194412,0.4588662,-1.939309,0.05434333,0.3214744,-2.575279
-0.007109284,0.4085428,-1.919587,0.05702862,0.3190094,-2.576952
-0.007109284,0.4085428,-1.919587,0.05702862,0.3190094,-2.576952
-0.007109284,0.4085428,-1.919587,0.05702862,0.3190094,-2.576952
-0.007109284,0.4085428,-1.919587,0.05702862,0.3190094,-2.576952
-0.01625411,0.3598783,-1.91785,0.06063285,0.3129384,-2.579913
-0.01625411,0.3598783,-1.91785,0.06063285,0.3129384,-2.579913
-0.01087718,0.3171654,-1.936987,0.06201273,0.3094355,-2.583073
-0.01087718,0.3171654,-1.936987,0.06201273,0.3094355,-2.583073
-0.009166039,0.2799979,-1.939429,0.06181291,0.3064449,-2.584945
-0.009166039,0.2799979,-1.939429,0.06181291,0.3064449,-2.584945
-0.009166039,0.2799979,-1.939429,0.06181291,0.3064449,-2.584945
-0.009166039,0.2799979,-1.939429,0.06181291,0.3064449,-2.584945
-0.00990227,0.2470182,-1.94277,0.05716659,0.3097243,-2.584323
-0.00990227,0.2470182,-1.94277,0.05716659,0.3097243,-2.584323
-2.886465E-05,0.229563,-1.931472,0.05454372,0.3122232,-2.579801
-2.886465E-05,0.229563,-1.931472,0.05454372,0.3122232,-2.579801
-9.296057E-05,0.2237893,-1.933154,0.04761387,0.3122986,-2.572022
-9.296057E-05,0.2237893,-1.933154,0.04761387,0.3122986,-2.572022
-0.005885819,0.2314717,-1.932646,0.04721956,0.3129483,-2.569195
-0.005885819,0.2314717,-1.932646,0.04721956,0.3129483,-2.569195
-0.005885819,0.2314717,-1.932646,0.04721956,0.3129483,-2.569195
-0.005885819,0.2314717,-1.932646,0.04721956,0.3129483,-2.569195
