Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.05444704,0.01055724,-2.127555,0.1667968,0.3675907,-2.044046,-0.09024771,0.1080974,-2.433503,0.2207538,0.29173,-2.350206,-0.05208973,0.2981839,-2.592717,0.2078766,0.2993657,-2.622662
-0.05689583,0.07089046,-2.123688,0.1724083,0.3167705,-2.038983,-0.09023336,0.1081085,-2.433342,0.2202043,0.2878994,-2.348835,-0.05202934,0.2982245,-2.592845,0.2075386,0.2995265,-2.621826
-0.05689583,0.07089046,-2.123688,0.1724083,0.3167705,-2.038983,-0.09023336,0.1081085,-2.433342,0.2202043,0.2878994,-2.348835,-0.05202934,0.2982245,-2.592845,0.2075386,0.2995265,-2.621826
-0.05689583,0.07089046,-2.123688,0.1724083,0.3167705,-2.038983,-0.09023336,0.1081085,-2.433342,0.2202043,0.2878994,-2.348835,-0.05202934,0.2982245,-2.592845,0.2075386,0.2995265,-2.621826
-0.05689583,0.07089046,-2.123688,0.1724083,0.3167705,-2.038983,-0.09023336,0.1081085,-2.433342,0.2202043,0.2878994,-2.348835,-0.05202934,0.2982245,-2.592845,0.2075386,0.2995265,-2.621826
-0.0550623,0.1467189,-2.052449,0.1704135,0.2842022,-2.040468,-0.09278423,0.1269575,-2.422658,0.2195386,0.2842158,-2.348076,-0.05201528,0.2982477,-2.592882,0.2072985,0.2997803,-2.621248
-0.0550623,0.1467189,-2.052449,0.1704135,0.2842022,-2.040468,-0.09278423,0.1269575,-2.422658,0.2195386,0.2842158,-2.348076,-0.05201528,0.2982477,-2.592882,0.2072985,0.2997803,-2.621248
-0.0550623,0.1467189,-2.052449,0.1704135,0.2842022,-2.040468,-0.09278423,0.1269575,-2.422658,0.2195386,0.2842158,-2.348076,-0.05201528,0.2982477,-2.592882,0.2072985,0.2997803,-2.621248
-0.05008754,0.1916839,-2.0262,0.1707413,0.2501639,-2.03964,-0.09238185,0.1345471,-2.419628,0.2192925,0.2811652,-2.347203,-0.05200486,0.298247,-2.593002,0.2068372,0.2999199,-2.619831
-0.05008754,0.1916839,-2.0262,0.1707413,0.2501639,-2.03964,-0.09238185,0.1345471,-2.419628,0.2192925,0.2811652,-2.347203,-0.05200486,0.298247,-2.593002,0.2068372,0.2999199,-2.619831
-0.05008754,0.1916839,-2.0262,0.1707413,0.2501639,-2.03964,-0.09238185,0.1345471,-2.419628,0.2192925,0.2811652,-2.347203,-0.05200486,0.298247,-2.593002,0.2068372,0.2999199,-2.619831
-0.05008754,0.1916839,-2.0262,0.1707413,0.2501639,-2.03964,-0.09238185,0.1345471,-2.419628,0.2192925,0.2811652,-2.347203,-0.05200486,0.298247,-2.593002,0.2068372,0.2999199,-2.619831
-0.0498457,0.2516044,-2.01573,0.1717882,0.2065681,-2.041985,-0.09264082,0.1570556,-2.403738,0.2122829,0.1462245,-2.41922,-0.05208791,0.2982233,-2.593065,0.2065275,0.3000188,-2.618239
-0.0498457,0.2516044,-2.01573,0.1717882,0.2065681,-2.041985,-0.09264082,0.1570556,-2.403738,0.2122829,0.1462245,-2.41922,-0.05208791,0.2982233,-2.593065,0.2065275,0.3000188,-2.618239
-0.0457574,0.2959062,-2.013987,0.1723324,0.1655274,-2.062334,-0.09465089,0.1784377,-2.386938,0.211665,0.1391784,-2.423148,-0.05211632,0.2982279,-2.59309,0.2063741,0.300209,-2.617424
-0.0457574,0.2959062,-2.013987,0.1723324,0.1655274,-2.062334,-0.09465089,0.1784377,-2.386938,0.211665,0.1391784,-2.423148,-0.05211632,0.2982279,-2.59309,0.2063741,0.300209,-2.617424
-0.0457574,0.2959062,-2.013987,0.1723324,0.1655274,-2.062334,-0.09465089,0.1784377,-2.386938,0.211665,0.1391784,-2.423148,-0.05211632,0.2982279,-2.59309,0.2063741,0.300209,-2.617424
-0.0457574,0.2959062,-2.013987,0.1723324,0.1655274,-2.062334,-0.09465089,0.1784377,-2.386938,0.211665,0.1391784,-2.423148,-0.05211632,0.2982279,-2.59309,0.2063741,0.300209,-2.617424
-0.04195698,0.3299496,-2.021674,0.1702675,0.1369964,-2.080396,-0.0971372,0.2081553,-2.36367,0.2109886,0.1349558,-2.427846,-0.05225926,0.2982546,-2.592978,0.2063096,0.3003744,-2.617348
-0.04195698,0.3299496,-2.021674,0.1702675,0.1369964,-2.080396,-0.0971372,0.2081553,-2.36367,0.2109886,0.1349558,-2.427846,-0.05225926,0.2982546,-2.592978,0.2063096,0.3003744,-2.617348
-0.04195698,0.3299496,-2.021674,0.1702675,0.1369964,-2.080396,-0.0971372,0.2081553,-2.36367,0.2109886,0.1349558,-2.427846,-0.05225926,0.2982546,-2.592978,0.2063096,0.3003744,-2.617348
-0.04195698,0.3299496,-2.021674,0.1702675,0.1369964,-2.080396,-0.0971372,0.2081553,-2.36367,0.2109886,0.1349558,-2.427846,-0.05225926,0.2982546,-2.592978,0.2063096,0.3003744,-2.617348
-0.04555549,0.37203,-2.033328,0.1667154,0.1091306,-2.094387,-0.09917941,0.2278541,-2.352617,0.2105911,0.1327457,-2.430066,-0.05232944,0.2982917,-2.592956,0.2062548,0.30057,-2.617244
-0.04555549,0.37203,-2.033328,0.1667154,0.1091306,-2.094387,-0.09917941,0.2278541,-2.352617,0.2105911,0.1327457,-2.430066,-0.05232944,0.2982917,-2.592956,0.2062548,0.30057,-2.617244
-0.04173705,0.3978334,-2.04741,0.1655067,0.08169457,-2.105725,-0.1027059,0.2556925,-2.346661,0.2103739,0.1314812,-2.430982,-0.05238771,0.2983341,-2.592969,0.2062147,0.3007837,-2.617038
-0.04173705,0.3978334,-2.04741,0.1655067,0.08169457,-2.105725,-0.1027059,0.2556925,-2.346661,0.2103739,0.1314812,-2.430982,-0.05238771,0.2983341,-2.592969,0.2062147,0.3007837,-2.617038
-0.04173705,0.3978334,-2.04741,0.1655067,0.08169457,-2.105725,-0.1027059,0.2556925,-2.346661,0.2103739,0.1314812,-2.430982,-0.05238771,0.2983341,-2.592969,0.2062147,0.3007837,-2.617038
-0.04173705,0.3978334,-2.04741,0.1655067,0.08169457,-2.105725,-0.1027059,0.2556925,-2.346661,0.2103739,0.1314812,-2.430982,-0.05238771,0.2983341,-2.592969,0.2062147,0.3007837,-2.617038
-0.03621335,0.4420387,-2.043321,0.1639181,0.04857721,-2.123114,-0.1047081,0.2793825,-2.344306,0.2102067,0.1304533,-2.431518,-0.05255503,0.2984987,-2.593081,0.2061816,0.3009658,-2.616788
-0.03621335,0.4420387,-2.043321,0.1639181,0.04857721,-2.123114,-0.1047081,0.2793825,-2.344306,0.2102067,0.1304533,-2.431518,-0.05255503,0.2984987,-2.593081,0.2061816,0.3009658,-2.616788
-0.03525474,0.4570721,-2.049196,0.162155,0.03560852,-2.127064,-0.1062946,0.2939177,-2.344488,0.210052,0.129861,-2.431629,-0.05285517,0.2988536,-2.593359,0.2061625,0.3011841,-2.616543
-0.03525474,0.4570721,-2.049196,0.162155,0.03560852,-2.127064,-0.1062946,0.2939177,-2.344488,0.210052,0.129861,-2.431629,-0.05285517,0.2988536,-2.593359,0.2061625,0.3011841,-2.616543
