Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.1344081,0.1292652,-2.210057,0.04849914,0.1750839,-2.125999,-0.1846988,0.2884257,-2.614305,0.06721526,0.2760175,-2.616983
-0.1344081,0.1292652,-2.210057,0.04849914,0.1750839,-2.125999,-0.1846988,0.2884257,-2.614305,0.06721526,0.2760175,-2.616983
-0.1344081,0.1292652,-2.210057,0.04849914,0.1750839,-2.125999,-0.1846988,0.2884257,-2.614305,0.06721526,0.2760175,-2.616983
-0.1170214,0.1223602,-2.213644,0.08497752,0.1087757,-2.051723,-0.1860784,0.2959132,-2.615807,0.06688007,0.2847799,-2.607861
-0.1170214,0.1223602,-2.213644,0.08497752,0.1087757,-2.051723,-0.1860784,0.2959132,-2.615807,0.06688007,0.2847799,-2.607861
-0.1170214,0.1223602,-2.213644,0.08497752,0.1087757,-2.051723,-0.1860784,0.2959132,-2.615807,0.06688007,0.2847799,-2.607861
-0.1170214,0.1223602,-2.213644,0.08497752,0.1087757,-2.051723,-0.1860784,0.2959132,-2.615807,0.06688007,0.2847799,-2.607861
-0.1803297,0.3338331,-2.08316,0.0907489,0.05141207,-2.075511,-0.1899276,0.3065195,-2.621677,0.05931928,0.2969206,-2.593995
-0.1803297,0.3338331,-2.08316,0.0907489,0.05141207,-2.075511,-0.1899276,0.3065195,-2.621677,0.05931928,0.2969206,-2.593995
-0.1871791,0.3807578,-2.074304,0.09131674,0.02469091,-2.101906,-0.1974102,0.3073977,-2.6217,0.05947763,0.3018665,-2.585638
-0.1871791,0.3807578,-2.074304,0.09131674,0.02469091,-2.101906,-0.1974102,0.3073977,-2.6217,0.05947763,0.3018665,-2.585638
-0.1871791,0.3807578,-2.074304,0.09131674,0.02469091,-2.101906,-0.1974102,0.3073977,-2.6217,0.05947763,0.3018665,-2.585638
-0.1871791,0.3807578,-2.074304,0.09131674,0.02469091,-2.101906,-0.1974102,0.3073977,-2.6217,0.05947763,0.3018665,-2.585638
-0.1498798,0.350236,-2.101297,0.09159696,0.007181296,-2.103672,-0.2035396,0.3111025,-2.606364,0.06067042,0.3051388,-2.572562
-0.1498798,0.350236,-2.101297,0.09159696,0.007181296,-2.103672,-0.2035396,0.3111025,-2.606364,0.06067042,0.3051388,-2.572562
-0.1498798,0.350236,-2.101297,0.09159696,0.007181296,-2.103672,-0.2035396,0.3111025,-2.606364,0.06067042,0.3051388,-2.572562
-0.1498798,0.350236,-2.101297,0.09159696,0.007181296,-2.103672,-0.2035396,0.3111025,-2.606364,0.06067042,0.3051388,-2.572562
-0.1482047,0.3606304,-2.099023,0.08509236,-0.03532154,-2.135655,-0.2084129,0.3117483,-2.602576,0.06068975,0.3056394,-2.564188
-0.1482047,0.3606304,-2.099023,0.08509236,-0.03532154,-2.135655,-0.2084129,0.3117483,-2.602576,0.06068975,0.3056394,-2.564188
-0.1551921,0.3805092,-2.103864,0.07704567,-0.05201833,-2.156849,-0.2130061,0.311263,-2.603687,0.05879278,0.3059967,-2.561169
-0.1551921,0.3805092,-2.103864,0.07704567,-0.05201833,-2.156849,-0.2130061,0.311263,-2.603687,0.05879278,0.3059967,-2.561169
-0.1792681,0.4390503,-2.065431,0.0728682,-0.06000438,-2.154137,-0.2173042,0.3107259,-2.601168,0.05817351,0.3071722,-2.559723
-0.1792681,0.4390503,-2.065431,0.0728682,-0.06000438,-2.154137,-0.2173042,0.3107259,-2.601168,0.05817351,0.3071722,-2.559723
-0.1532103,0.4001181,-2.135517,0.06549669,-0.06331456,-2.161483,-0.2123802,0.3079585,-2.587316,0.05799608,0.3064658,-2.555769
-0.1532103,0.4001181,-2.135517,0.06549669,-0.06331456,-2.161483,-0.2123802,0.3079585,-2.587316,0.05799608,0.3064658,-2.555769
-0.1532103,0.4001181,-2.135517,0.06549669,-0.06331456,-2.161483,-0.2123802,0.3079585,-2.587316,0.05799608,0.3064658,-2.555769
-0.1532103,0.4001181,-2.135517,0.06549669,-0.06331456,-2.161483,-0.2123802,0.3079585,-2.587316,0.05799608,0.3064658,-2.555769
