Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.08304832,0.09801197,-2.050415,0.1552787,0.09456258,-2.185667,-0.037739,0.05687909,-2.611904,0.1933801,0.1377752,-2.411544,-0.05872271,0.2966672,-2.603259,0.2005068,0.3007001,-2.60771
-0.08304832,0.09801197,-2.050415,0.1552787,0.09456258,-2.185667,-0.037739,0.05687909,-2.611904,0.1933801,0.1377752,-2.411544,-0.05872271,0.2966672,-2.603259,0.2005068,0.3007001,-2.60771
-0.08304832,0.09801197,-2.050415,0.1552787,0.09456258,-2.185667,-0.037739,0.05687909,-2.611904,0.1933801,0.1377752,-2.411544,-0.05872271,0.2966672,-2.603259,0.2005068,0.3007001,-2.60771
-0.08422139,0.05340561,-2.075889,0.1551419,0.09472768,-2.185964,-0.03867206,0.05320101,-2.609338,0.1947452,0.1443822,-2.411527,-0.05832881,0.2943004,-2.600744,0.2012722,0.299569,-2.608087
-0.08422139,0.05340561,-2.075889,0.1551419,0.09472768,-2.185964,-0.03867206,0.05320101,-2.609338,0.1947452,0.1443822,-2.411527,-0.05832881,0.2943004,-2.600744,0.2012722,0.299569,-2.608087
-0.08367865,0.02122772,-2.091485,0.1416991,0.3750313,-2.017257,-0.08348896,0.07479594,-2.457674,0.2098622,0.2787525,-2.361713,-0.05830566,0.2939688,-2.600354,0.2014883,0.2992708,-2.608248
-0.08367865,0.02122772,-2.091485,0.1416991,0.3750313,-2.017257,-0.08348896,0.07479594,-2.457674,0.2098622,0.2787525,-2.361713,-0.05830566,0.2939688,-2.600354,0.2014883,0.2992708,-2.608248
-0.08367865,0.02122772,-2.091485,0.1416991,0.3750313,-2.017257,-0.08348896,0.07479594,-2.457674,0.2098622,0.2787525,-2.361713,-0.05830566,0.2939688,-2.600354,0.2014883,0.2992708,-2.608248
-0.08367865,0.02122772,-2.091485,0.1416991,0.3750313,-2.017257,-0.08348896,0.07479594,-2.457674,0.2098622,0.2787525,-2.361713,-0.05830566,0.2939688,-2.600354,0.2014883,0.2992708,-2.608248
-0.08276924,-0.0003369553,-2.108952,0.1341094,0.3672106,-2.034374,-0.08488715,0.07443047,-2.449892,0.2103701,0.2822905,-2.358312,-0.05814193,0.2940222,-2.599628,0.2015237,0.2992793,-2.608284
-0.08276924,-0.0003369553,-2.108952,0.1341094,0.3672106,-2.034374,-0.08488715,0.07443047,-2.449892,0.2103701,0.2822905,-2.358312,-0.05814193,0.2940222,-2.599628,0.2015237,0.2992793,-2.608284
-0.07927082,-0.03469008,-2.147057,0.1324685,0.3652509,-2.03952,-0.08547184,0.07427366,-2.446742,0.2106605,0.283589,-2.355782,-0.05803331,0.2939726,-2.598779,0.2015681,0.2992806,-2.60831
-0.07927082,-0.03469008,-2.147057,0.1324685,0.3652509,-2.03952,-0.08547184,0.07427366,-2.446742,0.2106605,0.283589,-2.355782,-0.05803331,0.2939726,-2.598779,0.2015681,0.2992806,-2.60831
-0.07927082,-0.03469008,-2.147057,0.1324685,0.3652509,-2.03952,-0.08547184,0.07427366,-2.446742,0.2106605,0.283589,-2.355782,-0.05803331,0.2939726,-2.598779,0.2015681,0.2992806,-2.60831
-0.07927082,-0.03469008,-2.147057,0.1324685,0.3652509,-2.03952,-0.08547184,0.07427366,-2.446742,0.2106605,0.283589,-2.355782,-0.05803331,0.2939726,-2.598779,0.2015681,0.2992806,-2.60831
-0.07667564,-0.04929447,-2.162046,0.1331601,0.3603541,-2.079244,-0.08570519,0.07398151,-2.446296,0.2117887,0.2876355,-2.355737,-0.05789354,0.2941003,-2.597771,0.2016157,0.2993129,-2.608333
-0.07667564,-0.04929447,-2.162046,0.1331601,0.3603541,-2.079244,-0.08570519,0.07398151,-2.446296,0.2117887,0.2876355,-2.355737,-0.05789354,0.2941003,-2.597771,0.2016157,0.2993129,-2.608333
-0.07475217,-0.0585514,-2.169569,0.1420123,0.3914177,-2.063779,-0.08579069,0.07379727,-2.44616,0.2138115,0.2959915,-2.349092,-0.05776894,0.2942878,-2.596977,0.2017072,0.2993755,-2.608347
-0.07475217,-0.0585514,-2.169569,0.1420123,0.3914177,-2.063779,-0.08579069,0.07379727,-2.44616,0.2138115,0.2959915,-2.349092,-0.05776894,0.2942878,-2.596977,0.2017072,0.2993755,-2.608347
-0.07475217,-0.0585514,-2.169569,0.1420123,0.3914177,-2.063779,-0.08579069,0.07379727,-2.44616,0.2138115,0.2959915,-2.349092,-0.05776894,0.2942878,-2.596977,0.2017072,0.2993755,-2.608347
-0.07475217,-0.0585514,-2.169569,0.1420123,0.3914177,-2.063779,-0.08579069,0.07379727,-2.44616,0.2138115,0.2959915,-2.349092,-0.05776894,0.2942878,-2.596977,0.2017072,0.2993755,-2.608347
-0.07475217,-0.0585514,-2.169569,0.1420123,0.3914177,-2.063779,-0.08579069,0.07379727,-2.44616,0.2138115,0.2959915,-2.349092,-0.05776894,0.2942878,-2.596977,0.2017072,0.2993755,-2.608347
-0.07343104,-0.06862569,-2.178635,0.1465421,0.4069758,-2.050439,-0.08579569,0.07372935,-2.446136,0.214682,0.3007671,-2.34564,-0.05769832,0.2944102,-2.596631,0.2018159,0.299443,-2.60832
-0.07343104,-0.06862569,-2.178635,0.1465421,0.4069758,-2.050439,-0.08579569,0.07372935,-2.446136,0.214682,0.3007671,-2.34564,-0.05769832,0.2944102,-2.596631,0.2018159,0.299443,-2.60832
