Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.1969029,0.3906676,-2.084674,0.07547326,-0.08468621,-2.236282,-0.2094013,0.3064148,-2.589511,0.05655275,0.304434,-2.573226
-0.2060766,0.3731503,-2.122029,0.07603931,-0.08385198,-2.252434,-0.204979,0.3091299,-2.58059,0.0569993,0.3064231,-2.572444
-0.2060766,0.3731503,-2.122029,0.07603931,-0.08385198,-2.252434,-0.204979,0.3091299,-2.58059,0.0569993,0.3064231,-2.572444
-0.2060766,0.3731503,-2.122029,0.07603931,-0.08385198,-2.252434,-0.204979,0.3091299,-2.58059,0.0569993,0.3064231,-2.572444
-0.2060766,0.3731503,-2.122029,0.07603931,-0.08385198,-2.252434,-0.204979,0.3091299,-2.58059,0.0569993,0.3064231,-2.572444
-0.1663643,0.3228267,-2.200157,0.07403368,-0.08042306,-2.256102,-0.1919992,0.3028854,-2.556709,0.05692353,0.3033753,-2.573364
-0.1663643,0.3228267,-2.200157,0.07403368,-0.08042306,-2.256102,-0.1919992,0.3028854,-2.556709,0.05692353,0.3033753,-2.573364
-0.2004244,0.3381879,-2.141556,0.07060019,-0.07837777,-2.25288,-0.1839533,0.300766,-2.545154,0.05544327,0.3003584,-2.56771
-0.2004244,0.3381879,-2.141556,0.07060019,-0.07837777,-2.25288,-0.1839533,0.300766,-2.545154,0.05544327,0.3003584,-2.56771
-0.2004244,0.3381879,-2.141556,0.07060019,-0.07837777,-2.25288,-0.1839533,0.300766,-2.545154,0.05372427,0.2981332,-2.566194
-0.206364,0.3240785,-2.13904,0.0754993,-0.03818566,-2.258121,-0.1750812,0.2984362,-2.540199,0.05372427,0.2981332,-2.566194
-0.206364,0.3240785,-2.13904,0.0754993,-0.03818566,-2.258121,-0.1750812,0.2984362,-2.540199,0.05372427,0.2981332,-2.566194
-0.206364,0.3240785,-2.13904,0.0754993,-0.03818566,-2.258121,-0.1750812,0.2984362,-2.540199,0.05372427,0.2981332,-2.566194
-0.206364,0.3240785,-2.13904,0.0754993,-0.03818566,-2.258121,-0.1750812,0.2984362,-2.540199,0.05372427,0.2981332,-2.566194
-0.1523755,0.3181007,-2.243809,0.0737,0.002937705,-2.250493,-0.159272,0.2420984,-2.560294,0.02765391,0.2434908,-2.585114
-0.1523755,0.3181007,-2.243809,0.0737,0.002937705,-2.250493,-0.159272,0.2420984,-2.560294,0.02765391,0.2434908,-2.585114
-0.1298946,0.3144653,-2.271952,0.09672997,0.1461757,-2.205733,-0.1525994,0.2420525,-2.569926,0.03352204,0.2372745,-2.576258
-0.1298946,0.3144653,-2.271952,0.09672997,0.1461757,-2.205733,-0.1525994,0.2420525,-2.569926,0.03352204,0.2372745,-2.576258
-0.1969353,0.2656313,-2.205109,0.07417393,0.04694444,-2.229858,-0.154191,0.2529421,-2.579812,0.03285193,0.2466932,-2.577005
-0.1969353,0.2656313,-2.205109,0.07417393,0.04694444,-2.229858,-0.154191,0.2529421,-2.579812,0.03285193,0.2466932,-2.577005
-0.1182945,0.2968535,-2.281948,0.05827238,0.03819529,-2.246149,-0.1520259,0.2639049,-2.586534,0.03377225,0.2555687,-2.575516
-0.1182945,0.2968535,-2.281948,0.05827238,0.03819529,-2.246149,-0.1520259,0.2639049,-2.586534,0.03377225,0.2555687,-2.575516
-0.1182945,0.2968535,-2.281948,0.05827238,0.03819529,-2.246149,-0.1520259,0.2639049,-2.586534,0.03377225,0.2555687,-2.575516
