Hand_L, , ,Hand_R, , 
-0.250909,-0.07595245,-1.232835,0.1469165,0.1921487,-1.313332
-0.227005,-0.180673,-1.258046,0.1337992,0.2372378,-1.34539
-0.227005,-0.180673,-1.258046,0.1337992,0.2372378,-1.34539
-0.1908918,-0.2451284,-1.306208,0.1219895,0.2650561,-1.376324
-0.1908918,-0.2451284,-1.306208,0.1219895,0.2650561,-1.376324
-0.1700296,-0.2820163,-1.354818,0.1012132,0.2933569,-1.404692
-0.1700296,-0.2820163,-1.354818,0.1012132,0.2933569,-1.404692
-0.1574182,-0.3017438,-1.388192,0.08597286,0.3090506,-1.430308
-0.1574182,-0.3017438,-1.388192,0.08597286,0.3090506,-1.430308
-0.1569886,-0.2986304,-1.392005,0.07253103,0.3141931,-1.451015
-0.1569886,-0.2986304,-1.392005,0.07253103,0.3141931,-1.451015
-0.1616163,-0.2931525,-1.389547,0.05959769,0.3151534,-1.465817
-0.1616163,-0.2931525,-1.389547,0.05959769,0.3151534,-1.465817
-0.1616163,-0.2931525,-1.389547,0.05959769,0.3151534,-1.465817
-0.1811334,-0.2717257,-1.371147,0.05004613,0.30784,-1.47203
-0.1811334,-0.2717257,-1.371147,0.05004613,0.30784,-1.47203
-0.2008962,-0.2466555,-1.344719,0.04359513,0.2915555,-1.471898
-0.2008962,-0.2466555,-1.344719,0.04359513,0.2915555,-1.471898
-0.2272985,-0.2076674,-1.313482,0.03581898,0.2633699,-1.457866
-0.2272985,-0.2076674,-1.313482,0.03581898,0.2633699,-1.457866
-0.2609876,-0.1577125,-1.292824,0.03616345,0.2264255,-1.43277
-0.2609876,-0.1577125,-1.292824,0.03616345,0.2264255,-1.43277
-0.2823156,-0.1038953,-1.284912,0.03865239,0.187759,-1.393248
-0.2823156,-0.1038953,-1.284912,0.03865239,0.187759,-1.393248
-0.3003576,-0.04470217,-1.275106,0.05271248,0.1296781,-1.315599
-0.3003576,-0.04470217,-1.275106,0.05271248,0.1296781,-1.315599
-0.313473,0.01351818,-1.289701,0.07000951,0.03244479,-1.243227
-0.313473,0.01351818,-1.289701,0.07000951,0.03244479,-1.243227
-0.324268,0.066833,-1.297937,0.07000951,0.03244479,-1.243227
-0.324268,0.066833,-1.297937,0.07000951,0.03244479,-1.243227
-0.3246191,0.1195021,-1.316728,0.07000951,0.03244479,-1.243227
-0.3246191,0.1195021,-1.316728,0.07000951,0.03244479,-1.243227
-0.3215855,0.1609683,-1.336884,0.05043295,-0.2442221,-1.338296
-0.3215855,0.1609683,-1.336884,0.05043295,-0.2442221,-1.338296
-0.31375,0.1869152,-1.355498,0.03891037,-0.2840915,-1.367157
-0.31375,0.1869152,-1.355498,0.03891037,-0.2840915,-1.367157
-0.3077388,0.1996258,-1.376135,0.04061996,-0.303757,-1.401782
-0.3077388,0.1996258,-1.376135,0.04061996,-0.303757,-1.401782
-0.296243,0.2046062,-1.389563,0.04931823,-0.3343421,-1.416254
-0.296243,0.2046062,-1.389563,0.04931823,-0.3343421,-1.416254
-0.2916616,0.2017304,-1.398358,0.05226895,-0.3432579,-1.428775
-0.2916616,0.2017304,-1.398358,0.05226895,-0.3432579,-1.428775
