Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
0.150649,0.008134197,-2.431895,0.5816283,0.3251126,-2.465495,0.1343391,0.04912731,-2.747541,0.6271029,0.1297903,-2.671685,0.1815799,0.3361466,-2.847784,0.5280807,0.3373996,-2.80775
0.150649,0.008134197,-2.431895,0.5816283,0.3251126,-2.465495,0.1343391,0.04912731,-2.747541,0.6271029,0.1297903,-2.671685,0.1815799,0.3361466,-2.847784,0.5280807,0.3373996,-2.80775
0.1482452,0.05769416,-2.407315,0.5749405,0.266995,-2.430033,0.1300182,0.05736979,-2.726879,0.6230264,0.1209277,-2.673908,0.1819279,0.3359266,-2.848484,0.5285723,0.3369258,-2.808316
0.1482452,0.05769416,-2.407315,0.5749405,0.266995,-2.430033,0.1300182,0.05736979,-2.726879,0.6230264,0.1209277,-2.673908,0.1819279,0.3359266,-2.848484,0.5285723,0.3369258,-2.808316
0.1624242,0.1317839,-2.426602,0.5825239,0.1893044,-2.415088,0.126527,0.06087292,-2.724042,0.6211935,0.1144533,-2.679484,0.1825901,0.3297022,-2.842436,0.5293017,0.3347512,-2.808046
0.1624242,0.1317839,-2.426602,0.5825239,0.1893044,-2.415088,0.126527,0.06087292,-2.724042,0.6211935,0.1144533,-2.679484,0.1825901,0.3297022,-2.842436,0.5293017,0.3347512,-2.808046
0.1624242,0.1317839,-2.426602,0.5825239,0.1893044,-2.415088,0.126527,0.06087292,-2.724042,0.6211935,0.1144533,-2.679484,0.1825901,0.3297022,-2.842436,0.5293017,0.3347512,-2.808046
0.1624242,0.1317839,-2.426602,0.5825239,0.1893044,-2.415088,0.126527,0.06087292,-2.724042,0.6211935,0.1144533,-2.679484,0.1825901,0.3297022,-2.842436,0.5293017,0.3347512,-2.808046
0.1526115,0.1938279,-2.450769,0.5671268,0.1200722,-2.437734,0.1188658,0.0634925,-2.718519,0.6207823,0.09142243,-2.705576,0.1833737,0.3293447,-2.843098,0.5305327,0.3342213,-2.80885
0.1526115,0.1938279,-2.450769,0.5671268,0.1200722,-2.437734,0.1188658,0.0634925,-2.718519,0.6207823,0.09142243,-2.705576,0.1833737,0.3293447,-2.843098,0.5305327,0.3342213,-2.80885
0.1545566,0.2569859,-2.463645,0.5606042,0.06263171,-2.414289,0.1096252,0.07643783,-2.701279,0.6184754,0.0819364,-2.700422,0.1890391,0.29539,-2.83103,0.536615,0.3124551,-2.813879
0.1545566,0.2569859,-2.463645,0.5606042,0.06263171,-2.414289,0.1096252,0.07643783,-2.701279,0.6184754,0.0819364,-2.700422,0.1890391,0.29539,-2.83103,0.536615,0.3124551,-2.813879
0.1543279,0.3214029,-2.464191,0.5563242,-0.01418178,-2.425294,0.1058221,0.1037952,-2.672721,0.6150104,0.04025546,-2.702464,0.1875881,0.3008141,-2.833988,0.5359766,0.3122481,-2.81237
0.1543279,0.3214029,-2.464191,0.5563242,-0.01418178,-2.425294,0.1058221,0.1037952,-2.672721,0.6150104,0.04025546,-2.702464,0.1875881,0.3008141,-2.833988,0.5359766,0.3122481,-2.81237
0.1518351,0.3654285,-2.496525,0.5425327,-0.06128533,-2.449775,0.1056202,0.1091193,-2.671026,0.6126645,0.03886192,-2.703324,0.1868418,0.3033342,-2.834858,0.5337772,0.3123524,-2.803981
0.1518351,0.3654285,-2.496525,0.5425327,-0.06128533,-2.449775,0.1056202,0.1091193,-2.671026,0.6126645,0.03886192,-2.703324,0.1868418,0.3033342,-2.834858,0.5337772,0.3123524,-2.803981
0.1560847,0.3881857,-2.526954,0.5313856,-0.0921535,-2.467823,0.1052349,0.1124086,-2.671358,0.6012281,0.02718901,-2.717285,0.186403,0.3035128,-2.835994,0.5333209,0.3118559,-2.803109
0.1560847,0.3881857,-2.526954,0.5313856,-0.0921535,-2.467823,0.1052349,0.1124086,-2.671358,0.6012281,0.02718901,-2.717285,0.186403,0.3035128,-2.835994,0.5333209,0.3118559,-2.803109
0.1556761,0.4018896,-2.537117,0.5223549,-0.1285243,-2.474426,0.1042362,0.1192686,-2.671547,0.5943797,0.01537027,-2.719103,0.184825,0.3146416,-2.842381,0.5325477,0.318337,-2.805118
0.1556761,0.4018896,-2.537117,0.5223549,-0.1285243,-2.474426,0.1042362,0.1192686,-2.671547,0.5943797,0.01537027,-2.719103,0.184825,0.3146416,-2.842381,0.5325477,0.318337,-2.805118
0.1584263,0.4233264,-2.557422,0.5234375,-0.1488586,-2.498102,0.100185,0.1311984,-2.674294,0.5944961,0.01543445,-2.719325,0.1862191,0.3225619,-2.84418,0.533542,0.3219124,-2.805593
0.1584263,0.4233264,-2.557422,0.5234375,-0.1488586,-2.498102,0.100185,0.1311984,-2.674294,0.5944961,0.01543445,-2.719325,0.1862191,0.3225619,-2.84418,0.533542,0.3219124,-2.805593
0.1584263,0.4233264,-2.557422,0.5234375,-0.1488586,-2.498102,0.100185,0.1311984,-2.674294,0.5944961,0.01543445,-2.719325,0.1862191,0.3225619,-2.84418,0.533542,0.3219124,-2.805593
0.1650059,0.429431,-2.574397,0.5209871,-0.1514184,-2.50545,0.09909916,0.134083,-2.674328,0.5949304,0.0146728,-2.722777,0.1866785,0.325228,-2.843678,0.5341495,0.325051,-2.802896
