Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.5447645,0.5796258,-2.378139,0.7678278,0.5849794,-2.364839,-0.2877496,0.4604026,-2.519547,0.5339922,0.4751322,-2.537229,-0.06376062,0.3054849,-2.648368,0.2965975,0.3190533,-2.649527
-0.5447645,0.5796258,-2.378139,0.7678278,0.5849794,-2.364839,-0.2877496,0.4604026,-2.519547,0.5339922,0.4751322,-2.537229,-0.06376062,0.3054849,-2.648368,0.2965975,0.3190533,-2.649527
-0.5447645,0.5796258,-2.378139,0.7678278,0.5849794,-2.364839,-0.2877496,0.4604026,-2.519547,0.5339922,0.4751322,-2.537229,-0.06376062,0.3054849,-2.648368,0.2965975,0.3190533,-2.649527
-0.5678158,0.5353895,-2.390286,0.7845604,0.5420519,-2.371021,-0.3012331,0.4369343,-2.52181,0.5442794,0.4499047,-2.540485,-0.06375262,0.3054768,-2.648335,0.2965986,0.3190532,-2.649529
-0.5678158,0.5353895,-2.390286,0.7845604,0.5420519,-2.371021,-0.3012331,0.4369343,-2.52181,0.5442794,0.4499047,-2.540485,-0.06375262,0.3054768,-2.648335,0.2965986,0.3190532,-2.649529
-0.5873641,0.488623,-2.402709,0.8037254,0.4863316,-2.379837,-0.3137441,0.4099215,-2.526334,0.5545576,0.4206699,-2.543888,-0.06375021,0.3054774,-2.64833,0.2966055,0.3190663,-2.649568
-0.5873641,0.488623,-2.402709,0.8037254,0.4863316,-2.379837,-0.3137441,0.4099215,-2.526334,0.5545576,0.4206699,-2.543888,-0.06375021,0.3054774,-2.64833,0.2966055,0.3190663,-2.649568
-0.5873641,0.488623,-2.402709,0.8037254,0.4863316,-2.379837,-0.3137441,0.4099215,-2.526334,0.5545576,0.4206699,-2.543888,-0.06375021,0.3054774,-2.64833,0.2966055,0.3190663,-2.649568
-0.5873641,0.488623,-2.402709,0.8037254,0.4863316,-2.379837,-0.3137441,0.4099215,-2.526334,0.5545576,0.4206699,-2.543888,-0.06375021,0.3054774,-2.64833,0.2966055,0.3190663,-2.649568
-0.6042333,0.429085,-2.417519,0.8178868,0.4227347,-2.386076,-0.3221577,0.3816368,-2.53085,0.5635284,0.3895811,-2.54725,-0.06375036,0.3054809,-2.648325,0.2966033,0.3190907,-2.649608
-0.6042333,0.429085,-2.417519,0.8178868,0.4227347,-2.386076,-0.3221577,0.3816368,-2.53085,0.5635284,0.3895811,-2.54725,-0.06375036,0.3054809,-2.648325,0.2966033,0.3190907,-2.649608
-0.614186,0.3720056,-2.432305,0.8323133,0.3493938,-2.390734,-0.327365,0.3541262,-2.536131,0.5719235,0.3575306,-2.548239,-0.06375064,0.3054859,-2.648323,0.2966007,0.3191286,-2.649647
-0.614186,0.3720056,-2.432305,0.8323133,0.3493938,-2.390734,-0.327365,0.3541262,-2.536131,0.5719235,0.3575306,-2.548239,-0.06375064,0.3054859,-2.648323,0.2966007,0.3191286,-2.649647
-0.6200875,0.3119182,-2.447924,0.8383148,0.2921963,-2.398239,-0.331048,0.3168801,-2.5433,0.5783921,0.3232684,-2.552624,-0.06375138,0.3054867,-2.648322,0.2965942,0.3191403,-2.649671
-0.6200875,0.3119182,-2.447924,0.8383148,0.2921963,-2.398239,-0.331048,0.3168801,-2.5433,0.5783921,0.3232684,-2.552624,-0.06375138,0.3054867,-2.648322,0.2965942,0.3191403,-2.649671
-0.6230629,0.2453376,-2.459028,0.8292951,0.2429784,-2.403547,-0.3339524,0.2868161,-2.550097,0.5770963,0.2792101,-2.563081,-0.06375224,0.3054883,-2.648321,0.2965891,0.3191534,-2.649691
-0.6230629,0.2453376,-2.459028,0.8292951,0.2429784,-2.403547,-0.3339524,0.2868161,-2.550097,0.5770963,0.2792101,-2.563081,-0.06375224,0.3054883,-2.648321,0.2965891,0.3191534,-2.649691
-0.6230629,0.2453376,-2.459028,0.8292951,0.2429784,-2.403547,-0.3339524,0.2868161,-2.550097,0.5770963,0.2792101,-2.563081,-0.06375224,0.3054883,-2.648321,0.2965891,0.3191534,-2.649691
-0.6230629,0.2453376,-2.459028,0.8292951,0.2429784,-2.403547,-0.3339524,0.2868161,-2.550097,0.5770963,0.2792101,-2.563081,-0.06375224,0.3054883,-2.648321,0.2965891,0.3191534,-2.649691
-0.6156477,0.1764346,-2.474688,0.8128802,0.1666856,-2.427591,-0.333059,0.2547685,-2.56112,0.5703167,0.2482709,-2.570563,-0.06375183,0.3054896,-2.648321,0.296592,0.3191774,-2.649721
-0.6156477,0.1764346,-2.474688,0.8128802,0.1666856,-2.427591,-0.333059,0.2547685,-2.56112,0.5703167,0.2482709,-2.570563,-0.06375183,0.3054896,-2.648321,0.296592,0.3191774,-2.649721
-0.6058141,0.118849,-2.487347,0.793361,0.09023448,-2.457237,-0.3292523,0.2219894,-2.570697,0.5618183,0.2154436,-2.582686,-0.06375061,0.3054905,-2.64832,0.2966006,0.3191952,-2.649757
-0.6058141,0.118849,-2.487347,0.793361,0.09023448,-2.457237,-0.3292523,0.2219894,-2.570697,0.5618183,0.2154436,-2.582686,-0.06375061,0.3054905,-2.64832,0.2966006,0.3191952,-2.649757
-0.6058141,0.118849,-2.487347,0.793361,0.09023448,-2.457237,-0.3292523,0.2219894,-2.570697,0.5618183,0.2154436,-2.582686,-0.06375061,0.3054905,-2.64832,0.2966006,0.3191952,-2.649757
-0.5898879,0.05757665,-2.498473,0.7702871,0.03010988,-2.471721,-0.3245096,0.1913979,-2.580265,0.5529248,0.1849136,-2.592791,-0.06375072,0.3054904,-2.64832,0.296597,0.3191967,-2.64978
-0.5898879,0.05757665,-2.498473,0.7702871,0.03010988,-2.471721,-0.3245096,0.1913979,-2.580265,0.5529248,0.1849136,-2.592791,-0.06375072,0.3054904,-2.64832,0.296597,0.3191967,-2.64978
-0.5687673,0.01114621,-2.506367,0.7325857,-0.01753747,-2.480465,-0.3172577,0.1666067,-2.591168,0.5348164,0.1540662,-2.605937,-0.06375102,0.3054901,-2.64832,0.2965957,0.319198,-2.649784
-0.5687673,0.01114621,-2.506367,0.7325857,-0.01753747,-2.480465,-0.3172577,0.1666067,-2.591168,0.5348164,0.1540662,-2.605937,-0.06375102,0.3054901,-2.64832,0.2965957,0.319198,-2.649784
-0.5687673,0.01114621,-2.506367,0.7325857,-0.01753747,-2.480465,-0.3172577,0.1666067,-2.591168,0.5348164,0.1540662,-2.605937,-0.06375102,0.3054901,-2.64832,0.2965957,0.319198,-2.649784
-0.5687673,0.01114621,-2.506367,0.7325857,-0.01753747,-2.480465,-0.3172577,0.1666067,-2.591168,0.5348164,0.1540662,-2.605937,-0.06375102,0.3054901,-2.64832,0.2965957,0.319198,-2.649784
