Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.7925251,0.5146266,-2.367382,0.5565649,0.5342156,-2.355319,-0.3026135,0.3172662,-2.662634,0.06110603,0.3058558,-2.645643
-0.7999368,0.4539621,-2.374738,0.568439,0.4937271,-2.369462,-0.3005387,0.3203504,-2.663322,0.06307121,0.3054936,-2.646629
-0.7999368,0.4539621,-2.374738,0.568439,0.4937271,-2.369462,-0.3005387,0.3203504,-2.663322,0.06307121,0.3054936,-2.646629
-0.8086871,0.3895674,-2.394105,0.5962952,0.4366761,-2.39202,-0.2994392,0.3154683,-2.660183,0.06405854,0.3005319,-2.641189
-0.8086871,0.3895674,-2.394105,0.5962952,0.4366761,-2.39202,-0.2994392,0.3154683,-2.660183,0.06405854,0.3005319,-2.641189
-0.8256155,0.3073445,-2.385672,0.6066982,0.3791764,-2.398817,-0.2988071,0.3163283,-2.657724,0.06483398,0.3018935,-2.641259
-0.8256155,0.3073445,-2.385672,0.6066982,0.3791764,-2.398817,-0.2988071,0.3163283,-2.657724,0.06483398,0.3018935,-2.641259
-0.8256155,0.3073445,-2.385672,0.6066982,0.3791764,-2.398817,-0.2988071,0.3163283,-2.657724,0.06483398,0.3018935,-2.641259
-0.8256155,0.3073445,-2.385672,0.6066982,0.3791764,-2.398817,-0.2988071,0.3163283,-2.657724,0.06483398,0.3018935,-2.641259
-0.8217442,0.1884467,-2.407285,0.6192302,0.2548166,-2.437724,-0.2982663,0.3154442,-2.654985,0.06560293,0.3020287,-2.643327
-0.8217442,0.1884467,-2.407285,0.6192302,0.2548166,-2.437724,-0.2982663,0.3154442,-2.654985,0.06560293,0.3020287,-2.643327
-0.8217442,0.1884467,-2.407285,0.6192302,0.2548166,-2.437724,-0.2982663,0.3154442,-2.654985,0.06560293,0.3020287,-2.643327
-0.8217442,0.1884467,-2.407285,0.6192302,0.2548166,-2.437724,-0.2982663,0.3154442,-2.654985,0.06560293,0.3020287,-2.643327
