Hand_L, , ,Hand_R, , 
-0.1667821,-0.1032602,-1.696335,0.5644681,-0.155859,-1.494557
-0.1548542,-0.1213659,-1.755562,0.5572029,-0.1631934,-1.496209
-0.1548542,-0.1213659,-1.755562,0.5572029,-0.1631934,-1.496209
-0.1285804,-0.1070718,-1.788719,0.554542,-0.1653153,-1.498452
-0.1285804,-0.1070718,-1.788719,0.554542,-0.1653153,-1.498452
-0.1285804,-0.1070718,-1.788719,0.554542,-0.1653153,-1.498452
-0.1285804,-0.1070718,-1.788719,0.554542,-0.1653153,-1.498452
-0.1153656,-0.1061049,-1.800434,0.5554544,-0.1651639,-1.497496
-0.1153656,-0.1061049,-1.800434,0.5554544,-0.1651639,-1.497496
-0.1085212,-0.1076911,-1.806342,0.5648559,-0.164074,-1.490157
-0.1085212,-0.1076911,-1.806342,0.5648559,-0.164074,-1.490157
-0.1085212,-0.1076911,-1.806342,0.5648559,-0.164074,-1.490157
-0.1085212,-0.1076911,-1.806342,0.5648559,-0.164074,-1.490157
-0.1038825,-0.107759,-1.809813,0.5741319,-0.1648504,-1.480052
-0.1038825,-0.107759,-1.809813,0.5741319,-0.1648504,-1.480052
-0.1026918,-0.108327,-1.813145,0.5983757,-0.1529964,-1.445097
-0.1026918,-0.108327,-1.813145,0.5983757,-0.1529964,-1.445097
-0.1026918,-0.108327,-1.813145,0.5983757,-0.1529964,-1.445097
-0.1026918,-0.108327,-1.813145,0.5983757,-0.1529964,-1.445097
-0.1026772,-0.1086382,-1.814139,0.6008186,-0.1446362,-1.434087
-0.1026772,-0.1086382,-1.814139,0.6008186,-0.1446362,-1.434087
-0.1011109,-0.1099437,-1.819867,0.6090084,-0.1297574,-1.419094
