Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.2638379,0.4019,-2.021324,0.3913808,0.3985269,-1.999926,-0.15016,0.3505879,-2.289096,0.3316844,0.3638388,-2.277941,-0.08500947,0.315252,-2.630966,0.2781396,0.3227169,-2.628498
-0.3406388,0.4032831,-2.053659,0.4698223,0.3979509,-2.02449,-0.1795054,0.3500768,-2.301003,0.3593019,0.3631516,-2.288726,-0.08500972,0.3152436,-2.630974,0.2781395,0.3227153,-2.628498
-0.3406388,0.4032831,-2.053659,0.4698223,0.3979509,-2.02449,-0.1795054,0.3500768,-2.301003,0.3593019,0.3631516,-2.288726,-0.08500972,0.3152436,-2.630974,0.2781395,0.3227153,-2.628498
-0.4048322,0.4032541,-2.089334,0.5303845,0.4011447,-2.049895,-0.2106101,0.3478653,-2.317234,0.3881228,0.3610101,-2.302751,-0.08501136,0.3152327,-2.630982,0.2781384,0.3227117,-2.628495
-0.4048322,0.4032541,-2.089334,0.5303845,0.4011447,-2.049895,-0.2106101,0.3478653,-2.317234,0.3881228,0.3610101,-2.302751,-0.08501136,0.3152327,-2.630982,0.2781384,0.3227117,-2.628495
-0.454967,0.4048962,-2.133502,0.5936491,0.4018463,-2.072741,-0.237708,0.3474448,-2.339521,0.4183702,0.3617497,-2.31346,-0.08501386,0.315201,-2.630987,0.2781363,0.3226982,-2.628486
-0.454967,0.4048962,-2.133502,0.5936491,0.4018463,-2.072741,-0.237708,0.3474448,-2.339521,0.4183702,0.3617497,-2.31346,-0.08501386,0.315201,-2.630987,0.2781363,0.3226982,-2.628486
-0.454967,0.4048962,-2.133502,0.5936491,0.4018463,-2.072741,-0.237708,0.3474448,-2.339521,0.4183702,0.3617497,-2.31346,-0.08501386,0.315201,-2.630987,0.2781363,0.3226982,-2.628486
-0.454967,0.4048962,-2.133502,0.5936491,0.4018463,-2.072741,-0.237708,0.3474448,-2.339521,0.4183702,0.3617497,-2.31346,-0.08501386,0.315201,-2.630987,0.2781363,0.3226982,-2.628486
-0.5501045,0.4008202,-2.242847,0.6999062,0.4019351,-2.143651,-0.2812157,0.3488874,-2.38685,0.4757913,0.3567022,-2.350533,-0.08501691,0.3151757,-2.630982,0.2781127,0.3226086,-2.628228
-0.5501045,0.4008202,-2.242847,0.6999062,0.4019351,-2.143651,-0.2812157,0.3488874,-2.38685,0.4757913,0.3567022,-2.350533,-0.08501691,0.3151757,-2.630982,0.2781127,0.3226086,-2.628228
