Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.2911244,0.4169264,-2.011574,0.139369,0.4187429,-1.999052,-0.276544,0.3169814,-2.636168,0.08750468,0.3082735,-2.653022
-0.3438285,0.41786,-2.02444,0.1937618,0.4190087,-2.020155,-0.276565,0.3207721,-2.64008,0.08746693,0.3114851,-2.656994
-0.3438285,0.41786,-2.02444,0.1937618,0.4190087,-2.020155,-0.276565,0.3207721,-2.64008,0.08746693,0.3114851,-2.656994
-0.3966784,0.4233484,-2.014452,0.2451086,0.4294339,-2.026708,-0.2754027,0.3201275,-2.637042,0.08886317,0.3114643,-2.647504
-0.3966784,0.4233484,-2.014452,0.2451086,0.4294339,-2.026708,-0.2754027,0.3201275,-2.637042,0.08886317,0.3114643,-2.647504
-0.4603066,0.422421,-2.034864,0.3083051,0.4289666,-2.052774,-0.2754217,0.3206863,-2.635431,0.08889903,0.3112611,-2.643644
-0.4603066,0.422421,-2.034864,0.3083051,0.4289666,-2.052774,-0.2754217,0.3206863,-2.635431,0.08889903,0.3112611,-2.643644
-0.4603066,0.422421,-2.034864,0.3083051,0.4289666,-2.052774,-0.2754217,0.3206863,-2.635431,0.08889903,0.3112611,-2.643644
-0.5344564,0.4273424,-2.065916,0.3704787,0.4306311,-2.08749,-0.2775437,0.3201965,-2.637285,0.08686711,0.3114881,-2.640057
-0.5344564,0.4273424,-2.065916,0.3704787,0.4306311,-2.08749,-0.2775437,0.3201965,-2.637285,0.08686711,0.3114881,-2.640057
-0.5344564,0.4273424,-2.065916,0.3704787,0.4306311,-2.08749,-0.2775437,0.3201965,-2.637285,0.08686711,0.3114881,-2.640057
-0.5344564,0.4273424,-2.065916,0.3704787,0.4306311,-2.08749,-0.2775437,0.3201965,-2.637285,0.08686711,0.3114881,-2.640057
-0.591816,0.4322168,-2.097483,0.4226885,0.4287379,-2.13272,-0.2761541,0.3162998,-2.637284,0.08829488,0.3083194,-2.637579
-0.591816,0.4322168,-2.097483,0.4226885,0.4287379,-2.13272,-0.2761541,0.3162998,-2.637284,0.08829488,0.3083194,-2.637579
-0.6453144,0.438438,-2.141124,0.4867347,0.4227423,-2.192386,-0.2766331,0.3151413,-2.63773,0.08778907,0.3065842,-2.634641
-0.6453144,0.438438,-2.141124,0.4867347,0.4227423,-2.192386,-0.2766331,0.3151413,-2.63773,0.08778907,0.3065842,-2.634641
-0.7382258,0.4250913,-2.210763,0.5651985,0.4055221,-2.26994,-0.2775053,0.3160801,-2.635828,0.08687632,0.3065571,-2.630889
-0.7382258,0.4250913,-2.210763,0.5651985,0.4055221,-2.26994,-0.2775053,0.3160801,-2.635828,0.08687632,0.3065571,-2.630889
-0.7893302,0.4109934,-2.271895,0.6127158,0.3868005,-2.327223,-0.2762201,0.3222709,-2.637121,0.08803035,0.3100769,-2.629463
-0.7893302,0.4109934,-2.271895,0.6127158,0.3868005,-2.327223,-0.2762201,0.3222709,-2.637121,0.08803035,0.3100769,-2.629463
-0.8205565,0.3884482,-2.329991,0.6551638,0.3731628,-2.394378,-0.2759707,0.3215929,-2.636671,0.08830607,0.3098722,-2.629246
