Hand_L, , ,Hand_R, , 
-0.1498434,0.2612782,-1.526914,-0.07845609,0.2529004,-1.50877
-0.1503095,0.2568915,-1.521615,-0.07862052,0.2514028,-1.508429
-0.1503095,0.2568915,-1.521615,-0.07862052,0.2514028,-1.508429
-0.1508982,0.254681,-1.514073,-0.07928941,0.2498944,-1.507574
-0.1508982,0.254681,-1.514073,-0.07928941,0.2498944,-1.507574
-0.1502675,0.2532936,-1.510537,-0.08001405,0.248326,-1.505697
-0.1502675,0.2532936,-1.510537,-0.08001405,0.248326,-1.505697
-0.1498984,0.2505911,-1.507056,-0.08101514,0.2467999,-1.502482
-0.1498984,0.2505911,-1.507056,-0.08101514,0.2467999,-1.502482
-0.14994,0.248027,-1.502758,-0.08236298,0.2443106,-1.498483
-0.14994,0.248027,-1.502758,-0.08236298,0.2443106,-1.498483
-0.14994,0.248027,-1.502758,-0.08236298,0.2443106,-1.498483
-0.1487156,0.246448,-1.499645,-0.08300143,0.2425955,-1.493941
-0.1487156,0.246448,-1.499645,-0.08300143,0.2425955,-1.493941
-0.1482196,0.2450972,-1.49396,-0.08345787,0.2393748,-1.489647
-0.1482196,0.2450972,-1.49396,-0.08345787,0.2393748,-1.489647
-0.1498328,0.2429187,-1.49232,-0.08343921,0.2376217,-1.487035
-0.1498328,0.2429187,-1.49232,-0.08343921,0.2376217,-1.487035
-0.1627981,0.2393749,-1.495719,-0.08158945,0.238445,-1.481742
-0.1627981,0.2393749,-1.495719,-0.08158945,0.238445,-1.481742
-0.184966,0.2430935,-1.502399,-0.06622399,0.2430327,-1.473657
-0.184966,0.2430935,-1.502399,-0.06622399,0.2430327,-1.473657
-0.2038926,0.2493218,-1.507757,-0.04379693,0.2461031,-1.471509
-0.2038926,0.2493218,-1.507757,-0.04379693,0.2461031,-1.471509
-0.2493259,0.2536459,-1.520967,-0.01349544,0.2494047,-1.476418
-0.2493259,0.2536459,-1.520967,-0.01349544,0.2494047,-1.476418
-0.2906794,0.2586916,-1.536481,0.01992034,0.2542532,-1.470742
-0.2906794,0.2586916,-1.536481,0.01992034,0.2542532,-1.470742
-0.3304594,0.2618129,-1.554536,0.06303893,0.2544629,-1.483194
-0.3304594,0.2618129,-1.554536,0.06303893,0.2544629,-1.483194
-0.3781722,0.2655364,-1.579351,0.1064196,0.2490573,-1.496825
-0.3781722,0.2655364,-1.579351,0.1064196,0.2490573,-1.496825
-0.4224176,0.2548071,-1.614919,0.1501717,0.2486377,-1.519775
-0.4224176,0.2548071,-1.614919,0.1501717,0.2486377,-1.519775
-0.4675218,0.2374267,-1.662018,0.1865466,0.2406394,-1.545511
-0.4675218,0.2374267,-1.662018,0.1865466,0.2406394,-1.545511
-0.493787,0.2174315,-1.696932,0.2146841,0.2257414,-1.571708
-0.493787,0.2174315,-1.696932,0.2146841,0.2257414,-1.571708
-0.5225545,0.1862824,-1.74683,0.2403707,0.2070395,-1.592446
-0.5225545,0.1862824,-1.74683,0.2403707,0.2070395,-1.592446
-0.5412881,0.1554879,-1.784025,0.2567378,0.1835499,-1.612338
-0.5412881,0.1554879,-1.784025,0.2567378,0.1835499,-1.612338
-0.5591412,0.1190598,-1.838596,0.2803298,0.1458573,-1.626177
-0.5591412,0.1190598,-1.838596,0.2803298,0.1458573,-1.626177
-0.5548299,0.07182167,-1.857605,0.2978249,0.1175661,-1.637017
-0.5548299,0.07182167,-1.857605,0.2978249,0.1175661,-1.637017
-0.5506105,0.03238159,-1.875544,0.306537,0.07856493,-1.648967
-0.5506105,0.03238159,-1.875544,0.306537,0.07856493,-1.648967
-0.5348932,-0.00725861,-1.884432,0.3191867,0.03659536,-1.655787
-0.5348932,-0.00725861,-1.884432,0.3191867,0.03659536,-1.655787
-0.5165091,-0.07357381,-1.898037,0.312719,-0.01506362,-1.65644
-0.5165091,-0.07357381,-1.898037,0.312719,-0.01506362,-1.65644
-0.5094875,-0.1161683,-1.906795,0.3009207,-0.07276097,-1.661957
-0.5094875,-0.1161683,-1.906795,0.3009207,-0.07276097,-1.661957
-0.4856367,-0.1857608,-1.891228,0.2780703,-0.1274046,-1.659148
-0.4856367,-0.1857608,-1.891228,0.2780703,-0.1274046,-1.659148
-0.4523556,-0.2397325,-1.872499,0.2433332,-0.1843553,-1.659312
-0.4523556,-0.2397325,-1.872499,0.2433332,-0.1843553,-1.659312
