Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.5415713,-0.1342496,-2.468565,0.2285738,-0.2998036,-2.576751,-0.300238,0.03917888,-2.553908,0.2477023,-0.009956049,-2.692335,-0.1361203,0.2882146,-2.600721,0.2188586,0.3088757,-2.684073
-0.5415713,-0.1342496,-2.468565,0.2285738,-0.2998036,-2.576751,-0.300238,0.03917888,-2.553908,0.2477023,-0.009956049,-2.692335,-0.1361203,0.2882146,-2.600721,0.2188586,0.3088757,-2.684073
-0.5754743,-0.07300127,-2.431457,0.2285738,-0.2998036,-2.576751,-0.3139162,0.05879365,-2.53424,0.2477023,-0.009956049,-2.692335,-0.1361061,0.2882544,-2.600743,0.2189079,0.3089452,-2.684072
-0.5754743,-0.07300127,-2.431457,0.2285738,-0.2998036,-2.576751,-0.3139162,0.05879365,-2.53424,0.2477023,-0.009956049,-2.692335,-0.1361061,0.2882544,-2.600743,0.2189079,0.3089452,-2.684072
-0.5754743,-0.07300127,-2.431457,0.2285738,-0.2998036,-2.576751,-0.3139162,0.05879365,-2.53424,0.2477023,-0.009956049,-2.692335,-0.1361061,0.2882544,-2.600743,0.2189079,0.3089452,-2.684072
-0.6015056,-0.02324935,-2.404849,0.2285738,-0.2998036,-2.576751,-0.3332352,0.08891075,-2.507534,0.2477023,-0.009956049,-2.692335,-0.1360705,0.2883023,-2.600803,0.218989,0.30902,-2.684077
-0.6015056,-0.02324935,-2.404849,0.2285738,-0.2998036,-2.576751,-0.3332352,0.08891075,-2.507534,0.2477023,-0.009956049,-2.692335,-0.1360705,0.2883023,-2.600803,0.218989,0.30902,-2.684077
-0.6246862,0.03847544,-2.38314,0.2285738,-0.2998036,-2.576751,-0.3469016,0.1165417,-2.489599,0.2477023,-0.009956049,-2.692335,-0.1360512,0.2883413,-2.600842,0.2190558,0.309109,-2.684074
-0.6246862,0.03847544,-2.38314,0.2285738,-0.2998036,-2.576751,-0.3469016,0.1165417,-2.489599,0.2477023,-0.009956049,-2.692335,-0.1360512,0.2883413,-2.600842,0.2190558,0.309109,-2.684074
-0.6425291,0.1168003,-2.354754,0.2285738,-0.2998036,-2.576751,-0.3596152,0.1514201,-2.469407,0.2477023,-0.009956049,-2.692335,-0.1360404,0.2883601,-2.600878,0.2191011,0.3091488,-2.684053
-0.6425291,0.1168003,-2.354754,0.2285738,-0.2998036,-2.576751,-0.3596152,0.1514201,-2.469407,0.2477023,-0.009956049,-2.692335,-0.1360404,0.2883601,-2.600878,0.2191011,0.3091488,-2.684053
-0.649532,0.1892224,-2.320372,0.2285738,-0.2998036,-2.576751,-0.369581,0.182523,-2.450831,0.2477023,-0.009956049,-2.692335,-0.1360154,0.2884835,-2.600988,0.2191518,0.3092301,-2.684105
