Hand_L, , ,Shoulder_L, , 
-0.2951522,-0.2505476,-2.518657,-0.2338964,0.3150377,-2.65538
-0.2951522,-0.2505476,-2.518657,-0.2338964,0.3150377,-2.65538
-0.2995825,-0.2428801,-2.525059,-0.2328669,0.3100714,-2.650143
-0.2995825,-0.2428801,-2.525059,-0.2328669,0.3100714,-2.650143
-0.3239256,-0.2427442,-2.514128,-0.2337137,0.3127259,-2.654963
-0.3239256,-0.2427442,-2.514128,-0.2337137,0.3127259,-2.654963
-0.3399065,-0.2456662,-2.520682,-0.2338721,0.3133334,-2.654612
-0.3399065,-0.2456662,-2.520682,-0.2338721,0.3133334,-2.654612
-0.3399065,-0.2456662,-2.520682,-0.2338721,0.3133334,-2.654612
-0.3399065,-0.2456662,-2.520682,-0.2338721,0.3133334,-2.654612
-0.3628741,-0.2441683,-2.519982,-0.2305609,0.3124184,-2.654929
-0.3628741,-0.2441683,-2.519982,-0.2305609,0.3124184,-2.654929
-0.3923387,-0.2463399,-2.520739,-0.2303257,0.314729,-2.655708
-0.3923387,-0.2463399,-2.520739,-0.2303257,0.314729,-2.655708
-0.4228785,-0.2361159,-2.528082,-0.2290084,0.2763464,-2.642607
-0.4228785,-0.2361159,-2.528082,-0.2290084,0.2763464,-2.642607
-0.4228785,-0.2361159,-2.528082,-0.2290084,0.2763464,-2.642607
-0.4228785,-0.2361159,-2.528082,-0.2290084,0.2763464,-2.642607
-0.4592127,-0.2226388,-2.515486,-0.2272951,0.2995448,-2.644005
-0.4592127,-0.2226388,-2.515486,-0.2272951,0.2995448,-2.644005
-0.4592127,-0.2226388,-2.515486,-0.2272951,0.2995448,-2.644005
-0.4914263,-0.1945893,-2.498735,-0.2237865,0.3087442,-2.63866
-0.4914263,-0.1945893,-2.498735,-0.2237865,0.3087442,-2.63866
-0.5215822,-0.1546277,-2.478108,-0.2215565,0.311443,-2.642234
-0.5215822,-0.1546277,-2.478108,-0.2215565,0.311443,-2.642234
-0.5215822,-0.1546277,-2.478108,-0.2215565,0.311443,-2.642234
-0.5215822,-0.1546277,-2.478108,-0.2215565,0.311443,-2.642234
-0.5648431,-0.1226218,-2.454902,-0.2197359,0.3102562,-2.641207
-0.5648431,-0.1226218,-2.454902,-0.2197359,0.3102562,-2.641207
-0.6136001,-0.07591614,-2.438106,-0.2195633,0.3111571,-2.643394
-0.6136001,-0.07591614,-2.438106,-0.2195633,0.3111571,-2.643394
-0.6567037,-0.02819241,-2.420505,-0.2192776,0.3132439,-2.645229
-0.6567037,-0.02819241,-2.420505,-0.2192776,0.3132439,-2.645229
-0.6567037,-0.02819241,-2.420505,-0.2192776,0.3132439,-2.645229
-0.6567037,-0.02819241,-2.420505,-0.2192776,0.3132439,-2.645229
-0.6848849,0.03646974,-2.406329,-0.21901,0.3158284,-2.643751
-0.6848849,0.03646974,-2.406329,-0.21901,0.3158284,-2.643751
-0.716648,0.1006764,-2.397436,-0.2206141,0.312195,-2.637629
-0.716648,0.1006764,-2.397436,-0.2206141,0.312195,-2.637629
-0.7409372,0.1682988,-2.378453,-0.2230387,0.3122468,-2.638324
-0.7409372,0.1682988,-2.378453,-0.2230387,0.3122468,-2.638324
-0.752906,0.2286902,-2.360065,-0.222911,0.3156897,-2.635229
-0.752906,0.2286902,-2.360065,-0.222911,0.3156897,-2.635229
-0.752906,0.2286902,-2.360065,-0.222911,0.3156897,-2.635229
-0.752906,0.2286902,-2.360065,-0.222911,0.3156897,-2.635229
-0.7529131,0.2921858,-2.341625,-0.2219308,0.3146126,-2.629218
-0.7529131,0.2921858,-2.341625,-0.2219308,0.3146126,-2.629218
-0.7449375,0.370978,-2.322716,-0.2189923,0.3174028,-2.622559
-0.7449375,0.370978,-2.322716,-0.2189923,0.3174028,-2.622559
-0.7233369,0.4413618,-2.302278,-0.2215789,0.3178312,-2.618971
-0.7233369,0.4413618,-2.302278,-0.2215789,0.3178312,-2.618971
-0.7233369,0.4413618,-2.302278,-0.2215789,0.3178312,-2.618971
-0.7233369,0.4413618,-2.302278,-0.2215789,0.3178312,-2.618971
-0.6873268,0.4931132,-2.290666,-0.2218135,0.3166062,-2.614122
-0.6873268,0.4931132,-2.290666,-0.2218135,0.3166062,-2.614122
-0.646933,0.5529395,-2.274278,-0.222113,0.3144823,-2.609355
-0.646933,0.5529395,-2.274278,-0.222113,0.3144823,-2.609355
-0.646933,0.5529395,-2.274278,-0.222113,0.3144823,-2.609355
-0.6041771,0.6010062,-2.270679,-0.2271469,0.28581,-2.607513
-0.6041771,0.6010062,-2.270679,-0.2271469,0.28581,-2.607513
-0.6041771,0.6010062,-2.270679,-0.2271469,0.28581,-2.607513
-0.6041771,0.6010062,-2.270679,-0.2271469,0.28581,-2.607513
-0.5590497,0.6439763,-2.269067,-0.2250501,0.2999409,-2.606402
-0.5590497,0.6439763,-2.269067,-0.2250501,0.2999409,-2.606402
-0.4969603,0.659448,-2.255195,-0.2267013,0.3094638,-2.611434
-0.4969603,0.659448,-2.255195,-0.2267013,0.3094638,-2.611434
-0.4969603,0.659448,-2.255195,-0.2267013,0.3094638,-2.611434
-0.4969603,0.659448,-2.255195,-0.2267013,0.3094638,-2.611434
-0.4385093,0.6766381,-2.24953,-0.2269677,0.3138451,-2.612664
-0.4385093,0.6766381,-2.24953,-0.2269677,0.3138451,-2.612664
-0.3884788,0.6904466,-2.252836,-0.2263436,0.3145197,-2.610501
-0.3884788,0.6904466,-2.252836,-0.2263436,0.3145197,-2.610501
-0.3352224,0.6976679,-2.257338,-0.2276909,0.3119981,-2.610098
-0.3352224,0.6976679,-2.257338,-0.2276909,0.3119981,-2.610098
-0.3352224,0.6976679,-2.257338,-0.2276909,0.3119981,-2.610098
-0.3352224,0.6976679,-2.257338,-0.2276909,0.3119981,-2.610098
-0.288941,0.7085668,-2.259075,-0.2278096,0.3073809,-2.609163
-0.288941,0.7085668,-2.259075,-0.2278096,0.3073809,-2.609163
-0.2395833,0.7138852,-2.274336,-0.2175659,0.300642,-2.606745
-0.2395833,0.7138852,-2.274336,-0.2175659,0.300642,-2.606745
-0.2001942,0.70408,-2.290172,-0.2123944,0.2910412,-2.60595
-0.2001942,0.70408,-2.290172,-0.2123944,0.2910412,-2.60595
-0.2001942,0.70408,-2.290172,-0.2123944,0.2910412,-2.60595
-0.2001942,0.70408,-2.290172,-0.2123944,0.2910412,-2.60595
-0.1728646,0.6875952,-2.304438,-0.2241292,0.3095879,-2.612427
