Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.2356789,-0.2822647,-2.506278,0.5887702,-0.09851997,-2.460244,-0.1971741,-0.005568402,-2.6257,0.3513735,0.06580839,-2.598956,-0.1422082,0.2990396,-2.624398,0.2178076,0.3190935,-2.636822
-0.2356789,-0.2822647,-2.506278,0.5887702,-0.09851997,-2.460244,-0.1971741,-0.005568402,-2.6257,0.3513735,0.06580839,-2.598956,-0.1422082,0.2990396,-2.624398,0.2178076,0.3190935,-2.636822
-0.2357417,-0.2822497,-2.506329,0.6302637,-0.04552607,-2.439411,-0.1971782,-0.005522574,-2.625671,0.373438,0.08511056,-2.580739,-0.1423159,0.2991585,-2.624376,0.2177976,0.3190936,-2.63682
-0.2357417,-0.2822497,-2.506329,0.6302637,-0.04552607,-2.439411,-0.1971782,-0.005522574,-2.625671,0.373438,0.08511056,-2.580739,-0.1423159,0.2991585,-2.624376,0.2177976,0.3190936,-2.63682
-0.2359414,-0.2821925,-2.506325,0.6658296,0.01804581,-2.41809,-0.1971824,-0.005503429,-2.625668,0.3916691,0.1032583,-2.566413,-0.1424276,0.2992361,-2.624355,0.2177761,0.3190913,-2.636817
-0.2359414,-0.2821925,-2.506325,0.6658296,0.01804581,-2.41809,-0.1971824,-0.005503429,-2.625668,0.3916691,0.1032583,-2.566413,-0.1424276,0.2992361,-2.624355,0.2177761,0.3190913,-2.636817
-0.2361537,-0.2821576,-2.506262,0.6970329,0.0905217,-2.389526,-0.1971893,-0.005474855,-2.625645,0.415917,0.134895,-2.542842,-0.1425103,0.29929,-2.624331,0.2177584,0.3190823,-2.636812
-0.2361537,-0.2821576,-2.506262,0.6970329,0.0905217,-2.389526,-0.1971893,-0.005474855,-2.625645,0.415917,0.134895,-2.542842,-0.1425103,0.29929,-2.624331,0.2177584,0.3190823,-2.636812
-0.2361537,-0.2821576,-2.506262,0.6970329,0.0905217,-2.389526,-0.1971893,-0.005474855,-2.625645,0.415917,0.134895,-2.542842,-0.1425103,0.29929,-2.624331,0.2177584,0.3190823,-2.636812
-0.2361537,-0.2821576,-2.506262,0.6970329,0.0905217,-2.389526,-0.1971893,-0.005474855,-2.625645,0.415917,0.134895,-2.542842,-0.1425103,0.29929,-2.624331,0.2177584,0.3190823,-2.636812
-0.2364536,-0.2821366,-2.506413,0.7090371,0.1491196,-2.368474,-0.1971938,-0.005424391,-2.625621,0.4287179,0.1587864,-2.525632,-0.1425726,0.2993482,-2.624318,0.2177413,0.319062,-2.636795
-0.2364536,-0.2821366,-2.506413,0.7090371,0.1491196,-2.368474,-0.1971938,-0.005424391,-2.625621,0.4287179,0.1587864,-2.525632,-0.1425726,0.2993482,-2.624318,0.2177413,0.319062,-2.636795
-0.2366134,-0.2821154,-2.506356,0.7120422,0.2298198,-2.338501,-0.1972631,-0.005342318,-2.62555,0.4412329,0.1875149,-2.507849,-0.1426663,0.2994273,-2.624359,0.2177071,0.3190409,-2.636748
-0.2366134,-0.2821154,-2.506356,0.7120422,0.2298198,-2.338501,-0.1972631,-0.005342318,-2.62555,0.4412329,0.1875149,-2.507849,-0.1426663,0.2994273,-2.624359,0.2177071,0.3190409,-2.636748
-0.2367801,-0.2821001,-2.506415,0.6991088,0.3033243,-2.306379,-0.1976921,-0.004964735,-2.625217,0.4478599,0.2136616,-2.491293,-0.1427064,0.2994937,-2.62436,0.2176823,0.3189686,-2.636564
-0.2367801,-0.2821001,-2.506415,0.6991088,0.3033243,-2.306379,-0.1976921,-0.004964735,-2.625217,0.4478599,0.2136616,-2.491293,-0.1427064,0.2994937,-2.62436,0.2176823,0.3189686,-2.636564
-0.2368141,-0.2820906,-2.506434,0.6704943,0.3721397,-2.275292,-0.1983056,-0.004398712,-2.624649,0.4513502,0.2395744,-2.476703,-0.1427182,0.2994935,-2.624359,0.2176266,0.3186348,-2.636104
-0.2368141,-0.2820906,-2.506434,0.6704943,0.3721397,-2.275292,-0.1983056,-0.004398712,-2.624649,0.4513502,0.2395744,-2.476703,-0.1427182,0.2994935,-2.624359,0.2176266,0.3186348,-2.636104
-0.2368141,-0.2820906,-2.506434,0.6704943,0.3721397,-2.275292,-0.1983056,-0.004398712,-2.624649,0.4513502,0.2395744,-2.476703,-0.1427182,0.2994935,-2.624359,0.2176266,0.3186348,-2.636104
-0.2368141,-0.2820906,-2.506434,0.6704943,0.3721397,-2.275292,-0.1983056,-0.004398712,-2.624649,0.4513502,0.2395744,-2.476703,-0.1427182,0.2994935,-2.624359,0.2176266,0.3186348,-2.636104
-0.2368353,-0.2820764,-2.506409,0.635242,0.4316389,-2.255219,-0.1987003,-0.003967303,-2.624283,0.4517749,0.2670914,-2.463245,-0.1427619,0.2995073,-2.624418,0.2175764,0.3185392,-2.635835
-0.2368353,-0.2820764,-2.506409,0.635242,0.4316389,-2.255219,-0.1987003,-0.003967303,-2.624283,0.4517749,0.2670914,-2.463245,-0.1427619,0.2995073,-2.624418,0.2175764,0.3185392,-2.635835
-0.2368709,-0.2820525,-2.506323,0.6026674,0.4732782,-2.243479,-0.1988739,-0.003701223,-2.624079,0.448323,0.2899872,-2.451741,-0.1428613,0.2996459,-2.624798,0.2175571,0.3185205,-2.635669
-0.2368709,-0.2820525,-2.506323,0.6026674,0.4732782,-2.243479,-0.1988739,-0.003701223,-2.624079,0.448323,0.2899872,-2.451741,-0.1428613,0.2996459,-2.624798,0.2175571,0.3185205,-2.635669
-0.2368017,-0.2820261,-2.506098,0.5478665,0.5236619,-2.232619,-0.1989302,-0.003524617,-2.623979,0.4446962,0.3074445,-2.441067,-0.1428768,0.2998085,-2.625597,0.2175749,0.318503,-2.635572
-0.2368017,-0.2820261,-2.506098,0.5478665,0.5236619,-2.232619,-0.1989302,-0.003524617,-2.623979,0.4446962,0.3074445,-2.441067,-0.1428768,0.2998085,-2.625597,0.2175749,0.318503,-2.635572
-0.2367104,-0.2820184,-2.505789,0.4935368,0.5595466,-2.227263,-0.1989774,-0.003379179,-2.623856,0.4372163,0.3254982,-2.432051,-0.1428756,0.2999401,-2.625988,0.217617,0.3184699,-2.635322
-0.2367104,-0.2820184,-2.505789,0.4935368,0.5595466,-2.227263,-0.1989774,-0.003379179,-2.623856,0.4372163,0.3254982,-2.432051,-0.1428756,0.2999401,-2.625988,0.217617,0.3184699,-2.635322
-0.2366093,-0.2820277,-2.505419,0.4361999,0.5942903,-2.226605,-0.1989813,-0.003297818,-2.623739,0.425641,0.3478803,-2.420386,-0.1428751,0.3002528,-2.626799,0.2176607,0.3183673,-2.6348
-0.2366093,-0.2820277,-2.505419,0.4361999,0.5942903,-2.226605,-0.1989813,-0.003297818,-2.623739,0.425641,0.3478803,-2.420386,-0.1428751,0.3002528,-2.626799,0.2176607,0.3183673,-2.6348
-0.236542,-0.2820262,-2.505159,0.389465,0.6059592,-2.221429,-0.1989649,-0.003263006,-2.623672,0.4164301,0.361447,-2.414823,-0.143009,0.3009589,-2.628689,0.2175525,0.3182402,-2.633709
-0.236542,-0.2820262,-2.505159,0.389465,0.6059592,-2.221429,-0.1989649,-0.003263006,-2.623672,0.4164301,0.361447,-2.414823,-0.143009,0.3009589,-2.628689,0.2175525,0.3182402,-2.633709
-0.236542,-0.2820262,-2.505159,0.389465,0.6059592,-2.221429,-0.1989649,-0.003263006,-2.623672,0.4164301,0.361447,-2.414823,-0.143009,0.3009589,-2.628689,0.2175525,0.3182402,-2.633709
-0.236542,-0.2820262,-2.505159,0.389465,0.6059592,-2.221429,-0.1989649,-0.003263006,-2.623672,0.4164301,0.361447,-2.414823,-0.143009,0.3009589,-2.628689,0.2175525,0.3182402,-2.633709
-0.2365368,-0.2820281,-2.50515,0.3391473,0.6231115,-2.228031,-0.1989494,-0.003188105,-2.623597,0.4040951,0.3774633,-2.405752,-0.1430525,0.3017552,-2.630855,0.21744,0.3180529,-2.632257
-0.2365368,-0.2820281,-2.50515,0.3391473,0.6231115,-2.228031,-0.1989494,-0.003188105,-2.623597,0.4040951,0.3774633,-2.405752,-0.1430525,0.3017552,-2.630855,0.21744,0.3180529,-2.632257
-0.2365368,-0.2820281,-2.50515,0.3391473,0.6231115,-2.228031,-0.1989494,-0.003188105,-2.623597,0.4040951,0.3774633,-2.405752,-0.1430525,0.3017552,-2.630855,0.21744,0.3180529,-2.632257
-0.2359684,-0.2813628,-2.504723,0.2934478,0.6331902,-2.240721,-0.1988893,-0.002729238,-2.623433,0.3955689,0.3889471,-2.399193,-0.1430157,0.3023997,-2.632654,0.2174007,0.3178604,-2.630991
-0.2359684,-0.2813628,-2.504723,0.2934478,0.6331902,-2.240721,-0.1988893,-0.002729238,-2.623433,0.3955689,0.3889471,-2.399193,-0.1430157,0.3023997,-2.632654,0.2174007,0.3178604,-2.630991
-0.2353838,-0.2811109,-2.504398,0.2517318,0.6393903,-2.25326,-0.1987423,-0.00238672,-2.623177,0.3833854,0.4002482,-2.392201,-0.1430382,0.3031048,-2.634294,0.2173437,0.3177667,-2.630071
-0.2353838,-0.2811109,-2.504398,0.2517318,0.6393903,-2.25326,-0.1987423,-0.00238672,-2.623177,0.3833854,0.4002482,-2.392201,-0.1430382,0.3031048,-2.634294,0.2173437,0.3177667,-2.630071
-0.2346539,-0.2809218,-2.503768,0.2213409,0.640238,-2.263974,-0.1985621,-0.002179823,-2.622934,0.3758019,0.4071071,-2.390476,-0.1430783,0.3036277,-2.635532,0.2173071,0.3176762,-2.629472
-0.2346539,-0.2809218,-2.503768,0.2213409,0.640238,-2.263974,-0.1985621,-0.002179823,-2.622934,0.3758019,0.4071071,-2.390476,-0.1430783,0.3036277,-2.635532,0.2173071,0.3176762,-2.629472
-0.2339791,-0.2808239,-2.503176,0.1891157,0.6401476,-2.273293,-0.1985437,-0.002132484,-2.622892,0.3634258,0.4158675,-2.387583,-0.1431199,0.3043589,-2.637324,0.2172847,0.3176467,-2.629179
-0.2339791,-0.2808239,-2.503176,0.1891157,0.6401476,-2.273293,-0.1985437,-0.002132484,-2.622892,0.3634258,0.4158675,-2.387583,-0.1431199,0.3043589,-2.637324,0.2172847,0.3176467,-2.629179
-0.2332975,-0.2807758,-2.502508,0.1640474,0.6405171,-2.284503,-0.1984229,-0.00203193,-2.62274,0.3534932,0.4230444,-2.385487,-0.1431566,0.3044857,-2.638029,0.2172505,0.3174432,-2.628665
-0.2332975,-0.2807758,-2.502508,0.1640474,0.6405171,-2.284503,-0.1984229,-0.00203193,-2.62274,0.3534932,0.4230444,-2.385487,-0.1431566,0.3044857,-2.638029,0.2172505,0.3174432,-2.628665
-0.2332975,-0.2807758,-2.502508,0.1640474,0.6405171,-2.284503,-0.1984229,-0.00203193,-2.62274,0.3534932,0.4230444,-2.385487,-0.1431566,0.3044857,-2.638029,0.2172505,0.3174432,-2.628665
-0.2332975,-0.2807758,-2.502508,0.1640474,0.6405171,-2.284503,-0.1984229,-0.00203193,-2.62274,0.3534932,0.4230444,-2.385487,-0.1431566,0.3044857,-2.638029,0.2172505,0.3174432,-2.628665
-0.2329388,-0.2807674,-2.502297,0.1446485,0.6357418,-2.293869,-0.1982591,-0.001862082,-2.622525,0.3485177,0.4266658,-2.385431,-0.1432041,0.3045944,-2.638536,0.2172039,0.3172416,-2.628153
