Hand_R, , ,Shoulder_R, , 
0.6778729,0.09984597,-2.550528,0.1326428,0.2509439,-2.571656
0.6778729,0.09984597,-2.550528,0.1326428,0.2509439,-2.571656
0.6778729,0.09984597,-2.550528,0.1326428,0.2509439,-2.571656
0.6778729,0.09984597,-2.550528,0.1326428,0.2509439,-2.571656
0.7066339,0.1744045,-2.548402,0.1353315,0.2519943,-2.574873
0.7066339,0.1744045,-2.548402,0.1353315,0.2519943,-2.574873
0.7147591,0.2533157,-2.530347,0.1391852,0.2527855,-2.577715
0.7147591,0.2533157,-2.530347,0.1391852,0.2527855,-2.577715
0.6879919,0.3966444,-2.496576,0.1465974,0.260135,-2.578405
0.6879919,0.3966444,-2.496576,0.1465974,0.260135,-2.578405
0.6879919,0.3966444,-2.496576,0.1465974,0.260135,-2.578405
0.6614038,0.4780115,-2.474512,0.1463976,0.2764075,-2.587195
0.6614038,0.4780115,-2.474512,0.1463976,0.2764075,-2.587195
0.6278214,0.5492007,-2.451432,0.143346,0.2783534,-2.589643
0.6278214,0.5492007,-2.451432,0.143346,0.2783534,-2.589643
0.6278214,0.5492007,-2.451432,0.143346,0.2783534,-2.589643
0.6278214,0.5492007,-2.451432,0.143346,0.2783534,-2.589643
0.5829917,0.6049532,-2.42952,0.1428602,0.2797555,-2.589052
0.5829917,0.6049532,-2.42952,0.1428602,0.2797555,-2.589052
0.536952,0.6577545,-2.420318,0.1433502,0.2809069,-2.592055
0.536952,0.6577545,-2.420318,0.1433502,0.2809069,-2.592055
0.476242,0.6942999,-2.396025,0.1431023,0.2816721,-2.59404
0.476242,0.6942999,-2.396025,0.1431023,0.2816721,-2.59404
0.4192781,0.7010181,-2.390515,0.1420096,0.284325,-2.597981
0.4192781,0.7010181,-2.390515,0.1420096,0.284325,-2.597981
0.3604861,0.6938397,-2.37535,0.1407476,0.2865176,-2.601327
0.3604861,0.6938397,-2.37535,0.1407476,0.2865176,-2.601327
0.3074268,0.6832911,-2.370882,0.1405863,0.286162,-2.601445
0.3074268,0.6832911,-2.370882,0.1405863,0.286162,-2.601445
0.2582876,0.6890433,-2.368757,0.1395344,0.2871068,-2.604013
0.2582876,0.6890433,-2.368757,0.1395344,0.2871068,-2.604013
0.2039568,0.6869606,-2.35349,0.1386477,0.2889754,-2.607515
0.2039568,0.6869606,-2.35349,0.1386477,0.2889754,-2.607515
0.1482299,0.6898771,-2.343825,0.137567,0.2965756,-2.609371
0.1482299,0.6898771,-2.343825,0.137567,0.2965756,-2.609371
0.1482299,0.6898771,-2.343825,0.137567,0.2965756,-2.609371
0.1482299,0.6898771,-2.343825,0.137567,0.2965756,-2.609371
0.1020409,0.6939334,-2.340302,0.1374059,0.2959685,-2.607228
0.1020409,0.6939334,-2.340302,0.1374059,0.2959685,-2.607228
0.1020409,0.6939334,-2.340302,0.1374059,0.2959685,-2.607228
0.1020409,0.6939334,-2.340302,0.1374059,0.2959685,-2.607228
0.05767183,0.6867707,-2.335333,0.1366975,0.2988082,-2.607419
0.05767183,0.6867707,-2.335333,0.1366975,0.2988082,-2.607419
0.0237359,0.6790483,-2.349289,0.1360872,0.2999295,-2.60864
0.0237359,0.6790483,-2.349289,0.1360872,0.2999295,-2.60864
0.0237359,0.6790483,-2.349289,0.1360872,0.2999295,-2.60864
0.0237359,0.6790483,-2.349289,0.1360872,0.2999295,-2.60864
0.0237359,0.6790483,-2.349289,0.1360872,0.2999295,-2.60864
0.002668686,0.6701229,-2.357173,0.1352795,0.3044219,-2.609891
0.002668686,0.6701229,-2.357173,0.1352795,0.3044219,-2.609891
0.002668686,0.6701229,-2.357173,0.1352795,0.3044219,-2.609891
0.002668686,0.6701229,-2.357173,0.1352795,0.3044219,-2.609891
-0.00815471,0.6522294,-2.357734,0.1348183,0.3058832,-2.60989
-0.00815471,0.6522294,-2.357734,0.1348183,0.3058832,-2.60989
-0.03170855,0.6320108,-2.357705,0.1325012,0.3082949,-2.610315
-0.03170855,0.6320108,-2.357705,0.1325012,0.3082949,-2.610315
-0.04057592,0.623617,-2.364179,0.13215,0.3066497,-2.609263
-0.04057592,0.623617,-2.364179,0.13215,0.3066497,-2.609263
-0.04217687,0.6214957,-2.372436,0.1313606,0.30804,-2.61197
-0.04217687,0.6214957,-2.372436,0.1313606,0.30804,-2.61197
-0.04228954,0.6181219,-2.370511,0.1302639,0.3085337,-2.611902
-0.04228954,0.6181219,-2.370511,0.1302639,0.3085337,-2.611902
-0.04353858,0.6135669,-2.366348,0.1261864,0.3096869,-2.61182
-0.04353858,0.6135669,-2.366348,0.1261864,0.3096869,-2.61182
-0.04999203,0.6118034,-2.369834,0.1253986,0.3087149,-2.613215
-0.04999203,0.6118034,-2.369834,0.1253986,0.3087149,-2.613215
-0.04737429,0.6106241,-2.369138,0.1254375,0.3075657,-2.614697
-0.04737429,0.6106241,-2.369138,0.1254375,0.3075657,-2.614697
-0.04986503,0.6093485,-2.369253,0.1250768,0.3063438,-2.614785
-0.04986503,0.6093485,-2.369253,0.1250768,0.3063438,-2.614785
-0.04914842,0.6086861,-2.361513,0.1245623,0.3065657,-2.612467
-0.04914842,0.6086861,-2.361513,0.1245623,0.3065657,-2.612467
-0.04157985,0.6056255,-2.360965,0.1234631,0.308545,-2.609588
-0.04157985,0.6056255,-2.360965,0.1234631,0.308545,-2.609588
-0.04157985,0.6056255,-2.360965,0.1234631,0.308545,-2.609588
-0.04157985,0.6056255,-2.360965,0.1234631,0.308545,-2.609588
-0.05146171,0.6141718,-2.351709,0.1209675,0.3128069,-2.601241
