Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
0.1284961,0.4121056,-2.062239,-0.03934364,0.2623441,-2.225706,-0.06232291,0.2654329,-2.531865
0.1539104,0.3736939,-2.069139,-0.02535529,0.240986,-2.234539,-0.0631049,0.2704962,-2.529815
0.1539104,0.3736939,-2.069139,-0.02535529,0.240986,-2.234539,-0.0631049,0.2704962,-2.529815
0.1812075,0.3270037,-2.0835,-0.01354427,0.2174846,-2.244086,-0.06396081,0.2726347,-2.527957
0.1812075,0.3270037,-2.0835,-0.01354427,0.2174846,-2.244086,-0.06396081,0.2726347,-2.527957
0.2025908,0.270658,-2.098266,-0.005238225,0.1957693,-2.256293,-0.06466288,0.2742325,-2.526979
0.2025908,0.270658,-2.098266,-0.005238225,0.1957693,-2.256293,-0.06466288,0.2742325,-2.526979
0.2025908,0.270658,-2.098266,-0.005238225,0.1957693,-2.256293,-0.06466288,0.2742325,-2.526979
0.2025908,0.270658,-2.098266,-0.005238225,0.1957693,-2.256293,-0.06466288,0.2742325,-2.526979
0.2183114,0.2227177,-2.11141,0.001502601,0.172459,-2.271443,-0.06522747,0.2754505,-2.526617
0.2183114,0.2227177,-2.11141,0.001502601,0.172459,-2.271443,-0.06522747,0.2754505,-2.526617
0.2244304,0.1492605,-2.141329,0.001550457,0.1508732,-2.289778,-0.06597153,0.2765291,-2.526573
0.2244304,0.1492605,-2.141329,0.001550457,0.1508732,-2.289778,-0.06597153,0.2765291,-2.526573
0.223321,0.1053913,-2.156576,0.0006573605,0.131352,-2.305397,-0.06658436,0.2773758,-2.526662
0.223321,0.1053913,-2.156576,0.0006573605,0.131352,-2.305397,-0.06658436,0.2773758,-2.526662
0.223321,0.1053913,-2.156576,0.0006573605,0.131352,-2.305397,-0.06658436,0.2773758,-2.526662
0.2245747,0.0513953,-2.180068,-9.240208E-05,0.110796,-2.32136,-0.06706137,0.2779897,-2.526819
0.2245747,0.0513953,-2.180068,-9.240208E-05,0.110796,-2.32136,-0.06706137,0.2779897,-2.526819
0.2245747,0.0513953,-2.180068,-9.240208E-05,0.110796,-2.32136,-0.06706137,0.2779897,-2.526819
0.2245747,0.0513953,-2.180068,-9.240208E-05,0.110796,-2.32136,-0.06706137,0.2779897,-2.526819
