Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
-0.244807,0.5527965,-2.036264,-0.1933129,0.3357745,-2.211284,-0.06126794,0.2984524,-2.483431
-0.244807,0.5527965,-2.036264,-0.1933129,0.3357745,-2.211284,-0.06126794,0.2984524,-2.483431
-0.2835089,0.5439283,-2.039233,-0.2110116,0.3306141,-2.213448,-0.06128272,0.2984711,-2.48345
-0.2835089,0.5439283,-2.039233,-0.2110116,0.3306141,-2.213448,-0.06128272,0.2984711,-2.48345
-0.2835089,0.5439283,-2.039233,-0.2110116,0.3306141,-2.213448,-0.06128272,0.2984711,-2.48345
-0.2835089,0.5439283,-2.039233,-0.2110116,0.3306141,-2.213448,-0.06128272,0.2984711,-2.48345
-0.3299279,0.5200709,-2.042583,-0.2270616,0.3231651,-2.218709,-0.06131195,0.2984963,-2.483496
-0.3299279,0.5200709,-2.042583,-0.2270616,0.3231651,-2.218709,-0.06131195,0.2984963,-2.483496
-0.3694646,0.489416,-2.045597,-0.2468767,0.3097653,-2.225991,-0.06132542,0.2984969,-2.483509
-0.3694646,0.489416,-2.045597,-0.2468767,0.3097653,-2.225991,-0.06132542,0.2984969,-2.483509
-0.3694646,0.489416,-2.045597,-0.2468767,0.3097653,-2.225991,-0.06132542,0.2984969,-2.483509
-0.3694646,0.489416,-2.045597,-0.2468767,0.3097653,-2.225991,-0.06132542,0.2984969,-2.483509
-0.3694646,0.489416,-2.045597,-0.2468767,0.3097653,-2.225991,-0.06132542,0.2984969,-2.483509
-0.3694646,0.489416,-2.045597,-0.2468767,0.3097653,-2.225991,-0.06132542,0.2984969,-2.483509
-0.4052308,0.4534868,-2.053577,-0.2606096,0.2976484,-2.234388,-0.06133977,0.2985059,-2.483529
-0.4052308,0.4534868,-2.053577,-0.2606096,0.2976484,-2.234388,-0.06133977,0.2985059,-2.483529
-0.4627858,0.3575012,-2.074119,-0.2779551,0.2663631,-2.251552,-0.06138002,0.2984907,-2.48357
-0.4627858,0.3575012,-2.074119,-0.2779551,0.2663631,-2.251552,-0.06138002,0.2984907,-2.48357
-0.4627858,0.3575012,-2.074119,-0.2779551,0.2663631,-2.251552,-0.06138002,0.2984907,-2.48357
-0.4627858,0.3575012,-2.074119,-0.2779551,0.2663631,-2.251552,-0.06138002,0.2984907,-2.48357
-0.4837534,0.2906191,-2.09208,-0.2854696,0.2378447,-2.270309,-0.06143694,0.2984815,-2.483644
-0.4837534,0.2906191,-2.09208,-0.2854696,0.2378447,-2.270309,-0.06143694,0.2984815,-2.483644
-0.4943824,0.2262641,-2.111486,-0.2877524,0.2186007,-2.285238,-0.06152329,0.2985052,-2.483756
-0.4943824,0.2262641,-2.111486,-0.2877524,0.2186007,-2.285238,-0.06152329,0.2985052,-2.483756
-0.4943824,0.2262641,-2.111486,-0.2877524,0.2186007,-2.285238,-0.06152329,0.2985052,-2.483756
-0.4943824,0.2262641,-2.111486,-0.2877524,0.2186007,-2.285238,-0.06152329,0.2985052,-2.483756
-0.4943824,0.2262641,-2.111486,-0.2877524,0.2186007,-2.285238,-0.06152329,0.2985052,-2.483756
-0.4937748,0.1651831,-2.119953,-0.2891756,0.1990359,-2.297309,-0.06164145,0.2985747,-2.483952
-0.4937748,0.1651831,-2.119953,-0.2891756,0.1990359,-2.297309,-0.06164145,0.2985747,-2.483952
-0.487097,0.1119533,-2.126008,-0.2877009,0.1759358,-2.308438,-0.06178015,0.2985765,-2.484185
-0.487097,0.1119533,-2.126008,-0.2877009,0.1759358,-2.308438,-0.06178015,0.2985765,-2.484185
-0.487097,0.1119533,-2.126008,-0.2877009,0.1759358,-2.308438,-0.06178015,0.2985765,-2.484185
-0.487097,0.1119533,-2.126008,-0.2877009,0.1759358,-2.308438,-0.06178015,0.2985765,-2.484185
-0.4512945,0.03234103,-2.141648,-0.2799447,0.1532011,-2.321929,-0.06193287,0.2985831,-2.484444
-0.4512945,0.03234103,-2.141648,-0.2799447,0.1532011,-2.321929,-0.06193287,0.2985831,-2.484444
-0.4292223,-0.01298762,-2.148935,-0.2668653,0.1226149,-2.33645,-0.06209008,0.298599,-2.484754
-0.4292223,-0.01298762,-2.148935,-0.2668653,0.1226149,-2.33645,-0.06209008,0.298599,-2.484754
-0.4292223,-0.01298762,-2.148935,-0.2668653,0.1226149,-2.33645,-0.06209008,0.298599,-2.484754
-0.4292223,-0.01298762,-2.148935,-0.2668653,0.1226149,-2.33645,-0.06209008,0.298599,-2.484754
-0.3575264,-0.1027343,-2.161915,-0.2482104,0.08906382,-2.352746,-0.06226125,0.2985924,-2.485095
-0.3575264,-0.1027343,-2.161915,-0.2482104,0.08906382,-2.352746,-0.06226125,0.2985924,-2.485095
-0.3575264,-0.1027343,-2.161915,-0.2482104,0.08906382,-2.352746,-0.06226125,0.2985924,-2.485095
-0.3575264,-0.1027343,-2.161915,-0.2482104,0.08906382,-2.352746,-0.06226125,0.2985924,-2.485095
-0.3164102,-0.1408758,-2.172193,-0.2300834,0.0696934,-2.362202,-0.06240309,0.2986259,-2.485334
-0.3164102,-0.1408758,-2.172193,-0.2300834,0.0696934,-2.362202,-0.06240309,0.2986259,-2.485334
-0.2747769,-0.1717053,-2.173016,-0.2090062,0.04834833,-2.368757,-0.062556,0.298566,-2.485541
-0.2747769,-0.1717053,-2.173016,-0.2090062,0.04834833,-2.368757,-0.062556,0.298566,-2.485541
-0.2747769,-0.1717053,-2.173016,-0.2090062,0.04834833,-2.368757,-0.062556,0.298566,-2.485541
-0.2747769,-0.1717053,-2.173016,-0.2090062,0.04834833,-2.368757,-0.062556,0.298566,-2.485541
-0.2036212,-0.2036365,-2.177853,-0.1888124,0.0342733,-2.371954,-0.06265483,0.2985653,-2.485699
-0.2036212,-0.2036365,-2.177853,-0.1888124,0.0342733,-2.371954,-0.06265483,0.2985653,-2.485699
-0.1505007,-0.2162372,-2.17611,-0.1643608,0.02321556,-2.372726,-0.06279543,0.2985586,-2.485879
-0.1505007,-0.2162372,-2.17611,-0.1643608,0.02321556,-2.372726,-0.06279543,0.2985586,-2.485879
-0.1505007,-0.2162372,-2.17611,-0.1643608,0.02321556,-2.372726,-0.06279543,0.2985586,-2.485879
-0.1505007,-0.2162372,-2.17611,-0.1643608,0.02321556,-2.372726,-0.06279543,0.2985586,-2.485879
-0.09523877,-0.2162316,-2.192098,-0.150949,0.0214336,-2.375424,-0.06297857,0.2985453,-2.486012
-0.09523877,-0.2162316,-2.192098,-0.150949,0.0214336,-2.375424,-0.06297857,0.2985453,-2.486012
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.03821474,-0.1672087,-2.231181,-0.1110298,0.03181819,-2.377164,-0.06324756,0.2985017,-2.485931
0.03821474,-0.1672087,-2.231181,-0.1110298,0.03181819,-2.377164,-0.06324756,0.2985017,-2.485931
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1669752,-0.1014049,-2.197531,-0.05173301,0.04081006,-2.355419,-0.06368046,0.2982416,-2.485251
0.1669752,-0.1014049,-2.197531,-0.05173301,0.04081006,-2.355419,-0.06368046,0.2982416,-2.485251
0.1669752,-0.1014049,-2.197531,-0.05173301,0.04081006,-2.355419,-0.06368046,0.2982416,-2.485251
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2484232,-0.005511183,-2.161359,-0.004195163,0.06351396,-2.32002,-0.0638271,0.2980292,-2.483802
0.2484232,-0.005511183,-2.161359,-0.004195163,0.06351396,-2.32002,-0.0638271,0.2980292,-2.483802
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
