Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.3509766,0.5490703,-2.126141,0.3067577,0.3248375,-2.285517,0.1424006,0.2936594,-2.555605
0.4534759,0.5018919,-2.139197,0.3368524,0.3146829,-2.300431,0.1426426,0.2940653,-2.555835
0.4534759,0.5018919,-2.139197,0.3368524,0.3146829,-2.300431,0.1426426,0.2940653,-2.555835
0.4534759,0.5018919,-2.139197,0.3368524,0.3146829,-2.300431,0.1426426,0.2940653,-2.555835
0.4534759,0.5018919,-2.139197,0.3368524,0.3146829,-2.300431,0.1426426,0.2940653,-2.555835
0.4534759,0.5018919,-2.139197,0.3368524,0.3146829,-2.300431,0.1426426,0.2940653,-2.555835
0.5012007,0.4595271,-2.150168,0.3592276,0.2998194,-2.318478,0.1427758,0.2942788,-2.555967
0.5012007,0.4595271,-2.150168,0.3592276,0.2998194,-2.318478,0.1427758,0.2942788,-2.555967
0.532519,0.4069862,-2.162389,0.3731873,0.2852265,-2.339767,0.1429343,0.2944736,-2.556126
0.532519,0.4069862,-2.162389,0.3731873,0.2852265,-2.339767,0.1429343,0.2944736,-2.556126
0.5760251,0.330234,-2.181476,0.3861022,0.2638928,-2.359032,0.1430299,0.2946095,-2.556274
0.5760251,0.330234,-2.181476,0.3861022,0.2638928,-2.359032,0.1430299,0.2946095,-2.556274
0.5760251,0.330234,-2.181476,0.3861022,0.2638928,-2.359032,0.1430299,0.2946095,-2.556274
0.5760251,0.330234,-2.181476,0.3861022,0.2638928,-2.359032,0.1430299,0.2946095,-2.556274
0.5969098,0.2784617,-2.197263,0.3944325,0.2388932,-2.377589,0.1430891,0.2946551,-2.556316
0.5969098,0.2784617,-2.197263,0.3944325,0.2388932,-2.377589,0.1430891,0.2946551,-2.556316
0.6105103,0.2207371,-2.216547,0.3967794,0.2142043,-2.394579,0.1431486,0.2947873,-2.556415
0.6105103,0.2207371,-2.216547,0.3967794,0.2142043,-2.394579,0.1431486,0.2947873,-2.556415
0.6105103,0.2207371,-2.216547,0.3967794,0.2142043,-2.394579,0.1431486,0.2947873,-2.556415
0.6105103,0.2207371,-2.216547,0.3967794,0.2142043,-2.394579,0.1431486,0.2947873,-2.556415
0.6029795,0.1362552,-2.250887,0.3913659,0.197265,-2.41183,0.1432579,0.2952609,-2.556978
0.6029795,0.1362552,-2.250887,0.3913659,0.197265,-2.41183,0.1432579,0.2952609,-2.556978
0.5868002,0.07993644,-2.277775,0.3811969,0.1798895,-2.429454,0.1432731,0.2953067,-2.557009
