Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.4049253,-0.196691,-2.762159,0.311903,-0.2589885,-2.6198,-0.1862295,0.02378085,-2.733337,0.3454736,0.02442581,-2.617226,-0.07836118,0.3127104,-2.694648,0.2693133,0.3108673,-2.611983
-0.4514926,-0.1520118,-2.778279,0.3139171,-0.258974,-2.624272,-0.202045,0.03697327,-2.741427,0.3478467,0.02435182,-2.622702,-0.07770655,0.3128416,-2.694021,0.2702555,0.3107832,-2.61124
-0.4514926,-0.1520118,-2.778279,0.3139171,-0.258974,-2.624272,-0.202045,0.03697327,-2.741427,0.3478467,0.02435182,-2.622702,-0.07770655,0.3128416,-2.694021,0.2702555,0.3107832,-2.61124
-0.4514926,-0.1520118,-2.778279,0.3139171,-0.258974,-2.624272,-0.202045,0.03697327,-2.741427,0.3478467,0.02435182,-2.622702,-0.07770655,0.3128416,-2.694021,0.2702555,0.3107832,-2.61124
-0.4514926,-0.1520118,-2.778279,0.3139171,-0.258974,-2.624272,-0.202045,0.03697327,-2.741427,0.3478467,0.02435182,-2.622702,-0.07770655,0.3128416,-2.694021,0.2702555,0.3107832,-2.61124
-0.5099378,-0.07291918,-2.783766,0.3164888,-0.2588978,-2.628158,-0.2283585,0.06605943,-2.752508,0.3492393,0.02442287,-2.625548,-0.07646873,0.3129279,-2.692356,0.2714735,0.3107239,-2.610826
-0.5099378,-0.07291918,-2.783766,0.3164888,-0.2588978,-2.628158,-0.2283585,0.06605943,-2.752508,0.3492393,0.02442287,-2.625548,-0.07646873,0.3129279,-2.692356,0.2714735,0.3107239,-2.610826
-0.5938193,0.08240187,-2.775876,0.3175759,-0.258952,-2.628959,-0.2823322,0.1366832,-2.748755,0.3499493,0.02437963,-2.626791,-0.07484385,0.3128218,-2.689782,0.2729792,0.3104597,-2.610108
-0.5938193,0.08240187,-2.775876,0.3175759,-0.258952,-2.628959,-0.2823322,0.1366832,-2.748755,0.3499493,0.02437963,-2.626791,-0.07484385,0.3128218,-2.689782,0.2729792,0.3104597,-2.610108
-0.5938193,0.08240187,-2.775876,0.3175759,-0.258952,-2.628959,-0.2823322,0.1366832,-2.748755,0.3499493,0.02437963,-2.626791,-0.07484385,0.3128218,-2.689782,0.2729792,0.3104597,-2.610108
-0.5938193,0.08240187,-2.775876,0.3175759,-0.258952,-2.628959,-0.2823322,0.1366832,-2.748755,0.3499493,0.02437963,-2.626791,-0.07484385,0.3128218,-2.689782,0.2729792,0.3104597,-2.610108
-0.6295772,0.1646814,-2.767498,0.3182359,-0.2590977,-2.629243,-0.3132714,0.1792324,-2.737588,0.350468,0.02420325,-2.627629,-0.07335146,0.3128806,-2.687254,0.2742962,0.3103472,-2.609644
