Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.1042891,-0.3180289,-2.531912,0.6614214,-0.04947786,-2.925031,-0.1251598,-0.01119343,-2.545609,0.4250845,0.09676232,-2.795006,-0.0749634,0.3013753,-2.60921,0.2761663,0.3291214,-2.673779
-0.1042891,-0.3180289,-2.531912,0.6614214,-0.04947786,-2.925031,-0.1251598,-0.01119343,-2.545609,0.4250845,0.09676232,-2.795006,-0.0749634,0.3013753,-2.60921,0.2761663,0.3291214,-2.673779
-0.1042891,-0.3180289,-2.531912,0.6614214,-0.04947786,-2.925031,-0.1251598,-0.01119343,-2.545609,0.4250845,0.09676232,-2.795006,-0.0749634,0.3013753,-2.60921,0.2761663,0.3291214,-2.673779
-0.1042891,-0.3180289,-2.531912,0.6614214,-0.04947786,-2.925031,-0.1251598,-0.01119343,-2.545609,0.4250845,0.09676232,-2.795006,-0.0749634,0.3013753,-2.60921,0.2761663,0.3291214,-2.673779
-0.1106945,-0.3202273,-2.546933,0.7330964,0.02926847,-2.934785,-0.1300899,-0.01314066,-2.557203,0.4591199,0.1217077,-2.801245,-0.07564808,0.3015039,-2.60854,0.2757991,0.3291575,-2.673728
-0.1106945,-0.3202273,-2.546933,0.7330964,0.02926847,-2.934785,-0.1300899,-0.01314066,-2.557203,0.4591199,0.1217077,-2.801245,-0.07564808,0.3015039,-2.60854,0.2757991,0.3291575,-2.673728
-0.1264871,-0.3233598,-2.566599,0.8109956,0.1855685,-2.918403,-0.1319199,-0.01417039,-2.563557,0.5153309,0.2112532,-2.791728,-0.07859582,0.2940943,-2.60719,0.2740822,0.3257455,-2.672594
-0.1264871,-0.3233598,-2.566599,0.8109956,0.1855685,-2.918403,-0.1319199,-0.01417039,-2.563557,0.5153309,0.2112532,-2.791728,-0.07859582,0.2940943,-2.60719,0.2740822,0.3257455,-2.672594
-0.1360254,-0.324765,-2.574634,0.8395751,0.2689291,-2.908948,-0.1347738,-0.01549135,-2.568552,0.5404503,0.2631158,-2.78223,-0.0791317,0.2938263,-2.606991,0.2735749,0.3255999,-2.672162
-0.1360254,-0.324765,-2.574634,0.8395751,0.2689291,-2.908948,-0.1347738,-0.01549135,-2.568552,0.5404503,0.2631158,-2.78223,-0.0791317,0.2938263,-2.606991,0.2735749,0.3255999,-2.672162
-0.144748,-0.3277744,-2.580185,0.8543672,0.3526961,-2.882313,-0.1386716,-0.01817933,-2.573884,0.5554202,0.3119082,-2.757197,-0.07971366,0.2937492,-2.606823,0.2729562,0.3256603,-2.671681
