Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.098106,0.2398516,-2.175913,0.002155211,0.2060149,-2.33449,-0.06476954,0.1063654,-2.459898,0.1988277,0.2697999,-2.382891,-0.05985146,0.2784624,-2.574404,0.1673793,0.2876681,-2.571051
-0.1000279,0.2692097,-2.184884,0.009198225,0.2079624,-2.330096,-0.06217677,0.136206,-2.454698,0.1628367,0.210084,-2.453204,-0.05990946,0.277423,-2.575243,0.1671199,0.286788,-2.571428
-0.1000279,0.2692097,-2.184884,0.009198225,0.2079624,-2.330096,-0.06217677,0.136206,-2.454698,0.1628367,0.210084,-2.453204,-0.05990946,0.277423,-2.575243,0.1671199,0.286788,-2.571428
-0.07779762,0.2776955,-2.20992,0.01122076,0.2084324,-2.327873,-0.1170247,0.2285155,-2.418925,0.1669682,0.1969838,-2.457644,-0.05988815,0.277415,-2.575841,0.1671951,0.2866324,-2.571819
-0.07779762,0.2776955,-2.20992,0.01122076,0.2084324,-2.327873,-0.1170247,0.2285155,-2.418925,0.1669682,0.1969838,-2.457644,-0.05988815,0.277415,-2.575841,0.1671951,0.2866324,-2.571819
-0.08713804,0.3526132,-2.18092,0.01443322,0.2069833,-2.323438,-0.1229155,0.2426979,-2.41736,0.1694217,0.1867462,-2.458613,-0.06005893,0.2783127,-2.577893,0.1666969,0.2869548,-2.572296
-0.08713804,0.3526132,-2.18092,0.01443322,0.2069833,-2.323438,-0.1229155,0.2426979,-2.41736,0.1694217,0.1867462,-2.458613,-0.06005893,0.2783127,-2.577893,0.1666969,0.2869548,-2.572296
-0.08713804,0.3526132,-2.18092,0.01443322,0.2069833,-2.323438,-0.1229155,0.2426979,-2.41736,0.1694217,0.1867462,-2.458613,-0.06005893,0.2783127,-2.577893,0.1666969,0.2869548,-2.572296
-0.08713804,0.3526132,-2.18092,0.01443322,0.2069833,-2.323438,-0.1229155,0.2426979,-2.41736,0.1694217,0.1867462,-2.458613,-0.06005893,0.2783127,-2.577893,0.1666969,0.2869548,-2.572296
-0.08955782,0.3642811,-2.186381,0.1641338,0.1019735,-2.201566,-0.1259023,0.2503456,-2.417817,0.1730795,0.1692974,-2.455754,-0.06041618,0.2799068,-2.580665,0.1658015,0.2877684,-2.572693
-0.08955782,0.3642811,-2.186381,0.1641338,0.1019735,-2.201566,-0.1259023,0.2503456,-2.417817,0.1730795,0.1692974,-2.455754,-0.06041618,0.2799068,-2.580665,0.1658015,0.2877684,-2.572693
-0.06048775,0.4717883,-2.052911,0.1626763,0.0291075,-2.145261,-0.1327667,0.2730275,-2.405196,0.182204,0.1427484,-2.446002,-0.06059013,0.2805246,-2.581601,0.1656833,0.2881756,-2.57303
-0.06048775,0.4717883,-2.052911,0.1626763,0.0291075,-2.145261,-0.1327667,0.2730275,-2.405196,0.182204,0.1427484,-2.446002,-0.06059013,0.2805246,-2.581601,0.1656833,0.2881756,-2.57303
-0.06019214,0.4735382,-2.051839,0.1627538,0.01816573,-2.140203,-0.1377564,0.2901708,-2.391438,0.185782,0.1314253,-2.441039,-0.06077821,0.2812984,-2.58244,0.1658887,0.2886729,-2.573338
