Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.04435988,0.3557869,-2.168871,0.1443399,0.0009185509,-2.261137,-0.1093832,0.2754502,-2.367242,0.1998718,0.1038343,-2.399003,-0.05722816,0.2958695,-2.595383,0.2053522,0.298902,-2.588505
-0.04435988,0.3557869,-2.168871,0.1443399,0.0009185509,-2.261137,-0.1093832,0.2754502,-2.367242,0.1998718,0.1038343,-2.399003,-0.05722816,0.2958695,-2.595383,0.2053522,0.298902,-2.588505
-0.04435988,0.3557869,-2.168871,0.1443399,0.0009185509,-2.261137,-0.1093832,0.2754502,-2.367242,0.1998718,0.1038343,-2.399003,-0.05722816,0.2958695,-2.595383,0.2053522,0.298902,-2.588505
-0.04435988,0.3557869,-2.168871,0.1443399,0.0009185509,-2.261137,-0.1093832,0.2754502,-2.367242,0.1998718,0.1038343,-2.399003,-0.05722816,0.2958695,-2.595383,0.2053522,0.298902,-2.588505
-0.009634753,0.3170904,-2.222834,0.1383834,0.009909289,-2.265913,-0.1064126,0.2601846,-2.383322,0.1992637,0.1044369,-2.402341,-0.05811939,0.2946287,-2.597749,0.2033353,0.2980382,-2.590637
-0.009634753,0.3170904,-2.222834,0.1383834,0.009909289,-2.265913,-0.1064126,0.2601846,-2.383322,0.1992637,0.1044369,-2.402341,-0.05811939,0.2946287,-2.597749,0.2033353,0.2980382,-2.590637
-0.009634753,0.3170904,-2.222834,0.1383834,0.009909289,-2.265913,-0.1064126,0.2601846,-2.383322,0.1992637,0.1044369,-2.402341,-0.05811939,0.2946287,-2.597749,0.2033353,0.2980382,-2.590637
-0.009634753,0.3170904,-2.222834,0.1383834,0.009909289,-2.265913,-0.1064126,0.2601846,-2.383322,0.1992637,0.1044369,-2.402341,-0.05811939,0.2946287,-2.597749,0.2033353,0.2980382,-2.590637
-0.002363141,0.3110608,-2.230455,0.1301197,0.01710864,-2.270465,-0.1001153,0.245541,-2.386078,0.1996582,0.1500799,-2.411808,-0.05846123,0.2938652,-2.599054,0.2025102,0.2977784,-2.591849
-0.002363141,0.3110608,-2.230455,0.1301197,0.01710864,-2.270465,-0.1001153,0.245541,-2.386078,0.1996582,0.1500799,-2.411808,-0.05846123,0.2938652,-2.599054,0.2025102,0.2977784,-2.591849
