Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
0.1329507,-0.09656819,-2.469476,0.6309826,0.4484355,-2.521544,0.1195828,0.0268825,-2.752387,0.6666403,0.1869629,-2.632227,0.1858098,0.3127855,-2.8321,0.5350837,0.3111052,-2.798892
0.1273645,-0.07052449,-2.456076,0.6277816,0.4301733,-2.496529,0.122094,0.02301436,-2.752662,0.6639476,0.1851172,-2.631155,0.185797,0.3127571,-2.832104,0.5350574,0.3111652,-2.799056
0.1273645,-0.07052449,-2.456076,0.6277816,0.4301733,-2.496529,0.122094,0.02301436,-2.752662,0.6639476,0.1851172,-2.631155,0.185797,0.3127571,-2.832104,0.5350574,0.3111652,-2.799056
0.126058,-0.04083341,-2.440255,0.6194376,0.3910531,-2.474636,0.1215359,0.02419651,-2.747389,0.6506523,0.1635592,-2.628465,0.185803,0.3126963,-2.83212,0.5350841,0.3110566,-2.799217
0.126058,-0.04083341,-2.440255,0.6194376,0.3910531,-2.474636,0.1215359,0.02419651,-2.747389,0.6506523,0.1635592,-2.628465,0.185803,0.3126963,-2.83212,0.5350841,0.3110566,-2.799217
0.1218158,0.002084963,-2.406313,0.6197023,0.345329,-2.442603,0.1136401,0.03812651,-2.709792,0.6484356,0.1583753,-2.62912,0.1858212,0.3125986,-2.831923,0.5350859,0.3110558,-2.799218
0.1218158,0.002084963,-2.406313,0.6197023,0.345329,-2.442603,0.1136401,0.03812651,-2.709792,0.6484356,0.1583753,-2.62912,0.1858212,0.3125986,-2.831923,0.5350859,0.3110558,-2.799218
0.1182277,0.04779383,-2.396475,0.6153975,0.3066383,-2.416724,0.1094713,0.04925833,-2.697758,0.6438016,0.1446506,-2.627773,0.1859521,0.3122474,-2.831174,0.5351166,0.311041,-2.799249
0.1182277,0.04779383,-2.396475,0.6153975,0.3066383,-2.416724,0.1094713,0.04925833,-2.697758,0.6438016,0.1446506,-2.627773,0.1859521,0.3122474,-2.831174,0.5351166,0.311041,-2.799249
0.1161324,0.1689826,-2.417835,0.6127295,0.1751522,-2.369477,0.1063753,0.06226214,-2.688884,0.6423581,0.1224414,-2.62862,0.1869183,0.3124694,-2.828273,0.5353891,0.3110715,-2.799365
0.1161324,0.1689826,-2.417835,0.6127295,0.1751522,-2.369477,0.1063753,0.06226214,-2.688884,0.6423581,0.1224414,-2.62862,0.1869183,0.3124694,-2.828273,0.5353891,0.3110715,-2.799365
0.1288401,0.2167987,-2.424858,0.5982755,0.120257,-2.402379,0.1064541,0.06727438,-2.68342,0.6391883,0.09015033,-2.670837,0.1868069,0.3113906,-2.82679,0.535414,0.3108401,-2.799102
0.1288401,0.2167987,-2.424858,0.5982755,0.120257,-2.402379,0.1064541,0.06727438,-2.68342,0.6391883,0.09015033,-2.670837,0.1868069,0.3113906,-2.82679,0.535414,0.3108401,-2.799102
