Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.5361145,0.5777283,-2.358827,0.7539747,0.5768461,-2.353503,-0.2849741,0.4609922,-2.513025,0.5344349,0.4566248,-2.528254,-0.06113052,0.3046528,-2.645854,0.2989364,0.3185998,-2.652509
-0.5553196,0.5409115,-2.367422,0.7713764,0.5357793,-2.358559,-0.2955682,0.4421448,-2.513947,0.5435746,0.4313203,-2.53039,-0.06112653,0.3046573,-2.645848,0.2989431,0.3186079,-2.652529
-0.5553196,0.5409115,-2.367422,0.7713764,0.5357793,-2.358559,-0.2955682,0.4421448,-2.513947,0.5435746,0.4313203,-2.53039,-0.06112653,0.3046573,-2.645848,0.2989431,0.3186079,-2.652529
-0.575424,0.4942691,-2.377448,0.7933489,0.4676119,-2.357894,-0.3062503,0.4213325,-2.516133,0.5516449,0.4058277,-2.530895,-0.06112263,0.3046637,-2.64584,0.2989481,0.318614,-2.652542
-0.575424,0.4942691,-2.377448,0.7933489,0.4676119,-2.357894,-0.3062503,0.4213325,-2.516133,0.5516449,0.4058277,-2.530895,-0.06112263,0.3046637,-2.64584,0.2989481,0.318614,-2.652542
-0.5893142,0.4521778,-2.386866,0.8060535,0.4141357,-2.360382,-0.3150627,0.3988053,-2.518159,0.5601742,0.3709821,-2.532746,-0.0611225,0.3046595,-2.645807,0.2989481,0.3186138,-2.652542
-0.5893142,0.4521778,-2.386866,0.8060535,0.4141357,-2.360382,-0.3150627,0.3988053,-2.518159,0.5601742,0.3709821,-2.532746,-0.0611225,0.3046595,-2.645807,0.2989481,0.3186138,-2.652542
-0.6013196,0.396486,-2.394258,0.8161173,0.3405648,-2.358531,-0.3235706,0.3717725,-2.520891,0.5676278,0.3398226,-2.535171,-0.06112295,0.3046603,-2.645804,0.2989468,0.3186127,-2.652555
-0.6013196,0.396486,-2.394258,0.8161173,0.3405648,-2.358531,-0.3235706,0.3717725,-2.520891,0.5676278,0.3398226,-2.535171,-0.06112295,0.3046603,-2.645804,0.2989468,0.3186127,-2.652555
-0.6013196,0.396486,-2.394258,0.8161173,0.3405648,-2.358531,-0.3235706,0.3717725,-2.520891,0.5676278,0.3398226,-2.535171,-0.06112295,0.3046603,-2.645804,0.2989468,0.3186127,-2.652555
-0.6013196,0.396486,-2.394258,0.8161173,0.3405648,-2.358531,-0.3235706,0.3717725,-2.520891,0.5676278,0.3398226,-2.535171,-0.06112295,0.3046603,-2.645804,0.2989468,0.3186127,-2.652555
-0.6126698,0.3345364,-2.418362,0.8213075,0.2928427,-2.362078,-0.3274482,0.3488111,-2.522703,0.5719666,0.3102609,-2.537417,-0.06111742,0.3046693,-2.645777,0.2989475,0.3186125,-2.652556
-0.6126698,0.3345364,-2.418362,0.8213075,0.2928427,-2.362078,-0.3274482,0.3488111,-2.522703,0.5719666,0.3102609,-2.537417,-0.06111742,0.3046693,-2.645777,0.2989475,0.3186125,-2.652556
-0.6177826,0.2749217,-2.434802,0.8128483,0.2425577,-2.365942,-0.3314309,0.3104686,-2.528267,0.5700997,0.2695252,-2.544172,-0.06110249,0.3046846,-2.645748,0.2989505,0.318613,-2.652557
-0.6177826,0.2749217,-2.434802,0.8128483,0.2425577,-2.365942,-0.3314309,0.3104686,-2.528267,0.5700997,0.2695252,-2.544172,-0.06110249,0.3046846,-2.645748,0.2989505,0.318613,-2.652557
-0.6172993,0.216519,-2.447894,0.7908191,0.1892378,-2.380312,-0.3337063,0.2802648,-2.532851,0.5608731,0.2425687,-2.554935,-0.06108385,0.3047219,-2.645744,0.2989631,0.3186196,-2.652573
-0.6172993,0.216519,-2.447894,0.7908191,0.1892378,-2.380312,-0.3337063,0.2802648,-2.532851,0.5608731,0.2425687,-2.554935,-0.06108385,0.3047219,-2.645744,0.2989631,0.3186196,-2.652573
-0.6074162,0.1590391,-2.459859,0.7649792,0.1110494,-2.401625,-0.3320855,0.25141,-2.539041,0.5506129,0.2112669,-2.567685,-0.06107332,0.3047489,-2.645752,0.2989683,0.3186208,-2.65258
-0.6074162,0.1590391,-2.459859,0.7649792,0.1110494,-2.401625,-0.3320855,0.25141,-2.539041,0.5506129,0.2112669,-2.567685,-0.06107332,0.3047489,-2.645752,0.2989683,0.3186208,-2.65258
-0.5930796,0.08763199,-2.477723,0.7381442,0.04478506,-2.414523,-0.3290231,0.2175896,-2.547658,0.5377236,0.1752609,-2.581598,-0.0610716,0.3047521,-2.645749,0.2989689,0.3186205,-2.65258
-0.5930796,0.08763199,-2.477723,0.7381442,0.04478506,-2.414523,-0.3290231,0.2175896,-2.547658,0.5377236,0.1752609,-2.581598,-0.0610716,0.3047521,-2.645749,0.2989689,0.3186205,-2.65258
-0.5930796,0.08763199,-2.477723,0.704096,-0.0130276,-2.423912,-0.3290231,0.2175896,-2.547658,0.5262871,0.1492382,-2.591418,-0.0610716,0.3047521,-2.645749,0.2990066,0.318546,-2.652458
-0.5726864,0.03369042,-2.489468,0.704096,-0.0130276,-2.423912,-0.3224355,0.1880568,-2.559403,0.5262871,0.1492382,-2.591418,-0.06106018,0.3047461,-2.645722,0.2990066,0.318546,-2.652458
-0.5726864,0.03369042,-2.489468,0.704096,-0.0130276,-2.423912,-0.3224355,0.1880568,-2.559403,0.5262871,0.1492382,-2.591418,-0.06106018,0.3047461,-2.645722,0.2990066,0.318546,-2.652458
-0.5534782,-0.009504308,-2.499865,0.6602508,-0.06461925,-2.44978,-0.3117158,0.1540126,-2.574238,0.5023494,0.1185815,-2.609848,-0.06105672,0.3047447,-2.64572,0.2990352,0.3184818,-2.652408
-0.5534782,-0.009504308,-2.499865,0.6602508,-0.06461925,-2.44978,-0.3117158,0.1540126,-2.574238,0.5023494,0.1185815,-2.609848,-0.06105672,0.3047447,-2.64572,0.2990352,0.3184818,-2.652408
-0.5233385,-0.05667074,-2.518016,0.6261346,-0.1128247,-2.481127,-0.301027,0.1328065,-2.585149,0.4848222,0.09750827,-2.622069,-0.06104922,0.3047474,-2.645707,0.2990955,0.318365,-2.652158
-0.5233385,-0.05667074,-2.518016,0.6261346,-0.1128247,-2.481127,-0.301027,0.1328065,-2.585149,0.4848222,0.09750827,-2.622069,-0.06104922,0.3047474,-2.645707,0.2990955,0.318365,-2.652158
-0.5233385,-0.05667074,-2.518016,0.6261346,-0.1128247,-2.481127,-0.301027,0.1328065,-2.585149,0.4848222,0.09750827,-2.622069,-0.06104922,0.3047474,-2.645707,0.2990955,0.318365,-2.652158
-0.5233385,-0.05667074,-2.518016,0.6261346,-0.1128247,-2.481127,-0.301027,0.1328065,-2.585149,0.4848222,0.09750827,-2.622069,-0.06104922,0.3047474,-2.645707,0.2990955,0.318365,-2.652158
-0.4890112,-0.09956671,-2.532809,0.5932497,-0.1527767,-2.509871,-0.2833921,0.1061193,-2.597096,0.4758448,0.08705572,-2.627578,-0.06104565,0.3047511,-2.645708,0.2991193,0.3183404,-2.65209
-0.4890112,-0.09956671,-2.532809,0.5932497,-0.1527767,-2.509871,-0.2833921,0.1061193,-2.597096,0.4758448,0.08705572,-2.627578,-0.06104565,0.3047511,-2.645708,0.2991193,0.3183404,-2.65209
-0.4508613,-0.1536883,-2.566385,0.5538817,-0.1841274,-2.539727,-0.2722376,0.08582363,-2.608559,0.4585872,0.07312606,-2.63876,-0.06104274,0.3047502,-2.645708,0.2991504,0.3182936,-2.652013
-0.4508613,-0.1536883,-2.566385,0.5538817,-0.1841274,-2.539727,-0.2722376,0.08582363,-2.608559,0.4585872,0.07312606,-2.63876,-0.06104274,0.3047502,-2.645708,0.2991504,0.3182936,-2.652013
-0.4274232,-0.1810604,-2.582407,0.5228966,-0.2121067,-2.570849,-0.2585439,0.06776293,-2.620416,0.4464206,0.06217787,-2.644326,-0.06103265,0.304745,-2.645694,0.2992103,0.3181931,-2.651805
-0.4274232,-0.1810604,-2.582407,0.5228966,-0.2121067,-2.570849,-0.2585439,0.06776293,-2.620416,0.4464206,0.06217787,-2.644326,-0.06103265,0.304745,-2.645694,0.2992103,0.3181931,-2.651805
-0.398636,-0.2120551,-2.591453,0.5003237,-0.2276736,-2.586936,-0.241405,0.04656747,-2.633001,0.434678,0.05352094,-2.649187,-0.06102856,0.3047282,-2.645678,0.2992464,0.3179435,-2.651379
-0.398636,-0.2120551,-2.591453,0.5003237,-0.2276736,-2.586936,-0.241405,0.04656747,-2.633001,0.434678,0.05352094,-2.649187,-0.06102856,0.3047282,-2.645678,0.2992464,0.3179435,-2.651379
-0.3583117,-0.235,-2.601026,0.4798718,-0.2395314,-2.597791,-0.2295647,0.03844419,-2.64043,0.4242744,0.04656436,-2.654154,-0.06102725,0.3047267,-2.64568,0.2992724,0.3178156,-2.6512
