Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.2401806,0.4163032,-2.046025,0.4088002,0.3964752,-2.071131,-0.1622959,0.3374902,-2.310999,0.3653807,0.3141485,-2.331236,-0.0870783,0.3086452,-2.640715,0.2721376,0.3181263,-2.642897
-0.2401806,0.4163032,-2.046025,0.4088002,0.3964752,-2.071131,-0.1622959,0.3374902,-2.310999,0.3653807,0.3141485,-2.331236,-0.0870783,0.3086452,-2.640715,0.2721376,0.3181263,-2.642897
-0.331951,0.4145706,-2.091264,0.4688348,0.4005076,-2.086755,-0.2018778,0.3346632,-2.328108,0.3915563,0.3181858,-2.339392,-0.08705243,0.3085113,-2.640486,0.272215,0.3180091,-2.642678
-0.331951,0.4145706,-2.091264,0.4688348,0.4005076,-2.086755,-0.2018778,0.3346632,-2.328108,0.3915563,0.3181858,-2.339392,-0.08705243,0.3085113,-2.640486,0.272215,0.3180091,-2.642678
-0.331951,0.4145706,-2.091264,0.4688348,0.4005076,-2.086755,-0.2018778,0.3346632,-2.328108,0.3915563,0.3181858,-2.339392,-0.08705243,0.3085113,-2.640486,0.272215,0.3180091,-2.642678
-0.331951,0.4145706,-2.091264,0.4688348,0.4005076,-2.086755,-0.2018778,0.3346632,-2.328108,0.3915563,0.3181858,-2.339392,-0.08705243,0.3085113,-2.640486,0.272215,0.3180091,-2.642678
-0.3814,0.4127665,-2.120252,0.5412859,0.4002773,-2.107121,-0.2367682,0.3316237,-2.349317,0.4220719,0.3172802,-2.349174,-0.08704341,0.3085226,-2.640455,0.2722551,0.318027,-2.642609
-0.3814,0.4127665,-2.120252,0.5412859,0.4002773,-2.107121,-0.2367682,0.3316237,-2.349317,0.4220719,0.3172802,-2.349174,-0.08704341,0.3085226,-2.640455,0.2722551,0.318027,-2.642609
-0.4751934,0.4000354,-2.208322,0.6413839,0.3958663,-2.16773,-0.2768742,0.3264263,-2.390146,0.4745866,0.3158368,-2.383106,-0.08703039,0.3085,-2.640304,0.2723215,0.3179895,-2.642382
-0.4751934,0.4000354,-2.208322,0.6413839,0.3958663,-2.16773,-0.2768742,0.3264263,-2.390146,0.4745866,0.3158368,-2.383106,-0.08703039,0.3085,-2.640304,0.2723215,0.3179895,-2.642382
-0.5167822,0.3923493,-2.248915,0.6768877,0.3880238,-2.201415,-0.3049844,0.3240615,-2.421889,0.5000892,0.3127588,-2.409222,-0.08701587,0.3084737,-2.640111,0.2724009,0.3179367,-2.642071
-0.5167822,0.3923493,-2.248915,0.6768877,0.3880238,-2.201415,-0.3049844,0.3240615,-2.421889,0.5000892,0.3127588,-2.409222,-0.08701587,0.3084737,-2.640111,0.2724009,0.3179367,-2.642071
-0.5167822,0.3923493,-2.248915,0.6768877,0.3880238,-2.201415,-0.3049844,0.3240615,-2.421889,0.5000892,0.3127588,-2.409222,-0.08701587,0.3084737,-2.640111,0.2724009,0.3179367,-2.642071
-0.5167822,0.3923493,-2.248915,0.6768877,0.3880238,-2.201415,-0.3049844,0.3240615,-2.421889,0.5000892,0.3127588,-2.409222,-0.08701587,0.3084737,-2.640111,0.2724009,0.3179367,-2.642071
-0.5604866,0.3848225,-2.296449,0.7118811,0.3805853,-2.233159,-0.3281035,0.3200219,-2.448829,0.5223689,0.3123719,-2.429871,-0.08700569,0.3084618,-2.639904,0.2724606,0.3179276,-2.641829
-0.6002044,0.3730494,-2.351942,0.7482061,0.3736526,-2.270168,-0.3430076,0.3178438,-2.469373,0.5381184,0.3120275,-2.44728,-0.08699425,0.3084589,-2.639554,0.2725087,0.3179278,-2.641638
-0.6002044,0.3730494,-2.351942,0.7482061,0.3736526,-2.270168,-0.3430076,0.3178438,-2.469373,0.5381184,0.3120275,-2.44728,-0.08699425,0.3084589,-2.639554,0.2725087,0.3179278,-2.641638
-0.6002044,0.3730494,-2.351942,0.7482061,0.3736526,-2.270168,-0.3430076,0.3178438,-2.469373,0.5381184,0.3120275,-2.44728,-0.08699425,0.3084589,-2.639554,0.2725087,0.3179278,-2.641638
-0.6002044,0.3730494,-2.351942,0.7482061,0.3736526,-2.270168,-0.3430076,0.3178438,-2.469373,0.5381184,0.3120275,-2.44728,-0.08699425,0.3084589,-2.639554,0.2725087,0.3179278,-2.641638
-0.6002044,0.3730494,-2.351942,0.7482061,0.3736526,-2.270168,-0.3430076,0.3178438,-2.469373,0.5381184,0.3120275,-2.44728,-0.08699425,0.3084589,-2.639554,0.2725087,0.3179278,-2.641638
-0.6002044,0.3730494,-2.351942,0.7482061,0.3736526,-2.270168,-0.3430076,0.3178438,-2.469373,0.5381184,0.3120275,-2.44728,-0.08699425,0.3084589,-2.639554,0.2725087,0.3179278,-2.641638
-0.6139009,0.3665815,-2.3755,0.7631791,0.3693117,-2.293318,-0.3541037,0.3170263,-2.490596,0.5499405,0.3117636,-2.467567,-0.08699263,0.3084517,-2.639158,0.272546,0.3179262,-2.641466
-0.6139009,0.3665815,-2.3755,0.7631791,0.3693117,-2.293318,-0.3541037,0.3170263,-2.490596,0.5499405,0.3117636,-2.467567,-0.08699263,0.3084517,-2.639158,0.272546,0.3179262,-2.641466
-0.641305,0.3529223,-2.434506,0.7932853,0.3574765,-2.340245,-0.3659123,0.3137181,-2.514558,0.5595645,0.3113476,-2.487772,-0.08698788,0.3084663,-2.638749,0.2725907,0.317937,-2.641256
-0.641305,0.3529223,-2.434506,0.7932853,0.3574765,-2.340245,-0.3659123,0.3137181,-2.514558,0.5595645,0.3113476,-2.487772,-0.08698788,0.3084663,-2.638749,0.2725907,0.317937,-2.641256
-0.649389,0.346159,-2.456583,0.8115239,0.3496048,-2.373083,-0.3733793,0.3086712,-2.531816,0.5664403,0.3078797,-2.502586,-0.08699463,0.3084098,-2.638019,0.2726606,0.3178811,-2.640737
-0.649389,0.346159,-2.456583,0.8115239,0.3496048,-2.373083,-0.3733793,0.3086712,-2.531816,0.5664403,0.3078797,-2.502586,-0.08699463,0.3084098,-2.638019,0.2726606,0.3178811,-2.640737
-0.6562198,0.3393608,-2.480236,0.819271,0.3429336,-2.38677,-0.3780741,0.304808,-2.545099,0.5729058,0.3034412,-2.51656,-0.08700873,0.3082817,-2.637376,0.2727182,0.3177753,-2.640273
-0.6562198,0.3393608,-2.480236,0.819271,0.3429336,-2.38677,-0.3780741,0.304808,-2.545099,0.5729058,0.3034412,-2.51656,-0.08700873,0.3082817,-2.637376,0.2727182,0.3177753,-2.640273
-0.6595263,0.3335936,-2.487088,0.8241559,0.3362059,-2.395557,-0.3820197,0.3022377,-2.553367,0.5763341,0.3005908,-2.524398,-0.08703552,0.3081547,-2.636867,0.2727638,0.3176824,-2.63974
-0.6595263,0.3335936,-2.487088,0.8241559,0.3362059,-2.395557,-0.3820197,0.3022377,-2.553367,0.5763341,0.3005908,-2.524398,-0.08703552,0.3081547,-2.636867,0.2727638,0.3176824,-2.63974
-0.6595263,0.3335936,-2.487088,0.8241559,0.3362059,-2.395557,-0.3820197,0.3022377,-2.553367,0.5763341,0.3005908,-2.524398,-0.08703552,0.3081547,-2.636867,0.2727638,0.3176824,-2.63974
-0.6595263,0.3335936,-2.487088,0.8241559,0.3362059,-2.395557,-0.3820197,0.3022377,-2.553367,0.5763341,0.3005908,-2.524398,-0.08703552,0.3081547,-2.636867,0.2727638,0.3176824,-2.63974
-0.6664081,0.3186524,-2.502022,0.8285514,0.3270003,-2.402683,-0.3871378,0.2956723,-2.565846,0.5803874,0.2931774,-2.533585,-0.08706405,0.3081684,-2.636593,0.2727893,0.3177141,-2.639256
-0.6664081,0.3186524,-2.502022,0.8285514,0.3270003,-2.402683,-0.3871378,0.2956723,-2.565846,0.5803874,0.2931774,-2.533585,-0.08706405,0.3081684,-2.636593,0.2727893,0.3177141,-2.639256
-0.6664081,0.3186524,-2.502022,0.8285514,0.3270003,-2.402683,-0.3871378,0.2956723,-2.565846,0.5803874,0.2931774,-2.533585,-0.08706405,0.3081684,-2.636593,0.2727893,0.3177141,-2.639256
-0.6664081,0.3186524,-2.502022,0.8285514,0.3270003,-2.402683,-0.3871378,0.2956723,-2.565846,0.5803874,0.2931774,-2.533585,-0.08706405,0.3081684,-2.636593,0.2727893,0.3177141,-2.639256
