Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.5531271,-0.1151168,-2.472234,0.2285738,-0.2998036,-2.576751,-0.3082567,0.04201419,-2.559736,0.2477023,-0.009956049,-2.692335,-0.1332534,0.2897309,-2.603419,0.2204365,0.305586,-2.692894
-0.5531271,-0.1151168,-2.472234,0.2285738,-0.2998036,-2.576751,-0.3082567,0.04201419,-2.559736,0.2477023,-0.009956049,-2.692335,-0.1332534,0.2897309,-2.603419,0.2204365,0.305586,-2.692894
-0.5830117,-0.0604093,-2.445592,0.2285738,-0.2998036,-2.576751,-0.3210638,0.06166965,-2.54043,0.2477023,-0.009956049,-2.692335,-0.1333294,0.2899959,-2.603729,0.2204648,0.3056868,-2.692873
-0.5830117,-0.0604093,-2.445592,0.2285738,-0.2998036,-2.576751,-0.3210638,0.06166965,-2.54043,0.2477023,-0.009956049,-2.692335,-0.1333294,0.2899959,-2.603729,0.2204648,0.3056868,-2.692873
-0.5830117,-0.0604093,-2.445592,0.2285738,-0.2998036,-2.576751,-0.3210638,0.06166965,-2.54043,0.2477023,-0.009956049,-2.692335,-0.1333294,0.2899959,-2.603729,0.2204648,0.3056868,-2.692873
-0.6070452,0.007569193,-2.40133,0.2285738,-0.2998036,-2.576751,-0.3352642,0.08940926,-2.515252,0.2477023,-0.009956049,-2.692335,-0.1333597,0.290063,-2.603807,0.2205057,0.3057683,-2.692759
-0.6070452,0.007569193,-2.40133,0.2285738,-0.2998036,-2.576751,-0.3352642,0.08940926,-2.515252,0.2477023,-0.009956049,-2.692335,-0.1333597,0.290063,-2.603807,0.2205057,0.3057683,-2.692759
-0.6070452,0.007569193,-2.40133,0.2285738,-0.2998036,-2.576751,-0.3352642,0.08940926,-2.515252,0.2477023,-0.009956049,-2.692335,-0.1333597,0.290063,-2.603807,0.2205057,0.3057683,-2.692759
-0.6070452,0.007569193,-2.40133,0.2285738,-0.2998036,-2.576751,-0.3352642,0.08940926,-2.515252,0.2477023,-0.009956049,-2.692335,-0.1333597,0.290063,-2.603807,0.2205057,0.3057683,-2.692759
-0.6222016,0.07141548,-2.363326,0.2285738,-0.2998036,-2.576751,-0.3487717,0.1220823,-2.491851,0.2477023,-0.009956049,-2.692335,-0.1334001,0.2901796,-2.603938,0.2205217,0.3058463,-2.692754
