Hand_L, , ,Hand_R, , ,Elbow_L, , ,Elbow_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.2303089,-0.2784709,-2.497967,0.4757903,-0.1886611,-2.496997,-0.1888281,-0.009958709,-2.614626,0.3277982,0.02554473,-2.618454,-0.1330759,0.2999387,-2.624707,0.2283372,0.3099706,-2.64155
-0.2303096,-0.278472,-2.497967,0.5208989,-0.1552617,-2.475353,-0.1888296,-0.009969307,-2.614622,0.3424416,0.0359716,-2.603625,-0.1333051,0.3001117,-2.624889,0.2282865,0.3099652,-2.641536
-0.2303096,-0.278472,-2.497967,0.5208989,-0.1552617,-2.475353,-0.1888296,-0.009969307,-2.614622,0.3424416,0.0359716,-2.603625,-0.1333051,0.3001117,-2.624889,0.2282865,0.3099652,-2.641536
-0.2303602,-0.2784825,-2.49798,0.5730929,-0.1098884,-2.45477,-0.188836,-0.009973782,-2.614621,0.3610519,0.04894448,-2.587045,-0.1335295,0.3003209,-2.625049,0.2282425,0.3099658,-2.641529
-0.2303602,-0.2784825,-2.49798,0.5730929,-0.1098884,-2.45477,-0.188836,-0.009973782,-2.614621,0.3610519,0.04894448,-2.587045,-0.1335295,0.3003209,-2.625049,0.2282425,0.3099658,-2.641529
-0.2303602,-0.2784825,-2.49798,0.5730929,-0.1098884,-2.45477,-0.188836,-0.009973782,-2.614621,0.3610519,0.04894448,-2.587045,-0.1335295,0.3003209,-2.625049,0.2282425,0.3099658,-2.641529
-0.2303602,-0.2784825,-2.49798,0.5730929,-0.1098884,-2.45477,-0.188836,-0.009973782,-2.614621,0.3610519,0.04894448,-2.587045,-0.1335295,0.3003209,-2.625049,0.2282425,0.3099658,-2.641529
-0.2304292,-0.2784868,-2.497941,0.6182044,-0.06511472,-2.436301,-0.1889723,-0.009976882,-2.614648,0.3814804,0.06199558,-2.569431,-0.1338431,0.3006708,-2.625261,0.228181,0.3099747,-2.641524
-0.2304292,-0.2784868,-2.497941,0.6182044,-0.06511472,-2.436301,-0.1889723,-0.009976882,-2.614648,0.3814804,0.06199558,-2.569431,-0.1338431,0.3006708,-2.625261,0.228181,0.3099747,-2.641524
-0.230437,-0.2784866,-2.497926,0.6547491,-0.006482795,-2.41968,-0.1894744,-0.009860858,-2.614622,0.4004155,0.08108567,-2.553743,-0.1342079,0.3010974,-2.62556,0.2281066,0.3099992,-2.641513
-0.230437,-0.2784866,-2.497926,0.6547491,-0.006482795,-2.41968,-0.1894744,-0.009860858,-2.614622,0.4004155,0.08108567,-2.553743,-0.1342079,0.3010974,-2.62556,0.2281066,0.3099992,-2.641513
-0.230437,-0.2784866,-2.497926,0.6547491,-0.006482795,-2.41968,-0.1894744,-0.009860858,-2.614622,0.4004155,0.08108567,-2.553743,-0.1342079,0.3010974,-2.62556,0.2281066,0.3099992,-2.641513
-0.230437,-0.2784866,-2.497926,0.6547491,-0.006482795,-2.41968,-0.1894744,-0.009860858,-2.614622,0.4004155,0.08108567,-2.553743,-0.1342079,0.3010974,-2.62556,0.2281066,0.3099992,-2.641513
-0.230437,-0.2784866,-2.497926,0.6547491,-0.006482795,-2.41968,-0.1894744,-0.009860858,-2.614622,0.4004155,0.08108567,-2.553743,-0.1342079,0.3010974,-2.62556,0.2281066,0.3099992,-2.641513
-0.2304844,-0.2784892,-2.497937,0.6897199,0.05536524,-2.407431,-0.1899467,-0.009739367,-2.614664,0.4232458,0.1107187,-2.531801,-0.1343188,0.301151,-2.625611,0.2280367,0.3099778,-2.641457
-0.2304844,-0.2784892,-2.497937,0.6897199,0.05536524,-2.407431,-0.1899467,-0.009739367,-2.614664,0.4232458,0.1107187,-2.531801,-0.1343188,0.301151,-2.625611,0.2280367,0.3099778,-2.641457
-0.2305734,-0.2784988,-2.497984,0.7190844,0.1221249,-2.390049,-0.1900568,-0.009683455,-2.614654,0.4451843,0.1423729,-2.510916,-0.134387,0.3011911,-2.625673,0.2280154,0.3099696,-2.641442
